Optimal path [nodeId(time to the node):
17(0) -> 35(145) -> 60(143) -> 85(127) -> 41(113) -> 51(131) -> 67(113) -> 43(124) -> 93(125) -> 27(128) -> 88(110) -> 28(118) -> 76(124) -> 56(113) -> 25(133) -> 0(140) -> 9(123) -> 2(140) -> 8(120) -> 21(128) -> 6(126) -> 96(139) -> 98(126) -> 47(128) -> 82(136) -> 89(138) -> 4(139) -> 33(130) -> 78(121) -> 13(144) -> 15(125) -> 26(134) -> 66(125) -> 62(117) -> 50(125) -> 52(146) -> 59(119) -> 49(111) -> 42(127) -> 10(132) -> 70(117) -> 36(109) -> 29(120) -> 57(136) -> 45(103) -> 99(135) -> 37(135) -> 64(116) -> 34(126) -> 19(130) -> 75(129) -> 72(132) -> 38(127) -> 24(149) -> 83(124) -> 3(128) -> 7(127) -> 14(137) -> 11(120) -> 18(117) -> 23(115) -> 20(127) -> 69(117) -> 5(128) -> 65(126) -> 48(102) -> 63(106) -> 44(114) -> 12(140) -> 80(123) -> 87(119) -> 61(130) -> 40(133) -> 30(123) -> 81(127) -> 68(143) -> 71(135) -> 16(110) -> 55(127) -> 92(145) -> 97(147) -> 91(127) -> 95(118) -> 31(140) -> 77(132) -> 22(131) -> 54(142) -> 94(109) -> 79(132) -> 86(133) -> 39(127) -> 90(126) -> 73(129) -> 32(134) -> 84(116) -> 58(120) -> 1(131) -> 74(141) -> 46(151) -> 53(141)
Total time of delivery: 12620
The cost function value: 2617611

Statistics at the end of simulation: 
Residents: 5432871
Illness cases: 5222604 --> [96.12972588526398%]
Healthy residents: 210267 --> [3.8702741147360205%]
Vaccinated residents210267 --> [3.8702741147360205%]

Statistics of each node: 
id residentsNumber illnessCases healthyResidents vaccinated
17 27216 1 27215 27215
35 96767 75 96692 96692
60 91794 5434 86360 86360
85 44972 44972 0 0
41 91808 91808 0 0
51 94699 94699 0 0
67 37842 37842 0 0
43 79446 79446 0 0
93 39916 39916 0 0
27 80174 80174 0 0
88 37474 37474 0 0
28 91749 91749 0 0
76 31382 31382 0 0
56 80108 80108 0 0
25 67586 67586 0 0
0 59902 59902 0 0
9 60305 60305 0 0
2 43074 43074 0 0
8 45160 45160 0 0
21 82806 82806 0 0
6 12672 12672 0 0
96 73344 73344 0 0
98 93006 93006 0 0
47 98952 98952 0 0
82 15231 15231 0 0
89 68284 68284 0 0
4 56018 56018 0 0
33 13135 13135 0 0
78 57716 57716 0 0
13 61304 61304 0 0
15 78003 78003 0 0
26 26605 26605 0 0
66 26230 26230 0 0
62 19500 19500 0 0
50 30829 30829 0 0
52 63153 63153 0 0
59 83546 83546 0 0
49 19584 19584 0 0
42 68898 68898 0 0
10 95932 95932 0 0
70 36163 36163 0 0
36 85682 85682 0 0
29 15814 15814 0 0
57 39724 39724 0 0
45 46217 46217 0 0
99 28053 28053 0 0
37 51694 51694 0 0
64 22353 22353 0 0
34 28894 28894 0 0
19 87851 87851 0 0
75 26017 26017 0 0
72 90063 90063 0 0
38 33030 33030 0 0
24 37355 37355 0 0
83 46841 46841 0 0
3 57882 57882 0 0
7 29243 29243 0 0
14 81887 81887 0 0
11 84816 84816 0 0
18 16978 16978 0 0
23 20873 20873 0 0
20 48774 48774 0 0
69 66112 66112 0 0
5 15364 15364 0 0
65 70610 70610 0 0
48 13555 13555 0 0
63 51706 51706 0 0
44 15573 15573 0 0
12 79926 79926 0 0
80 67722 67722 0 0
87 20655 20655 0 0
61 25643 25643 0 0
40 31222 31222 0 0
30 67192 67192 0 0
81 89526 89526 0 0
68 42462 42462 0 0
71 23666 23666 0 0
16 82700 82700 0 0
55 88344 88344 0 0
92 24523 24523 0 0
97 86845 86845 0 0
91 32862 32862 0 0
95 71066 71066 0 0
31 69146 69146 0 0
77 28452 28452 0 0
22 73621 73621 0 0
54 69376 69376 0 0
94 76894 76894 0 0
79 84379 84379 0 0
86 26732 26732 0 0
39 32804 32804 0 0
90 80008 80008 0 0
73 49077 49077 0 0
32 59165 59165 0 0
84 70627 70627 0 0
58 16081 16081 0 0
1 49456 49456 0 0
74 81649 81649 0 0
46 73816 73816 0 0
53 61988 61988 0 0

Statistics step by step: 
minute residentsNumber illnessCases healthyResidents vaccinated
0 5432871 100 5432771 27215
10 5432871 100 5432771 27215
20 5432871 100 5432771 27215
30 5432871 199 5432672 27215
40 5432871 298 5432573 27215
50 5432871 397 5432474 27215
60 5432871 595 5432276 27215
70 5432871 793 5432078 27215
80 5432871 991 5431880 27215
90 5432871 1387 5431484 27215
100 5432871 1882 5430989 27215
110 5432871 2575 5430296 27215
120 5432871 3565 5429306 27215
130 5432871 4753 5428118 27215
140 5432871 6436 5426435 27215
150 5432871 8700 5424171 123907
160 5432871 11640 5421231 123907
170 5432871 15756 5417115 123907
180 5432871 21244 5411627 123907
190 5432871 28594 5404277 123907
200 5432871 38492 5394379 123907
210 5432871 51918 5380953 123907
220 5432871 69950 5362921 123907
230 5432871 94254 5338617 123907
240 5432871 127084 5305787 123907
250 5432871 171282 5261589 123907
260 5432871 230768 5202103 123907
270 5432871 311128 5121743 123907
280 5432871 419418 5013453 123907
290 5432871 565006 4867865 210267
300 5432871 759782 4673089 210267
310 5432871 1022264 4410607 210267
320 5432871 1372998 4059873 210267
330 5432871 1816049 3616822 210267
340 5432871 2370710 3062161 210267
350 5432871 3013391 2419480 210267
360 5432871 3745504 1687367 210267
370 5432871 4529824 903047 210267
380 5432871 5145458 287413 210267
390 5432871 5222604 210267 210267
400 5432871 5222604 210267 210267
410 5432871 5222604 210267 210267
420 5432871 5222604 210267 210267
430 5432871 5222604 210267 210267
440 5432871 5222604 210267 210267
450 5432871 5222604 210267 210267
460 5432871 5222604 210267 210267
470 5432871 5222604 210267 210267
480 5432871 5222604 210267 210267
490 5432871 5222604 210267 210267
500 5432871 5222604 210267 210267
510 5432871 5222604 210267 210267
520 5432871 5222604 210267 210267
530 5432871 5222604 210267 210267
540 5432871 5222604 210267 210267
550 5432871 5222604 210267 210267
560 5432871 5222604 210267 210267
570 5432871 5222604 210267 210267
580 5432871 5222604 210267 210267
590 5432871 5222604 210267 210267
600 5432871 5222604 210267 210267
610 5432871 5222604 210267 210267
620 5432871 5222604 210267 210267
630 5432871 5222604 210267 210267
640 5432871 5222604 210267 210267
650 5432871 5222604 210267 210267
660 5432871 5222604 210267 210267
670 5432871 5222604 210267 210267
680 5432871 5222604 210267 210267
690 5432871 5222604 210267 210267
700 5432871 5222604 210267 210267
710 5432871 5222604 210267 210267
720 5432871 5222604 210267 210267
730 5432871 5222604 210267 210267
740 5432871 5222604 210267 210267
750 5432871 5222604 210267 210267
760 5432871 5222604 210267 210267
770 5432871 5222604 210267 210267
780 5432871 5222604 210267 210267
790 5432871 5222604 210267 210267
800 5432871 5222604 210267 210267
810 5432871 5222604 210267 210267
820 5432871 5222604 210267 210267
830 5432871 5222604 210267 210267
840 5432871 5222604 210267 210267
850 5432871 5222604 210267 210267
860 5432871 5222604 210267 210267
870 5432871 5222604 210267 210267
880 5432871 5222604 210267 210267
890 5432871 5222604 210267 210267
900 5432871 5222604 210267 210267
910 5432871 5222604 210267 210267
920 5432871 5222604 210267 210267
930 5432871 5222604 210267 210267
940 5432871 5222604 210267 210267
950 5432871 5222604 210267 210267
960 5432871 5222604 210267 210267
970 5432871 5222604 210267 210267
980 5432871 5222604 210267 210267
990 5432871 5222604 210267 210267
1000 5432871 5222604 210267 210267
1010 5432871 5222604 210267 210267
1020 5432871 5222604 210267 210267
1030 5432871 5222604 210267 210267
1040 5432871 5222604 210267 210267
1050 5432871 5222604 210267 210267
1060 5432871 5222604 210267 210267
1070 5432871 5222604 210267 210267
1080 5432871 5222604 210267 210267
1090 5432871 5222604 210267 210267
1100 5432871 5222604 210267 210267
1110 5432871 5222604 210267 210267
1120 5432871 5222604 210267 210267
1130 5432871 5222604 210267 210267
1140 5432871 5222604 210267 210267
1150 5432871 5222604 210267 210267
1160 5432871 5222604 210267 210267
1170 5432871 5222604 210267 210267
1180 5432871 5222604 210267 210267
1190 5432871 5222604 210267 210267
1200 5432871 5222604 210267 210267
1210 5432871 5222604 210267 210267
1220 5432871 5222604 210267 210267
1230 5432871 5222604 210267 210267
1240 5432871 5222604 210267 210267
1250 5432871 5222604 210267 210267
1260 5432871 5222604 210267 210267
1270 5432871 5222604 210267 210267
1280 5432871 5222604 210267 210267
1290 5432871 5222604 210267 210267
1300 5432871 5222604 210267 210267
1310 5432871 5222604 210267 210267
1320 5432871 5222604 210267 210267
1330 5432871 5222604 210267 210267
1340 5432871 5222604 210267 210267
1350 5432871 5222604 210267 210267
1360 5432871 5222604 210267 210267
1370 5432871 5222604 210267 210267
1380 5432871 5222604 210267 210267
1390 5432871 5222604 210267 210267
1400 5432871 5222604 210267 210267
1410 5432871 5222604 210267 210267
1420 5432871 5222604 210267 210267
1430 5432871 5222604 210267 210267
1440 5432871 5222604 210267 210267
1450 5432871 5222604 210267 210267
1460 5432871 5222604 210267 210267
1470 5432871 5222604 210267 210267
1480 5432871 5222604 210267 210267
1490 5432871 5222604 210267 210267
1500 5432871 5222604 210267 210267
1510 5432871 5222604 210267 210267
1520 5432871 5222604 210267 210267
1530 5432871 5222604 210267 210267
1540 5432871 5222604 210267 210267
1550 5432871 5222604 210267 210267
1560 5432871 5222604 210267 210267
1570 5432871 5222604 210267 210267
1580 5432871 5222604 210267 210267
1590 5432871 5222604 210267 210267
1600 5432871 5222604 210267 210267
1610 5432871 5222604 210267 210267
1620 5432871 5222604 210267 210267
1630 5432871 5222604 210267 210267
1640 5432871 5222604 210267 210267
1650 5432871 5222604 210267 210267
1660 5432871 5222604 210267 210267
1670 5432871 5222604 210267 210267
1680 5432871 5222604 210267 210267
1690 5432871 5222604 210267 210267
1700 5432871 5222604 210267 210267
1710 5432871 5222604 210267 210267
1720 5432871 5222604 210267 210267
1730 5432871 5222604 210267 210267
1740 5432871 5222604 210267 210267
1750 5432871 5222604 210267 210267
1760 5432871 5222604 210267 210267
1770 5432871 5222604 210267 210267
1780 5432871 5222604 210267 210267
1790 5432871 5222604 210267 210267
1800 5432871 5222604 210267 210267
1810 5432871 5222604 210267 210267
1820 5432871 5222604 210267 210267
1830 5432871 5222604 210267 210267
1840 5432871 5222604 210267 210267
1850 5432871 5222604 210267 210267
1860 5432871 5222604 210267 210267
1870 5432871 5222604 210267 210267
1880 5432871 5222604 210267 210267
1890 5432871 5222604 210267 210267
1900 5432871 5222604 210267 210267
1910 5432871 5222604 210267 210267
1920 5432871 5222604 210267 210267
1930 5432871 5222604 210267 210267
1940 5432871 5222604 210267 210267
1950 5432871 5222604 210267 210267
1960 5432871 5222604 210267 210267
1970 5432871 5222604 210267 210267
1980 5432871 5222604 210267 210267
1990 5432871 5222604 210267 210267
2000 5432871 5222604 210267 210267
2010 5432871 5222604 210267 210267
2020 5432871 5222604 210267 210267
2030 5432871 5222604 210267 210267
2040 5432871 5222604 210267 210267
2050 5432871 5222604 210267 210267
2060 5432871 5222604 210267 210267
2070 5432871 5222604 210267 210267
2080 5432871 5222604 210267 210267
2090 5432871 5222604 210267 210267
2100 5432871 5222604 210267 210267
2110 5432871 5222604 210267 210267
2120 5432871 5222604 210267 210267
2130 5432871 5222604 210267 210267
2140 5432871 5222604 210267 210267
2150 5432871 5222604 210267 210267
2160 5432871 5222604 210267 210267
2170 5432871 5222604 210267 210267
2180 5432871 5222604 210267 210267
2190 5432871 5222604 210267 210267
2200 5432871 5222604 210267 210267
2210 5432871 5222604 210267 210267
2220 5432871 5222604 210267 210267
2230 5432871 5222604 210267 210267
2240 5432871 5222604 210267 210267
2250 5432871 5222604 210267 210267
2260 5432871 5222604 210267 210267
2270 5432871 5222604 210267 210267
2280 5432871 5222604 210267 210267
2290 5432871 5222604 210267 210267
2300 5432871 5222604 210267 210267
2310 5432871 5222604 210267 210267
2320 5432871 5222604 210267 210267
2330 5432871 5222604 210267 210267
2340 5432871 5222604 210267 210267
2350 5432871 5222604 210267 210267
2360 5432871 5222604 210267 210267
2370 5432871 5222604 210267 210267
2380 5432871 5222604 210267 210267
2390 5432871 5222604 210267 210267
2400 5432871 5222604 210267 210267
2410 5432871 5222604 210267 210267
2420 5432871 5222604 210267 210267
2430 5432871 5222604 210267 210267
2440 5432871 5222604 210267 210267
2450 5432871 5222604 210267 210267
2460 5432871 5222604 210267 210267
2470 5432871 5222604 210267 210267
2480 5432871 5222604 210267 210267
2490 5432871 5222604 210267 210267
2500 5432871 5222604 210267 210267
2510 5432871 5222604 210267 210267
2520 5432871 5222604 210267 210267
2530 5432871 5222604 210267 210267
2540 5432871 5222604 210267 210267
2550 5432871 5222604 210267 210267
2560 5432871 5222604 210267 210267
2570 5432871 5222604 210267 210267
2580 5432871 5222604 210267 210267
2590 5432871 5222604 210267 210267
2600 5432871 5222604 210267 210267
2610 5432871 5222604 210267 210267
2620 5432871 5222604 210267 210267
2630 5432871 5222604 210267 210267
2640 5432871 5222604 210267 210267
2650 5432871 5222604 210267 210267
2660 5432871 5222604 210267 210267
2670 5432871 5222604 210267 210267
2680 5432871 5222604 210267 210267
2690 5432871 5222604 210267 210267
2700 5432871 5222604 210267 210267
2710 5432871 5222604 210267 210267
2720 5432871 5222604 210267 210267
2730 5432871 5222604 210267 210267
2740 5432871 5222604 210267 210267
2750 5432871 5222604 210267 210267
2760 5432871 5222604 210267 210267
2770 5432871 5222604 210267 210267
2780 5432871 5222604 210267 210267
2790 5432871 5222604 210267 210267
2800 5432871 5222604 210267 210267
2810 5432871 5222604 210267 210267
2820 5432871 5222604 210267 210267
2830 5432871 5222604 210267 210267
2840 5432871 5222604 210267 210267
2850 5432871 5222604 210267 210267
2860 5432871 5222604 210267 210267
2870 5432871 5222604 210267 210267
2880 5432871 5222604 210267 210267
2890 5432871 5222604 210267 210267
2900 5432871 5222604 210267 210267
2910 5432871 5222604 210267 210267
