Optimal path [nodeId(time to the node):
36(0) -> 29(127) -> 9(119) -> 6(114) -> 16(132) -> 45(121) -> 38(133) -> 22(138) -> 23(138) -> 7(133) -> 28(145) -> 37(123) -> 46(129) -> 20(129) -> 27(123) -> 39(116) -> 1(134) -> 19(153) -> 0(131) -> 17(114) -> 43(127) -> 4(127) -> 44(135) -> 30(130) -> 8(125) -> 10(120) -> 47(128) -> 35(130) -> 31(129) -> 15(121) -> 11(130) -> 48(107) -> 14(118) -> 25(126) -> 13(120) -> 33(140) -> 41(117) -> 42(133) -> 26(144) -> 24(141) -> 12(132) -> 5(154) -> 2(128) -> 32(145) -> 21(145) -> 49(127) -> 3(119) -> 18(129) -> 40(143) -> 34(127)
Total time of delivery: 6349
The cost function value: 1005265

Statistics at the end of simulation: 
Residents: 2653253
Illness cases: 2004182 --> [75.53678446797196%]
Healthy residents: 649071 --> [24.463215532028045%]
Vaccinated residents649071 --> [24.463215532028045%]

Statistics of each node: 
id residentsNumber illnessCases healthyResidents vaccinated
36 51676 1 51675 51675
29 86455 4 86451 86451
9 90298 17 90281 90281
6 90185 64 90121 90121
16 96804 294 96510 96510
45 86355 1189 85166 85166
38 89747 5531 84216 84216
22 91889 27238 64651 64651
23 13962 13962 0 0
7 52412 52412 0 0
28 85687 85687 0 0
37 13995 13995 0 0
46 58433 58433 0 0
20 71926 71926 0 0
27 25692 25692 0 0
39 79510 79510 0 0
1 49826 49826 0 0
19 30140 30140 0 0
0 63772 63772 0 0
17 46965 46965 0 0
43 26088 26088 0 0
4 34099 34099 0 0
44 22955 22955 0 0
30 12230 12230 0 0
8 59097 59097 0 0
10 27278 27278 0 0
47 70879 70879 0 0
35 65482 65482 0 0
31 26553 26553 0 0
15 65892 65892 0 0
11 36243 36243 0 0
48 41563 41563 0 0
14 33326 33326 0 0
25 87768 87768 0 0
13 57370 57370 0 0
33 44211 44211 0 0
41 66159 66159 0 0
42 22928 22928 0 0
26 17928 17928 0 0
24 61926 61926 0 0
12 38389 38389 0 0
5 90210 90210 0 0
2 59636 59636 0 0
32 32778 32778 0 0
21 80840 80840 0 0
49 63359 63359 0 0
3 16050 16050 0 0
18 34212 34212 0 0
40 37916 37916 0 0
34 44159 44159 0 0

Statistics step by step: 
minute residentsNumber illnessCases healthyResidents vaccinated
0 2653253 50 2653203 51675
10 2653253 50 2653203 51675
20 2653253 50 2653203 51675
30 2653253 50 2653203 51675
40 2653253 50 2653203 51675
50 2653253 50 2653203 51675
60 2653253 99 2653154 51675
70 2653253 99 2653154 51675
80 2653253 99 2653154 51675
90 2653253 99 2653154 51675
100 2653253 148 2653105 51675
110 2653253 148 2653105 51675
120 2653253 197 2653056 51675
130 2653253 197 2653056 138126
140 2653253 245 2653008 138126
150 2653253 245 2653008 138126
160 2653253 293 2652960 138126
170 2653253 341 2652912 138126
180 2653253 389 2652864 138126
190 2653253 389 2652864 138126
200 2653253 485 2652768 138126
210 2653253 533 2652720 138126
220 2653253 581 2652672 138126
230 2653253 677 2652576 138126
240 2653253 773 2652480 138126
250 2653253 821 2652432 228407
260 2653253 962 2652291 228407
270 2653253 1056 2652197 228407
280 2653253 1197 2652056 228407
290 2653253 1338 2651915 228407
300 2653253 1526 2651727 228407
310 2653253 1667 2651586 228407
320 2653253 1902 2651351 228407
330 2653253 2137 2651116 228407
340 2653253 2372 2650881 228407
350 2653253 2701 2650552 228407
360 2653253 3030 2650223 318528
370 2653253 3352 2649901 318528
380 2653253 3766 2649487 318528
390 2653253 4226 2649027 318528
400 2653253 4732 2648521 318528
410 2653253 5330 2647923 318528
420 2653253 5974 2647279 318528
430 2653253 6664 2646589 318528
440 2653253 7492 2645761 318528
450 2653253 8412 2644841 318528
460 2653253 9424 2643829 318528
470 2653253 10574 2642679 318528
480 2653253 11862 2641391 318528
490 2653253 13288 2639965 318528
500 2653253 14870 2638383 415038
510 2653253 16670 2636583 415038
520 2653253 18650 2634603 415038
530 2653253 20900 2632353 415038
540 2653253 23420 2629833 415038
550 2653253 26210 2627043 415038
560 2653253 29405 2623848 415038
570 2653253 32960 2620293 415038
580 2653253 36920 2616333 415038
590 2653253 41420 2611833 415038
600 2653253 46460 2606793 415038
610 2653253 52085 2601168 415038
620 2653253 58329 2594924 500204
630 2653253 65281 2587972 500204
640 2653253 73069 2580184 500204
650 2653253 81825 2571428 500204
660 2653253 91681 2561572 500204
670 2653253 102681 2550572 500204
680 2653253 115089 2538164 500204
690 2653253 128993 2524260 500204
700 2653253 144569 2508684 500204
710 2653253 162125 2491128 500204
720 2653253 181793 2471460 500204
730 2653253 203837 2449416 500204
740 2653253 228609 2424644 500204
750 2653253 256156 2397097 584420
760 2653253 286643 2366610 584420
770 2653253 320914 2332339 584420
780 2653253 359356 2293897 584420
790 2653253 402485 2250768 584420
800 2653253 450903 2202350 584420
810 2653253 505255 2147998 584420
820 2653253 565456 2087797 584420
830 2653253 631127 2022126 584420
840 2653253 702313 1950940 584420
850 2653253 780085 1873168 584420
860 2653253 865661 1787592 584420
870 2653253 961268 1691985 584420
880 2653253 1063085 1590168 584420
890 2653253 1164949 1488304 649071
900 2653253 1273177 1380076 649071
910 2653253 1380295 1272958 649071
920 2653253 1486655 1166598 649071
930 2653253 1593833 1059420 649071
940 2653253 1700094 953159 649071
950 2653253 1807766 845487 649071
960 2653253 1895135 758118 649071
970 2653253 1947972 705281 649071
980 2653253 1988227 665026 649071
990 2653253 2004182 649071 649071
1000 2653253 2004182 649071 649071
1010 2653253 2004182 649071 649071
1020 2653253 2004182 649071 649071
1030 2653253 2004182 649071 649071
1040 2653253 2004182 649071 649071
1050 2653253 2004182 649071 649071
1060 2653253 2004182 649071 649071
1070 2653253 2004182 649071 649071
1080 2653253 2004182 649071 649071
1090 2653253 2004182 649071 649071
1100 2653253 2004182 649071 649071
1110 2653253 2004182 649071 649071
1120 2653253 2004182 649071 649071
1130 2653253 2004182 649071 649071
1140 2653253 2004182 649071 649071
1150 2653253 2004182 649071 649071
1160 2653253 2004182 649071 649071
1170 2653253 2004182 649071 649071
1180 2653253 2004182 649071 649071
1190 2653253 2004182 649071 649071
1200 2653253 2004182 649071 649071
1210 2653253 2004182 649071 649071
1220 2653253 2004182 649071 649071
1230 2653253 2004182 649071 649071
1240 2653253 2004182 649071 649071
1250 2653253 2004182 649071 649071
1260 2653253 2004182 649071 649071
1270 2653253 2004182 649071 649071
1280 2653253 2004182 649071 649071
1290 2653253 2004182 649071 649071
1300 2653253 2004182 649071 649071
1310 2653253 2004182 649071 649071
1320 2653253 2004182 649071 649071
1330 2653253 2004182 649071 649071
1340 2653253 2004182 649071 649071
1350 2653253 2004182 649071 649071
1360 2653253 2004182 649071 649071
1370 2653253 2004182 649071 649071
1380 2653253 2004182 649071 649071
1390 2653253 2004182 649071 649071
1400 2653253 2004182 649071 649071
1410 2653253 2004182 649071 649071
1420 2653253 2004182 649071 649071
1430 2653253 2004182 649071 649071
1440 2653253 2004182 649071 649071
1450 2653253 2004182 649071 649071
1460 2653253 2004182 649071 649071
1470 2653253 2004182 649071 649071
1480 2653253 2004182 649071 649071
1490 2653253 2004182 649071 649071
1500 2653253 2004182 649071 649071
1510 2653253 2004182 649071 649071
1520 2653253 2004182 649071 649071
1530 2653253 2004182 649071 649071
1540 2653253 2004182 649071 649071
1550 2653253 2004182 649071 649071
1560 2653253 2004182 649071 649071
1570 2653253 2004182 649071 649071
1580 2653253 2004182 649071 649071
1590 2653253 2004182 649071 649071
1600 2653253 2004182 649071 649071
1610 2653253 2004182 649071 649071
1620 2653253 2004182 649071 649071
1630 2653253 2004182 649071 649071
1640 2653253 2004182 649071 649071
1650 2653253 2004182 649071 649071
1660 2653253 2004182 649071 649071
1670 2653253 2004182 649071 649071
1680 2653253 2004182 649071 649071
1690 2653253 2004182 649071 649071
1700 2653253 2004182 649071 649071
1710 2653253 2004182 649071 649071
1720 2653253 2004182 649071 649071
1730 2653253 2004182 649071 649071
1740 2653253 2004182 649071 649071
1750 2653253 2004182 649071 649071
1760 2653253 2004182 649071 649071
1770 2653253 2004182 649071 649071
1780 2653253 2004182 649071 649071
1790 2653253 2004182 649071 649071
1800 2653253 2004182 649071 649071
1810 2653253 2004182 649071 649071
1820 2653253 2004182 649071 649071
1830 2653253 2004182 649071 649071
1840 2653253 2004182 649071 649071
1850 2653253 2004182 649071 649071
1860 2653253 2004182 649071 649071
1870 2653253 2004182 649071 649071
1880 2653253 2004182 649071 649071
1890 2653253 2004182 649071 649071
1900 2653253 2004182 649071 649071
1910 2653253 2004182 649071 649071
1920 2653253 2004182 649071 649071
1930 2653253 2004182 649071 649071
1940 2653253 2004182 649071 649071
1950 2653253 2004182 649071 649071
1960 2653253 2004182 649071 649071
1970 2653253 2004182 649071 649071
1980 2653253 2004182 649071 649071
1990 2653253 2004182 649071 649071
2000 2653253 2004182 649071 649071
2010 2653253 2004182 649071 649071
2020 2653253 2004182 649071 649071
2030 2653253 2004182 649071 649071
2040 2653253 2004182 649071 649071
2050 2653253 2004182 649071 649071
2060 2653253 2004182 649071 649071
2070 2653253 2004182 649071 649071
2080 2653253 2004182 649071 649071
2090 2653253 2004182 649071 649071
2100 2653253 2004182 649071 649071
2110 2653253 2004182 649071 649071
2120 2653253 2004182 649071 649071
2130 2653253 2004182 649071 649071
2140 2653253 2004182 649071 649071
2150 2653253 2004182 649071 649071
2160 2653253 2004182 649071 649071
2170 2653253 2004182 649071 649071
2180 2653253 2004182 649071 649071
2190 2653253 2004182 649071 649071
2200 2653253 2004182 649071 649071
2210 2653253 2004182 649071 649071
2220 2653253 2004182 649071 649071
2230 2653253 2004182 649071 649071
2240 2653253 2004182 649071 649071
2250 2653253 2004182 649071 649071
2260 2653253 2004182 649071 649071
2270 2653253 2004182 649071 649071
2280 2653253 2004182 649071 649071
2290 2653253 2004182 649071 649071
2300 2653253 2004182 649071 649071
2310 2653253 2004182 649071 649071
2320 2653253 2004182 649071 649071
2330 2653253 2004182 649071 649071
2340 2653253 2004182 649071 649071
2350 2653253 2004182 649071 649071
2360 2653253 2004182 649071 649071
2370 2653253 2004182 649071 649071
2380 2653253 2004182 649071 649071
2390 2653253 2004182 649071 649071
2400 2653253 2004182 649071 649071
2410 2653253 2004182 649071 649071
2420 2653253 2004182 649071 649071
2430 2653253 2004182 649071 649071
2440 2653253 2004182 649071 649071
2450 2653253 2004182 649071 649071
2460 2653253 2004182 649071 649071
2470 2653253 2004182 649071 649071
2480 2653253 2004182 649071 649071
2490 2653253 2004182 649071 649071
2500 2653253 2004182 649071 649071
2510 2653253 2004182 649071 649071
2520 2653253 2004182 649071 649071
2530 2653253 2004182 649071 649071
2540 2653253 2004182 649071 649071
2550 2653253 2004182 649071 649071
2560 2653253 2004182 649071 649071
2570 2653253 2004182 649071 649071
2580 2653253 2004182 649071 649071
2590 2653253 2004182 649071 649071
2600 2653253 2004182 649071 649071
2610 2653253 2004182 649071 649071
2620 2653253 2004182 649071 649071
2630 2653253 2004182 649071 649071
2640 2653253 2004182 649071 649071
2650 2653253 2004182 649071 649071
2660 2653253 2004182 649071 649071
2670 2653253 2004182 649071 649071
2680 2653253 2004182 649071 649071
2690 2653253 2004182 649071 649071
2700 2653253 2004182 649071 649071
2710 2653253 2004182 649071 649071
2720 2653253 2004182 649071 649071
2730 2653253 2004182 649071 649071
2740 2653253 2004182 649071 649071
2750 2653253 2004182 649071 649071
2760 2653253 2004182 649071 649071
2770 2653253 2004182 649071 649071
2780 2653253 2004182 649071 649071
2790 2653253 2004182 649071 649071
2800 2653253 2004182 649071 649071
2810 2653253 2004182 649071 649071
2820 2653253 2004182 649071 649071
2830 2653253 2004182 649071 649071
2840 2653253 2004182 649071 649071
2850 2653253 2004182 649071 649071
2860 2653253 2004182 649071 649071
2870 2653253 2004182 649071 649071
2880 2653253 2004182 649071 649071
2890 2653253 2004182 649071 649071
2900 2653253 2004182 649071 649071
2910 2653253 2004182 649071 649071
2920 2653253 2004182 649071 649071
2930 2653253 2004182 649071 649071
2940 2653253 2004182 649071 649071
2950 2653253 2004182 649071 649071
2960 2653253 2004182 649071 649071
2970 2653253 2004182 649071 649071
2980 2653253 2004182 649071 649071
2990 2653253 2004182 649071 649071
3000 2653253 2004182 649071 649071
3010 2653253 2004182 649071 649071
3020 2653253 2004182 649071 649071
3030 2653253 2004182 649071 649071
3040 2653253 2004182 649071 649071
3050 2653253 2004182 649071 649071
3060 2653253 2004182 649071 649071
