Optimal path [nodeId(time to the node):
36(0) -> 29(127) -> 41(134) -> 21(112) -> 10(125) -> 5(114) -> 7(122) -> 8(121) -> 26(115) -> 35(137) -> 15(111) -> 1(133) -> 39(135) -> 37(133) -> 32(121) -> 48(135) -> 23(128) -> 27(121) -> 0(125) -> 18(151) -> 31(114) -> 49(119) -> 46(135) -> 17(142) -> 44(120) -> 4(122) -> 13(122) -> 14(141) -> 16(135) -> 30(127) -> 47(101) -> 24(126) -> 20(124) -> 28(134) -> 38(119) -> 19(128) -> 2(136) -> 33(124) -> 3(133) -> 6(129) -> 9(119) -> 12(132) -> 11(124) -> 40(121) -> 25(124) -> 42(133) -> 34(134) -> 22(144) -> 43(145) -> 45(160)
Total time of delivery: 6267
The cost function value: 6267

Statistics at the end of simulation: 
Residents: 2653253
Illness cases: 2165014 --> [81.59847553173407%]
Healthy residents: 488239 --> [18.401524468265936%]
Vaccinated residents488239 --> [18.401524468265936%]

Statistics of each node: 
id residentsNumber illnessCases healthyResidents vaccinated
36 51676 1 51675 51675
29 86455 4 86451 86451
41 66159 20 66139 66139
21 80840 74 80766 80766
10 27278 315 26963 26963
5 90210 1176 89034 89034
7 52412 4815 47597 47597
8 59097 19483 39614 39614
26 17928 17928 0 0
35 65482 65482 0 0
15 65892 65892 0 0
1 49826 49826 0 0
39 79510 79510 0 0
37 13995 13995 0 0
32 32778 32778 0 0
48 41563 41563 0 0
23 13962 13962 0 0
27 25692 25692 0 0
0 63772 63772 0 0
18 34212 34212 0 0
31 26553 26553 0 0
49 63359 63359 0 0
46 58433 58433 0 0
17 46965 46965 0 0
44 22955 22955 0 0
4 34099 34099 0 0
13 57370 57370 0 0
14 33326 33326 0 0
16 96804 96804 0 0
30 12230 12230 0 0
47 70879 70879 0 0
24 61926 61926 0 0
20 71926 71926 0 0
28 85687 85687 0 0
38 89747 89747 0 0
19 30140 30140 0 0
2 59636 59636 0 0
33 44211 44211 0 0
3 16050 16050 0 0
6 90185 90185 0 0
9 90298 90298 0 0
12 38389 38389 0 0
11 36243 36243 0 0
40 37916 37916 0 0
25 87768 87768 0 0
42 22928 22928 0 0
34 44159 44159 0 0
22 91889 91889 0 0
43 26088 26088 0 0
45 86355 86355 0 0

Statistics step by step: 
minute residentsNumber illnessCases healthyResidents vaccinated
0 2653253 50 2653203 51675
10 2653253 50 2653203 51675
20 2653253 50 2653203 51675
30 2653253 50 2653203 51675
40 2653253 50 2653203 51675
50 2653253 50 2653203 51675
60 2653253 99 2653154 51675
70 2653253 99 2653154 51675
80 2653253 99 2653154 51675
90 2653253 99 2653154 51675
100 2653253 148 2653105 51675
110 2653253 148 2653105 51675
120 2653253 197 2653056 51675
130 2653253 197 2653056 138126
140 2653253 245 2653008 138126
150 2653253 245 2653008 138126
160 2653253 293 2652960 138126
170 2653253 341 2652912 138126
180 2653253 389 2652864 138126
190 2653253 389 2652864 138126
200 2653253 485 2652768 138126
210 2653253 533 2652720 138126
220 2653253 581 2652672 138126
230 2653253 677 2652576 138126
240 2653253 773 2652480 138126
250 2653253 821 2652432 138126
260 2653253 965 2652288 138126
270 2653253 1059 2652194 204265
280 2653253 1200 2652053 204265
290 2653253 1341 2651912 204265
300 2653253 1529 2651724 204265
310 2653253 1670 2651583 204265
320 2653253 1905 2651348 204265
330 2653253 2140 2651113 204265
340 2653253 2375 2650878 204265
350 2653253 2704 2650549 204265
360 2653253 3033 2650220 204265
370 2653253 3362 2649891 204265
380 2653253 3779 2649474 285031
390 2653253 4239 2649014 285031
400 2653253 4745 2648508 285031
410 2653253 5343 2647910 285031
420 2653253 5987 2647266 285031
430 2653253 6677 2646576 285031
440 2653253 7505 2645748 285031
450 2653253 8425 2644828 285031
460 2653253 9437 2643816 285031
470 2653253 10587 2642666 285031
480 2653253 11875 2641378 285031
490 2653253 13301 2639952 285031
500 2653253 14904 2638349 311994
510 2653253 16704 2636549 311994
520 2653253 18684 2634569 311994
530 2653253 20934 2632319 311994
540 2653253 23454 2629799 311994
550 2653253 26244 2627009 311994
560 2653253 29439 2623814 311994
570 2653253 32994 2620259 311994
580 2653253 36954 2616299 311994
590 2653253 41454 2611799 311994
600 2653253 46494 2606759 311994
610 2653253 52119 2601134 311994
620 2653253 58350 2594903 401028
630 2653253 65302 2587951 401028
640 2653253 73090 2580163 401028
650 2653253 81846 2571407 401028
660 2653253 91702 2561551 401028
670 2653253 102702 2550551 401028
680 2653253 115110 2538143 401028
690 2653253 129014 2524239 401028
700 2653253 144590 2508663 401028
710 2653253 162146 2491107 401028
720 2653253 181814 2471439 401028
730 2653253 203858 2449395 401028
740 2653253 228285 2424968 448625
750 2653253 255461 2397792 448625
760 2653253 285948 2367305 448625
770 2653253 320219 2333034 448625
780 2653253 358661 2294592 448625
790 2653253 401790 2251463 448625
800 2653253 450208 2203045 448625
810 2653253 504560 2148693 448625
820 2653253 564761 2088492 448625
830 2653253 630432 2022821 448625
840 2653253 701618 1951635 448625
850 2653253 779390 1873863 448625
860 2653253 863807 1789446 488239
870 2653253 956886 1696367 488239
880 2653253 1055866 1597387 488239
890 2653253 1158413 1494840 488239
900 2653253 1270217 1383036 488239
910 2653253 1381347 1271906 488239
920 2653253 1492212 1161041 488239
930 2653253 1604445 1048808 488239
940 2653253 1716381 936872 488239
950 2653253 1836396 816857 488239
960 2653253 1944506 708747 488239
970 2653253 2028820 624433 488239
980 2653253 2106841 546412 488239
990 2653253 2160891 492362 488239
1000 2653253 2165014 488239 488239
1010 2653253 2165014 488239 488239
1020 2653253 2165014 488239 488239
1030 2653253 2165014 488239 488239
1040 2653253 2165014 488239 488239
1050 2653253 2165014 488239 488239
1060 2653253 2165014 488239 488239
1070 2653253 2165014 488239 488239
1080 2653253 2165014 488239 488239
1090 2653253 2165014 488239 488239
1100 2653253 2165014 488239 488239
1110 2653253 2165014 488239 488239
1120 2653253 2165014 488239 488239
1130 2653253 2165014 488239 488239
1140 2653253 2165014 488239 488239
