Optimal path [nodeId(time to the node):
7(0) -> 6(126) -> 0(126) -> 5(137) -> 9(132) -> 1(138) -> 8(147) -> 4(138) -> 2(126) -> 3(151)
Total time of delivery: 1221
The cost function value: 55253

Statistics at the end of simulation: 
Residents: 405877
Illness cases: 55254 --> [13.613483887975914%]
Healthy residents: 350623 --> [86.38651611202408%]
Vaccinated residents350623 --> [86.38651611202408%]

Statistics of each node: 
id residentsNumber illnessCases healthyResidents vaccinated
7 90816 1 90815 90815
6 18679 4 18675 18675
0 85881 18 85863 85863
5 23562 89 23473 23473
9 55772 411 55361 55361
1 19022 2024 16998 16998
8 70500 11062 59438 59438
4 13139 13139 0 0
2 16497 16497 0 0
3 12009 12009 0 0

Statistics step by step: 
minute residentsNumber illnessCases healthyResidents vaccinated
0 405877 10 405867 90815
10 405877 10 405867 90815
20 405877 10 405867 90815
30 405877 10 405867 90815
40 405877 10 405867 90815
50 405877 10 405867 90815
60 405877 19 405858 90815
70 405877 19 405858 90815
80 405877 19 405858 90815
90 405877 19 405858 90815
100 405877 28 405849 90815
110 405877 28 405849 90815
120 405877 37 405840 90815
130 405877 37 405840 109490
140 405877 45 405832 109490
150 405877 45 405832 109490
160 405877 53 405824 109490
170 405877 61 405816 109490
180 405877 69 405808 109490
190 405877 69 405808 109490
200 405877 85 405792 109490
210 405877 93 405784 109490
220 405877 101 405776 109490
230 405877 117 405760 109490
240 405877 133 405744 109490
250 405877 141 405736 109490
260 405877 163 405714 195353
270 405877 177 405700 195353
280 405877 198 405679 195353
290 405877 219 405658 195353
300 405877 247 405630 195353
310 405877 268 405609 195353
320 405877 303 405574 195353
330 405877 338 405539 195353
340 405877 373 405504 195353
350 405877 422 405455 195353
360 405877 471 405406 195353
370 405877 520 405357 195353
380 405877 583 405294 195353
390 405877 652 405225 218826
400 405877 718 405159 218826
410 405877 796 405081 218826
420 405877 880 404997 218826
430 405877 970 404907 218826
440 405877 1078 404799 218826
450 405877 1198 404679 218826
460 405877 1330 404547 218826
470 405877 1480 404397 218826
480 405877 1648 404229 218826
490 405877 1834 404043 218826
500 405877 2044 403833 218826
510 405877 2284 403593 218826
520 405877 2548 403329 218826
530 405877 2803 403074 274187
540 405877 3083 402794 274187
550 405877 3393 402484 274187
560 405877 3748 402129 274187
570 405877 4143 401734 274187
580 405877 4583 401294 274187
590 405877 5083 400794 274187
600 405877 5643 400234 274187
610 405877 6268 399609 274187
620 405877 6973 398904 274187
630 405877 7763 398114 274187
640 405877 8648 397229 274187
650 405877 9643 396234 274187
660 405877 10739 395138 291185
670 405877 11739 394138 291185
680 405877 12867 393010 291185
690 405877 14131 391746 291185
700 405877 15547 390330 291185
710 405877 17143 388734 291185
720 405877 18931 386946 291185
730 405877 20935 384942 291185
740 405877 23187 382690 291185
750 405877 25715 380162 291185
760 405877 28551 377326 291185
770 405877 31739 374138 291185
780 405877 35315 370562 291185
790 405877 39327 366550 291185
800 405877 43831 362046 291185
810 405877 48364 357513 350623
820 405877 51624 354253 350623
830 405877 53353 352524 350623
840 405877 55141 350736 350623
850 405877 55254 350623 350623
860 405877 55254 350623 350623
870 405877 55254 350623 350623
880 405877 55254 350623 350623
890 405877 55254 350623 350623
900 405877 55254 350623 350623
910 405877 55254 350623 350623
920 405877 55254 350623 350623
930 405877 55254 350623 350623
940 405877 55254 350623 350623
950 405877 55254 350623 350623
960 405877 55254 350623 350623
970 405877 55254 350623 350623
980 405877 55254 350623 350623
990 405877 55254 350623 350623
1000 405877 55254 350623 350623
1010 405877 55254 350623 350623
1020 405877 55254 350623 350623
1030 405877 55254 350623 350623
1040 405877 55254 350623 350623
1050 405877 55254 350623 350623
1060 405877 55254 350623 350623
1070 405877 55254 350623 350623
1080 405877 55254 350623 350623
1090 405877 55254 350623 350623
1100 405877 55254 350623 350623
1110 405877 55254 350623 350623
1120 405877 55254 350623 350623
1130 405877 55254 350623 350623
1140 405877 55254 350623 350623
1150 405877 55254 350623 350623
1160 405877 55254 350623 350623
1170 405877 55254 350623 350623
1180 405877 55254 350623 350623
1190 405877 55254 350623 350623
1200 405877 55254 350623 350623
1210 405877 55254 350623 350623
1220 405877 55254 350623 350623

