Optimal path [nodeId(time to the node):
36(0) -> 22(128) -> 16(111) -> 38(128) -> 34(133) -> 21(123) -> 29(154) -> 19(127) -> 31(161) -> 39(153) -> 49(138) -> 24(150) -> 47(127) -> 0(136) -> 4(170) -> 12(136) -> 44(150) -> 20(149) -> 33(165) -> 13(145) -> 5(169) -> 10(157) -> 9(140) -> 32(129) -> 45(131) -> 46(146) -> 17(141) -> 37(133) -> 15(140) -> 48(146) -> 30(148) -> 23(153) -> 8(141) -> 7(136) -> 25(133) -> 40(154) -> 41(160) -> 42(133) -> 14(140) -> 6(149) -> 28(142) -> 3(129) -> 1(134) -> 26(140) -> 18(145) -> 43(117) -> 27(136) -> 2(122) -> 35(156) -> 11(140)
Total time of delivery: 6924
The cost function value: 2381942

Statistics at the end of simulation: 
Residents: 2653253
Illness cases: 2381943 --> [89.77443915073307%]
Healthy residents: 271310 --> [10.225560849266918%]
Vaccinated residents271310 --> [10.225560849266918%]

Statistics of each node: 
id residentsNumber illnessCases healthyResidents vaccinated
36 51676 1 51675 51675
22 91889 45 91844 91844
16 96804 1257 95547 95547
38 89747 57503 32244 32244
34 44159 44159 0 0
21 80840 80840 0 0
29 86455 86455 0 0
19 30140 30140 0 0
31 26553 26553 0 0
39 79510 79510 0 0
49 63359 63359 0 0
24 61926 61926 0 0
47 70879 70879 0 0
0 63772 63772 0 0
4 34099 34099 0 0
12 38389 38389 0 0
44 22955 22955 0 0
20 71926 71926 0 0
33 44211 44211 0 0
13 57370 57370 0 0
5 90210 90210 0 0
10 27278 27278 0 0
9 90298 90298 0 0
32 32778 32778 0 0
45 86355 86355 0 0
46 58433 58433 0 0
17 46965 46965 0 0
37 13995 13995 0 0
15 65892 65892 0 0
48 41563 41563 0 0
30 12230 12230 0 0
23 13962 13962 0 0
8 59097 59097 0 0
7 52412 52412 0 0
25 87768 87768 0 0
40 37916 37916 0 0
41 66159 66159 0 0
42 22928 22928 0 0
14 33326 33326 0 0
6 90185 90185 0 0
28 85687 85687 0 0
3 16050 16050 0 0
1 49826 49826 0 0
26 17928 17928 0 0
18 34212 34212 0 0
43 26088 26088 0 0
27 25692 25692 0 0
2 59636 59636 0 0
35 65482 65482 0 0
11 36243 36243 0 0

Statistics step by step: 
minute residentsNumber illnessCases healthyResidents vaccinated
0 2653253 50 2653203 51675
10 2653253 50 2653203 51675
20 2653253 50 2653203 51675
30 2653253 99 2653154 51675
40 2653253 148 2653105 51675
50 2653253 197 2653056 51675
60 2653253 295 2652958 51675
70 2653253 393 2652860 51675
80 2653253 491 2652762 51675
90 2653253 687 2652566 51675
100 2653253 932 2652321 51675
110 2653253 1275 2651978 51675
120 2653253 1765 2651488 51675
130 2653253 2350 2650903 143519
140 2653253 3166 2650087 143519
150 2653253 4270 2648983 143519
160 2653253 5710 2647543 143519
170 2653253 7726 2645527 143519
180 2653253 10414 2642839 143519
190 2653253 14014 2639239 143519
200 2653253 18862 2634391 143519
210 2653253 25438 2627815 143519
220 2653253 34270 2618983 143519
230 2653253 46174 2607079 143519
240 2653253 62215 2591038 239066
250 2653253 83412 2569841 239066
260 2653253 111941 2541312 239066
270 2653253 150481 2502772 239066
280 2653253 202416 2450837 239066
290 2653253 272399 2380854 239066
300 2653253 366775 2286478 239066
310 2653253 493957 2159296 239066
320 2653253 663166 1990087 239066
330 2653253 875442 1777811 239066
340 2653253 1148351 1504902 239066
350 2653253 1464458 1188795 239066
360 2653253 1800398 852855 239066
370 2653253 2143438 509815 271310
380 2653253 2358438 294815 271310
390 2653253 2381943 271310 271310
400 2653253 2381943 271310 271310
410 2653253 2381943 271310 271310
420 2653253 2381943 271310 271310
430 2653253 2381943 271310 271310
440 2653253 2381943 271310 271310
450 2653253 2381943 271310 271310
460 2653253 2381943 271310 271310
470 2653253 2381943 271310 271310
480 2653253 2381943 271310 271310
490 2653253 2381943 271310 271310
500 2653253 2381943 271310 271310
510 2653253 2381943 271310 271310
520 2653253 2381943 271310 271310
530 2653253 2381943 271310 271310
540 2653253 2381943 271310 271310
550 2653253 2381943 271310 271310
560 2653253 2381943 271310 271310
570 2653253 2381943 271310 271310
580 2653253 2381943 271310 271310
590 2653253 2381943 271310 271310
600 2653253 2381943 271310 271310
610 2653253 2381943 271310 271310
620 2653253 2381943 271310 271310
630 2653253 2381943 271310 271310
640 2653253 2381943 271310 271310
650 2653253 2381943 271310 271310
660 2653253 2381943 271310 271310
670 2653253 2381943 271310 271310
680 2653253 2381943 271310 271310
690 2653253 2381943 271310 271310
700 2653253 2381943 271310 271310
710 2653253 2381943 271310 271310
720 2653253 2381943 271310 271310
730 2653253 2381943 271310 271310
740 2653253 2381943 271310 271310
750 2653253 2381943 271310 271310
760 2653253 2381943 271310 271310
770 2653253 2381943 271310 271310
780 2653253 2381943 271310 271310
790 2653253 2381943 271310 271310
800 2653253 2381943 271310 271310
810 2653253 2381943 271310 271310
820 2653253 2381943 271310 271310
