Optimal path [nodeId(time to the node):
7(0) -> 2(119) -> 4(138) -> 8(137) -> 6(135) -> 9(147) -> 1(136) -> 0(137) -> 3(138) -> 5(139)
Total time of delivery: 1226
The cost function value: 1226

Statistics at the end of simulation: 
Residents: 405877
Illness cases: 287613 --> [70.86210847128564%]
Healthy residents: 118264 --> [29.137891528714366%]
Vaccinated residents118264 --> [29.137891528714366%]

Statistics of each node: 
id residentsNumber illnessCases healthyResidents vaccinated
7 90816 1 90815 90815
2 16497 34 16463 16463
4 13139 2153 10986 10986
8 70500 70500 0 0
6 18679 18679 0 0
9 55772 55772 0 0
1 19022 19022 0 0
0 85881 85881 0 0
3 12009 12009 0 0
5 23562 23562 0 0

Statistics step by step: 
minute residentsNumber illnessCases healthyResidents vaccinated
0 405877 10 405867 90815
10 405877 10 405867 90815
20 405877 10 405867 90815
30 405877 19 405858 90815
40 405877 28 405849 90815
50 405877 37 405840 90815
60 405877 55 405822 90815
70 405877 73 405804 90815
80 405877 91 405786 90815
90 405877 127 405750 90815
100 405877 172 405705 90815
110 405877 235 405642 90815
120 405877 323 405554 107278
130 405877 419 405458 107278
140 405877 555 405322 107278
150 405877 739 405138 107278
160 405877 979 404898 107278
170 405877 1315 404562 107278
180 405877 1763 404114 107278
190 405877 2363 403514 107278
200 405877 3171 402706 107278
210 405877 4267 401610 107278
220 405877 5739 400138 107278
230 405877 7723 398154 107278
240 405877 10403 395474 107278
250 405877 14011 391866 107278
260 405877 18666 387211 118264
270 405877 24406 381471 118264
280 405877 32141 373736 118264
290 405877 42564 363313 118264
300 405877 56620 349257 118264
310 405877 75562 330315 118264
320 405877 98971 306906 118264
330 405877 128086 277791 118264
340 405877 152485 253392 118264
350 405877 179293 226584 118264
360 405877 215428 190449 118264
370 405877 257016 148861 118264
380 405877 286511 119366 118264
390 405877 287613 118264 118264
400 405877 287613 118264 118264
410 405877 287613 118264 118264
420 405877 287613 118264 118264
430 405877 287613 118264 118264
440 405877 287613 118264 118264
450 405877 287613 118264 118264
460 405877 287613 118264 118264
470 405877 287613 118264 118264
480 405877 287613 118264 118264
490 405877 287613 118264 118264
500 405877 287613 118264 118264
510 405877 287613 118264 118264
520 405877 287613 118264 118264
530 405877 287613 118264 118264
540 405877 287613 118264 118264
550 405877 287613 118264 118264
560 405877 287613 118264 118264
570 405877 287613 118264 118264
580 405877 287613 118264 118264
590 405877 287613 118264 118264
600 405877 287613 118264 118264
610 405877 287613 118264 118264
620 405877 287613 118264 118264
630 405877 287613 118264 118264
640 405877 287613 118264 118264
650 405877 287613 118264 118264
660 405877 287613 118264 118264
670 405877 287613 118264 118264
680 405877 287613 118264 118264
690 405877 287613 118264 118264
700 405877 287613 118264 118264
710 405877 287613 118264 118264
720 405877 287613 118264 118264
730 405877 287613 118264 118264
740 405877 287613 118264 118264
750 405877 287613 118264 118264
760 405877 287613 118264 118264
770 405877 287613 118264 118264
780 405877 287613 118264 118264
790 405877 287613 118264 118264
800 405877 287613 118264 118264
810 405877 287613 118264 118264
820 405877 287613 118264 118264
830 405877 287613 118264 118264
840 405877 287613 118264 118264
850 405877 287613 118264 118264
860 405877 287613 118264 118264
870 405877 287613 118264 118264
880 405877 287613 118264 118264
890 405877 287613 118264 118264
900 405877 287613 118264 118264
910 405877 287613 118264 118264
920 405877 287613 118264 118264
930 405877 287613 118264 118264
940 405877 287613 118264 118264
950 405877 287613 118264 118264
960 405877 287613 118264 118264
970 405877 287613 118264 118264
980 405877 287613 118264 118264
990 405877 287613 118264 118264
1000 405877 287613 118264 118264
1010 405877 287613 118264 118264
1020 405877 287613 118264 118264
1030 405877 287613 118264 118264
1040 405877 287613 118264 118264
1050 405877 287613 118264 118264
1060 405877 287613 118264 118264
1070 405877 287613 118264 118264
1080 405877 287613 118264 118264
1090 405877 287613 118264 118264
1100 405877 287613 118264 118264
1110 405877 287613 118264 118264
1120 405877 287613 118264 118264
1130 405877 287613 118264 118264
1140 405877 287613 118264 118264
1150 405877 287613 118264 118264
1160 405877 287613 118264 118264
1170 405877 287613 118264 118264
1180 405877 287613 118264 118264
1190 405877 287613 118264 118264
1200 405877 287613 118264 118264
1210 405877 287613 118264 118264
1220 405877 287613 118264 118264

