Optimal path [nodeId(time to the node):
7(0) -> 2(119) -> 4(138) -> 3(133) -> 0(127) -> 8(137) -> 5(138) -> 9(146) -> 1(131) -> 6(150)
Total time of delivery: 1219
The cost function value: 1219

Statistics at the end of simulation: 
Residents: 405877
Illness cases: 100353 --> [24.72497825695962%]
Healthy residents: 305524 --> [75.27502174304038%]
Vaccinated residents305524 --> [75.27502174304038%]

Statistics of each node: 
id residentsNumber illnessCases healthyResidents vaccinated
7 90816 1 90815 90815
2 16497 3 16494 16494
4 13139 19 13120 13120
3 12009 90 11919 11919
0 85881 392 85489 85489
8 70500 1910 68590 68590
5 23562 9410 14152 14152
9 55772 50827 4945 4945
1 19022 19022 0 0
6 18679 18679 0 0

Statistics step by step: 
minute residentsNumber illnessCases healthyResidents vaccinated
0 405877 10 405867 90815
10 405877 10 405867 90815
20 405877 10 405867 90815
30 405877 10 405867 90815
40 405877 10 405867 90815
50 405877 10 405867 90815
60 405877 19 405858 90815
70 405877 19 405858 90815
80 405877 19 405858 90815
90 405877 19 405858 90815
100 405877 28 405849 90815
110 405877 28 405849 90815
120 405877 36 405841 107309
130 405877 36 405841 107309
140 405877 44 405833 107309
150 405877 44 405833 107309
160 405877 52 405825 107309
170 405877 60 405817 107309
180 405877 68 405809 107309
190 405877 68 405809 107309
200 405877 84 405793 107309
210 405877 92 405785 107309
220 405877 100 405777 107309
230 405877 116 405761 107309
240 405877 132 405745 107309
250 405877 140 405737 107309
260 405877 163 405714 120429
270 405877 177 405700 120429
280 405877 198 405679 120429
290 405877 219 405658 120429
300 405877 247 405630 120429
310 405877 268 405609 120429
320 405877 303 405574 120429
330 405877 338 405539 120429
340 405877 373 405504 120429
350 405877 422 405455 120429
360 405877 471 405406 120429
370 405877 520 405357 120429
380 405877 583 405294 120429
390 405877 653 405224 132348
400 405877 719 405158 132348
410 405877 797 405080 132348
420 405877 881 404996 132348
430 405877 971 404906 132348
440 405877 1079 404798 132348
450 405877 1199 404678 132348
460 405877 1331 404546 132348
470 405877 1481 404396 132348
480 405877 1649 404228 132348
490 405877 1835 404042 132348
500 405877 2045 403832 132348
510 405877 2285 403592 132348
520 405877 2535 403342 217837
530 405877 2785 403092 217837
540 405877 3065 402812 217837
550 405877 3375 402502 217837
560 405877 3730 402147 217837
570 405877 4125 401752 217837
580 405877 4565 401312 217837
590 405877 5065 400812 217837
600 405877 5625 400252 217837
610 405877 6250 399627 217837
620 405877 6955 398922 217837
630 405877 7745 398132 217837
640 405877 8630 397247 217837
650 405877 9625 396252 217837
660 405877 10607 395270 286427
670 405877 11607 394270 286427
680 405877 12735 393142 286427
690 405877 13999 391878 286427
700 405877 15415 390462 286427
710 405877 17011 388866 286427
720 405877 18799 387078 286427
730 405877 20803 385074 286427
740 405877 23055 382822 286427
750 405877 25583 380294 286427
760 405877 28419 377458 286427
770 405877 31607 374270 286427
780 405877 35183 370694 286427
790 405877 39195 366682 286427
800 405877 42788 363089 300579
810 405877 46580 359297 300579
820 405877 50834 355043 300579
830 405877 55613 350264 300579
840 405877 60977 344900 300579
850 405877 66995 338882 300579
860 405877 70168 335709 300579
870 405877 72696 333181 300579
880 405877 75533 330344 300579
890 405877 78718 327159 300579
900 405877 82294 323583 300579
910 405877 86306 319571 300579
920 405877 90811 315066 300579
930 405877 95866 310011 300579
940 405877 100353 305524 305524
950 405877 100353 305524 305524
960 405877 100353 305524 305524
970 405877 100353 305524 305524
980 405877 100353 305524 305524
990 405877 100353 305524 305524
1000 405877 100353 305524 305524
1010 405877 100353 305524 305524
1020 405877 100353 305524 305524
1030 405877 100353 305524 305524
1040 405877 100353 305524 305524
1050 405877 100353 305524 305524
1060 405877 100353 305524 305524
1070 405877 100353 305524 305524
1080 405877 100353 305524 305524
1090 405877 100353 305524 305524
1100 405877 100353 305524 305524
1110 405877 100353 305524 305524
1120 405877 100353 305524 305524
1130 405877 100353 305524 305524
1140 405877 100353 305524 305524
1150 405877 100353 305524 305524
1160 405877 100353 305524 305524
1170 405877 100353 305524 305524
1180 405877 100353 305524 305524
1190 405877 100353 305524 305524
1200 405877 100353 305524 305524
1210 405877 100353 305524 305524

