Optimal path [nodeId(time to the node):
17(0) -> 79(132) -> 47(147) -> 50(128) -> 37(123) -> 11(135) -> 73(140) -> 24(143) -> 58(142) -> 5(132) -> 92(146) -> 54(127) -> 86(155) -> 56(146) -> 46(145) -> 16(151) -> 61(118) -> 85(125) -> 27(150) -> 71(151) -> 57(139) -> 53(121) -> 69(136) -> 66(128) -> 28(141) -> 49(151) -> 22(139) -> 21(133) -> 25(129) -> 65(132) -> 78(153) -> 35(132) -> 77(119) -> 89(129) -> 87(144) -> 55(141) -> 42(122) -> 32(138) -> 2(156) -> 82(155) -> 9(150) -> 52(157) -> 3(165) -> 8(120) -> 10(162) -> 84(113) -> 30(149) -> 44(159) -> 0(132) -> 19(155) -> 45(155) -> 1(142) -> 26(132) -> 20(116) -> 41(143) -> 72(132) -> 91(139) -> 36(154) -> 48(113) -> 80(150) -> 68(132) -> 14(131) -> 51(131) -> 67(143) -> 99(147) -> 12(155) -> 94(138) -> 88(138) -> 95(136) -> 81(140) -> 15(161) -> 38(164) -> 31(143) -> 62(143) -> 60(139) -> 64(137) -> 75(133) -> 7(143) -> 40(161) -> 43(141) -> 90(159) -> 76(166) -> 70(138) -> 6(121) -> 23(163) -> 34(132) -> 93(135) -> 98(159) -> 29(139) -> 39(143) -> 74(156) -> 96(154) -> 13(126) -> 18(147) -> 63(148) -> 33(118) -> 83(120) -> 59(159) -> 4(158) -> 97(138)
Total time of delivery: 13947
The cost function value: 5226528

Statistics at the end of simulation: 
Residents: 5432871
Illness cases: 5226529 --> [96.20197129657598%]
Healthy residents: 206342 --> [3.798028703424028%]
Vaccinated residents206342 --> [3.798028703424028%]

Statistics of each node: 
id residentsNumber illnessCases healthyResidents vaccinated
17 27216 1 27215 27215
79 84379 51 84328 84328
47 98952 4153 94799 94799
50 30829 30829 0 0
37 51694 51694 0 0
11 84816 84816 0 0
73 49077 49077 0 0
24 37355 37355 0 0
58 16081 16081 0 0
5 15364 15364 0 0
92 24523 24523 0 0
54 69376 69376 0 0
86 26732 26732 0 0
56 80108 80108 0 0
46 73816 73816 0 0
16 82700 82700 0 0
61 25643 25643 0 0
85 44972 44972 0 0
27 80174 80174 0 0
71 23666 23666 0 0
57 39724 39724 0 0
53 61988 61988 0 0
69 66112 66112 0 0
66 26230 26230 0 0
28 91749 91749 0 0
49 19584 19584 0 0
22 73621 73621 0 0
21 82806 82806 0 0
25 67586 67586 0 0
65 70610 70610 0 0
78 57716 57716 0 0
35 96767 96767 0 0
77 28452 28452 0 0
89 68284 68284 0 0
87 20655 20655 0 0
55 88344 88344 0 0
42 68898 68898 0 0
32 59165 59165 0 0
2 43074 43074 0 0
82 15231 15231 0 0
9 60305 60305 0 0
52 63153 63153 0 0
3 57882 57882 0 0
8 45160 45160 0 0
10 95932 95932 0 0
84 70627 70627 0 0
30 67192 67192 0 0
44 15573 15573 0 0
