Optimal path [nodeId(time to the node):
36(0) -> 38(130) -> 49(140) -> 5(125) -> 29(134) -> 47(153) -> 25(131) -> 9(129) -> 20(158) -> 42(139) -> 12(141) -> 2(148) -> 27(146) -> 16(163) -> 33(160) -> 0(160) -> 48(133) -> 43(130) -> 37(112) -> 23(125) -> 31(136) -> 34(176) -> 41(139) -> 26(151) -> 8(125) -> 14(148) -> 4(139) -> 13(133) -> 46(150) -> 44(180) -> 24(124) -> 7(143) -> 39(146) -> 11(126) -> 17(146) -> 40(142) -> 15(134) -> 1(125) -> 35(146) -> 32(137) -> 18(136) -> 6(147) -> 3(129) -> 30(147) -> 21(146) -> 19(149) -> 45(159) -> 22(149) -> 10(118) -> 28(152)
Total time of delivery: 6935
The cost function value: 2091296

Statistics at the end of simulation: 
Residents: 2653253
Illness cases: 2091297 --> [78.82011251848203%]
Healthy residents: 561956 --> [21.17988748151797%]
Vaccinated residents561956 --> [21.17988748151797%]

Statistics of each node: 
id residentsNumber illnessCases healthyResidents vaccinated
36 51676 1 51675 51675
38 89747 4 89743 89743
49 63359 22 63337 63337
5 90210 95 90115 90115
29 86455 450 86005 86005
47 70879 2640 68239 68239
25 87768 11993 75775 75775
9 90298 53231 37067 37067
20 71926 71926 0 0
42 22928 22928 0 0
12 38389 38389 0 0
2 59636 59636 0 0
27 25692 25692 0 0
16 96804 96804 0 0
33 44211 44211 0 0
0 63772 63772 0 0
48 41563 41563 0 0
43 26088 26088 0 0
37 13995 13995 0 0
23 13962 13962 0 0
31 26553 26553 0 0
34 44159 44159 0 0
41 66159 66159 0 0
26 17928 17928 0 0
8 59097 59097 0 0
14 33326 33326 0 0
4 34099 34099 0 0
13 57370 57370 0 0
46 58433 58433 0 0
44 22955 22955 0 0
24 61926 61926 0 0
7 52412 52412 0 0
39 79510 79510 0 0
11 36243 36243 0 0
17 46965 46965 0 0
40 37916 37916 0 0
15 65892 65892 0 0
1 49826 49826 0 0
35 65482 65482 0 0
32 32778 32778 0 0
18 34212 34212 0 0
6 90185 90185 0 0
3 16050 16050 0 0
30 12230 12230 0 0
21 80840 80840 0 0
19 30140 30140 0 0
45 86355 86355 0 0
22 91889 91889 0 0
10 27278 27278 0 0
28 85687 85687 0 0

Statistics step by step: 
minute residentsNumber illnessCases healthyResidents vaccinated
0 2653253 50 2653203 51675
10 2653253 50 2653203 51675
20 2653253 50 2653203 51675
30 2653253 50 2653203 51675
40 2653253 50 2653203 51675
50 2653253 50 2653203 51675
60 2653253 99 2653154 51675
70 2653253 99 2653154 51675
80 2653253 99 2653154 51675
90 2653253 99 2653154 51675
100 2653253 148 2653105 51675
110 2653253 148 2653105 51675
120 2653253 197 2653056 51675
130 2653253 197 2653056 141418
140 2653253 245 2653008 141418
150 2653253 245 2653008 141418
160 2653253 293 2652960 141418
170 2653253 341 2652912 141418
180 2653253 389 2652864 141418
190 2653253 389 2652864 141418
200 2653253 485 2652768 141418
210 2653253 533 2652720 141418
220 2653253 581 2652672 141418
230 2653253 677 2652576 141418
240 2653253 773 2652480 141418
250 2653253 821 2652432 141418
260 2653253 965 2652288 141418
270 2653253 1061 2652192 204755
280 2653253 1202 2652051 204755
290 2653253 1343 2651910 204755
300 2653253 1531 2651722 204755
310 2653253 1672 2651581 204755
320 2653253 1907 2651346 204755
330 2653253 2142 2651111 204755
340 2653253 2377 2650876 204755
350 2653253 2706 2650547 204755
360 2653253 3035 2650218 204755
370 2653253 3364 2649889 204755
380 2653253 3787 2649466 204755
390 2653253 4257 2648996 204755
400 2653253 4768 2648485 294870
410 2653253 5366 2647887 294870
420 2653253 6010 2647243 294870
430 2653253 6700 2646553 294870
440 2653253 7528 2645725 294870
450 2653253 8448 2644805 294870
460 2653253 9460 2643793 294870
470 2653253 10610 2642643 294870
480 2653253 11898 2641355 294870
490 2653253 13324 2639929 294870
500 2653253 14934 2638319 294870
510 2653253 16774 2636479 294870
520 2653253 18798 2634455 294870
530 2653253 21092 2632161 380875
540 2653253 23612 2629641 380875
550 2653253 26402 2626851 380875
560 2653253 29597 2623656 380875
570 2653253 33152 2620101 380875
580 2653253 37112 2616141 380875
590 2653253 41612 2611641 380875
600 2653253 46652 2606601 380875
610 2653253 52277 2600976 380875
620 2653253 58622 2594631 380875
