Optimal path [nodeId(time to the node):
36(0) -> 49(152) -> 45(159) -> 17(122) -> 30(143) -> 44(130) -> 24(163) -> 13(152) -> 6(131) -> 14(147) -> 15(127) -> 12(140) -> 5(132) -> 3(129) -> 42(124) -> 8(118) -> 20(136) -> 4(134) -> 28(107) -> 0(134) -> 32(123) -> 21(135) -> 40(128) -> 47(133) -> 22(133) -> 9(125) -> 48(127) -> 1(122) -> 35(146) -> 38(145) -> 34(128) -> 2(140) -> 19(149) -> 18(134) -> 27(122) -> 10(139) -> 25(126) -> 29(139) -> 26(98) -> 46(113) -> 41(121) -> 39(139) -> 7(122) -> 37(122) -> 16(110) -> 23(118) -> 43(150) -> 11(137) -> 33(148) -> 31(151)
Total time of delivery: 6503
The cost function value: 1234629

Statistics at the end of simulation: 
Residents: 2653253
Illness cases: 2462756 --> [92.8202474471903%]
Healthy residents: 190497 --> [7.179752552809703%]
Vaccinated residents190497 --> [7.179752552809703%]

Statistics of each node: 
id residentsNumber illnessCases healthyResidents vaccinated
36 51676 1 51675 51675
49 63359 93 63266 63266
45 86355 10799 75556 75556
17 46965 46965 0 0
30 12230 12230 0 0
44 22955 22955 0 0
24 61926 61926 0 0
13 57370 57370 0 0
6 90185 90185 0 0
14 33326 33326 0 0
15 65892 65892 0 0
12 38389 38389 0 0
5 90210 90210 0 0
3 16050 16050 0 0
42 22928 22928 0 0
8 59097 59097 0 0
20 71926 71926 0 0
4 34099 34099 0 0
28 85687 85687 0 0
0 63772 63772 0 0
32 32778 32778 0 0
21 80840 80840 0 0
40 37916 37916 0 0
47 70879 70879 0 0
22 91889 91889 0 0
9 90298 90298 0 0
48 41563 41563 0 0
1 49826 49826 0 0
35 65482 65482 0 0
38 89747 89747 0 0
34 44159 44159 0 0
2 59636 59636 0 0
19 30140 30140 0 0
18 34212 34212 0 0
27 25692 25692 0 0
10 27278 27278 0 0
25 87768 87768 0 0
29 86455 86455 0 0
26 17928 17928 0 0
46 58433 58433 0 0
41 66159 66159 0 0
39 79510 79510 0 0
7 52412 52412 0 0
37 13995 13995 0 0
16 96804 96804 0 0
23 13962 13962 0 0
43 26088 26088 0 0
11 36243 36243 0 0
33 44211 44211 0 0
31 26553 26553 0 0

Statistics step by step: 
minute residentsNumber illnessCases healthyResidents vaccinated
0 2653253 50 2653203 51675
