Optimal path [nodeId(time to the node):
36(0) -> 49(152) -> 9(158) -> 45(151) -> 22(125) -> 25(133) -> 16(145) -> 17(141) -> 13(140) -> 18(121) -> 46(132) -> 6(121) -> 33(125) -> 31(126) -> 32(123) -> 34(144) -> 15(151) -> 20(140) -> 12(133) -> 10(142) -> 47(157) -> 26(123) -> 28(117) -> 48(145) -> 21(120) -> 43(131) -> 4(153) -> 11(125) -> 38(143) -> 27(130) -> 19(125) -> 29(137) -> 39(136) -> 24(130) -> 2(148) -> 5(133) -> 23(128) -> 37(131) -> 1(116) -> 42(119) -> 44(126) -> 40(118) -> 14(137) -> 41(124) -> 35(131) -> 7(128) -> 8(142) -> 30(146) -> 3(128) -> 0(138)
Total time of delivery: 6568
The cost function value: 1059227

Statistics at the end of simulation: 
Residents: 2653253
Illness cases: 2111887 --> [79.59614103894351%]
Healthy residents: 541366 --> [20.403858961056486%]
Vaccinated residents541366 --> [20.403858961056486%]

Statistics of each node: 
id residentsNumber illnessCases healthyResidents vaccinated
36 51676 1 51675 51675
49 63359 5 63354 63354
9 90298 35 90263 90263
45 86355 205 86150 86150
22 91889 871 91018 91018
25 87768 4048 83720 83720
16 96804 21618 75186 75186
17 46965 46965 0 0
13 57370 57370 0 0
18 34212 34212 0 0
46 58433 58433 0 0
6 90185 90185 0 0
33 44211 44211 0 0
31 26553 26553 0 0
32 32778 32778 0 0
34 44159 44159 0 0
15 65892 65892 0 0
20 71926 71926 0 0
12 38389 38389 0 0
10 27278 27278 0 0
47 70879 70879 0 0
26 17928 17928 0 0
28 85687 85687 0 0
48 41563 41563 0 0
21 80840 80840 0 0
43 26088 26088 0 0
4 34099 34099 0 0
11 36243 36243 0 0
38 89747 89747 0 0
27 25692 25692 0 0
19 30140 30140 0 0
29 86455 86455 0 0
39 79510 79510 0 0
24 61926 61926 0 0
2 59636 59636 0 0
5 90210 90210 0 0
23 13962 13962 0 0
37 13995 13995 0 0
1 49826 49826 0 0
42 22928 22928 0 0
44 22955 22955 0 0
40 37916 37916 0 0
14 33326 33326 0 0
41 66159 66159 0 0
35 65482 65482 0 0
7 52412 52412 0 0
8 59097 59097 0 0
30 12230 12230 0 0
3 16050 16050 0 0
0 63772 63772 0 0

Statistics step by step: 
minute residentsNumber illnessCases healthyResidents vaccinated
0 2653253 50 2653203 51675
10 2653253 50 2653203 51675
20 2653253 50 2653203 51675
30 2653253 50 2653203 51675
40 2653253 50 2653203 51675
50 2653253 50 2653203 51675
60 2653253 99 2653154 51675
70 2653253 99 2653154 51675
80 2653253 99 2653154 51675
90 2653253 99 2653154 51675
100 2653253 148 2653105 51675
110 2653253 148 2653105 51675
120 2653253 197 2653056 51675
130 2653253 197 2653056 51675
140 2653253 246 2653007 51675
150 2653253 246 2653007 51675
160 2653253 294 2652959 115029
170 2653253 342 2652911 115029
180 2653253 390 2652863 115029
190 2653253 390 2652863 115029
200 2653253 486 2652767 115029
210 2653253 534 2652719 115029
220 2653253 582 2652671 115029
230 2653253 678 2652575 115029
240 2653253 774 2652479 115029
250 2653253 822 2652431 115029
260 2653253 966 2652287 115029
270 2653253 1062 2652191 115029
280 2653253 1206 2652047 115029
290 2653253 1350 2651903 115029
300 2653253 1542 2651711 115029
310 2653253 1686 2651567 205292
320 2653253 1921 2651332 205292
330 2653253 2156 2651097 205292
340 2653253 2391 2650862 205292
350 2653253 2720 2650533 205292
360 2653253 3049 2650204 205292
370 2653253 3378 2649875 205292
380 2653253 3801 2649452 205292
390 2653253 4271 2648982 205292
400 2653253 4788 2648465 205292
410 2653253 5399 2647854 205292
420 2653253 6057 2647196 205292
430 2653253 6762 2646491 205292
440 2653253 7608 2645645 205292
450 2653253 8548 2644705 205292
460 2653253 9582 2643671 205292
470 2653253 10734 2642519 291442
480 2653253 12022 2641231 291442
490 2653253 13448 2639805 291442
500 2653253 15058 2638195 291442
510 2653253 16898 2636355 291442
520 2653253 18922 2634331 291442
530 2653253 21222 2632031 291442
540 2653253 23798 2629455 291442
550 2653253 26650 2626603 291442
560 2653253 29916 2623337 291442
570 2653253 33550 2619703 291442
580 2653253 37598 2615655 291442
590 2653253 42157 2611096 382460
600 2653253 47197 2606056 382460
610 2653253 52822 2600431 382460
620 2653253 59167 2594086 382460
630 2653253 66277 2586976 382460
640 2653253 74242 2579011 382460
650 2653253 83197 2570056 382460
660 2653253 93277 2559976 382460
670 2653253 104527 2548726 382460
680 2653253 117217 2536036 382460
690 2653253 131437 2521816 382460
700 2653253 147367 2505886 382460
710 2653253 165322 2487931 382460
720 2653253 185389 2467864 466180
730 2653253 207433 2445820 466180
740 2653253 232205 2421048 466180
750 2653253 260013 2393240 466180
760 2653253 291209 2362044 466180
770 2653253 326277 2326976 466180
780 2653253 365613 2287640 466180
790 2653253 409745 2243508 466180
800 2653253 459289 2193964 466180
810 2653253 514905 2138348 466180
820 2653253 576524 2076729 466180
830 2653253 643788 2009465 466180
840 2653253 716762 1936491 466180
850 2653253 796540 1856713 466180
860 2653253 884368 1768885 466180
870 2653253 980951 1672302 541366
880 2653253 1082768 1570485 541366
890 2653253 1186586 1466667 541366
900 2653253 1298390 1354863 541366
910 2653253 1409520 1243733 541366
920 2653253 1520385 1132868 541366
930 2653253 1632618 1020635 541366
940 2653253 1744554 908699 541366
950 2653253 1858596 794657 541366
960 2653253 1955293 697960 541366
970 2653253 2024180 629073 541366
980 2653253 2082453 570800 541366
990 2653253 2111887 541366 541366
1000 2653253 2111887 541366 541366
1010 2653253 2111887 541366 541366
1020 2653253 2111887 541366 541366
1030 2653253 2111887 541366 541366
1040 2653253 2111887 541366 541366
1050 2653253 2111887 541366 541366
1060 2653253 2111887 541366 541366
1070 2653253 2111887 541366 541366
1080 2653253 2111887 541366 541366
1090 2653253 2111887 541366 541366
1100 2653253 2111887 541366 541366
1110 2653253 2111887 541366 541366
1120 2653253 2111887 541366 541366
1130 2653253 2111887 541366 541366
1140 2653253 2111887 541366 541366
1150 2653253 2111887 541366 541366
1160 2653253 2111887 541366 541366
1170 2653253 2111887 541366 541366
1180 2653253 2111887 541366 541366
1190 2653253 2111887 541366 541366
1200 2653253 2111887 541366 541366
1210 2653253 2111887 541366 541366
1220 2653253 2111887 541366 541366
1230 2653253 2111887 541366 541366
1240 2653253 2111887 541366 541366
1250 2653253 2111887 541366 541366
1260 2653253 2111887 541366 541366
1270 2653253 2111887 541366 541366
1280 2653253 2111887 541366 541366
1290 2653253 2111887 541366 541366
1300 2653253 2111887 541366 541366
1310 2653253 2111887 541366 541366
1320 2653253 2111887 541366 541366
1330 2653253 2111887 541366 541366
1340 2653253 2111887 541366 541366
1350 2653253 2111887 541366 541366
1360 2653253 2111887 541366 541366
1370 2653253 2111887 541366 541366
1380 2653253 2111887 541366 541366
1390 2653253 2111887 541366 541366
1400 2653253 2111887 541366 541366
1410 2653253 2111887 541366 541366
1420 2653253 2111887 541366 541366
1430 2653253 2111887 541366 541366
1440 2653253 2111887 541366 541366
1450 2653253 2111887 541366 541366
1460 2653253 2111887 541366 541366
1470 2653253 2111887 541366 541366
1480 2653253 2111887 541366 541366
1490 2653253 2111887 541366 541366
1500 2653253 2111887 541366 541366
1510 2653253 2111887 541366 541366
1520 2653253 2111887 541366 541366
1530 2653253 2111887 541366 541366
1540 2653253 2111887 541366 541366
1550 2653253 2111887 541366 541366
1560 2653253 2111887 541366 541366
1570 2653253 2111887 541366 541366
1580 2653253 2111887 541366 541366
1590 2653253 2111887 541366 541366
1600 2653253 2111887 541366 541366
1610 2653253 2111887 541366 541366
1620 2653253 2111887 541366 541366
1630 2653253 2111887 541366 541366
1640 2653253 2111887 541366 541366
1650 2653253 2111887 541366 541366
1660 2653253 2111887 541366 541366
1670 2653253 2111887 541366 541366
1680 2653253 2111887 541366 541366
1690 2653253 2111887 541366 541366
1700 2653253 2111887 541366 541366
1710 2653253 2111887 541366 541366
1720 2653253 2111887 541366 541366
1730 2653253 2111887 541366 541366
1740 2653253 2111887 541366 541366
1750 2653253 2111887 541366 541366
1760 2653253 2111887 541366 541366
1770 2653253 2111887 541366 541366
1780 2653253 2111887 541366 541366
1790 2653253 2111887 541366 541366
1800 2653253 2111887 541366 541366
1810 2653253 2111887 541366 541366
1820 2653253 2111887 541366 541366
1830 2653253 2111887 541366 541366
1840 2653253 2111887 541366 541366
1850 2653253 2111887 541366 541366
1860 2653253 2111887 541366 541366
1870 2653253 2111887 541366 541366
1880 2653253 2111887 541366 541366
1890 2653253 2111887 541366 541366
1900 2653253 2111887 541366 541366
1910 2653253 2111887 541366 541366
1920 2653253 2111887 541366 541366
1930 2653253 2111887 541366 541366
1940 2653253 2111887 541366 541366
1950 2653253 2111887 541366 541366
1960 2653253 2111887 541366 541366
1970 2653253 2111887 541366 541366
1980 2653253 2111887 541366 541366
1990 2653253 2111887 541366 541366
2000 2653253 2111887 541366 541366
2010 2653253 2111887 541366 541366
2020 2653253 2111887 541366 541366
2030 2653253 2111887 541366 541366
2040 2653253 2111887 541366 541366
2050 2653253 2111887 541366 541366
2060 2653253 2111887 541366 541366
2070 2653253 2111887 541366 541366
2080 2653253 2111887 541366 541366
2090 2653253 2111887 541366 541366
2100 2653253 2111887 541366 541366
2110 2653253 2111887 541366 541366
2120 2653253 2111887 541366 541366
2130 2653253 2111887 541366 541366
2140 2653253 2111887 541366 541366
2150 2653253 2111887 541366 541366
2160 2653253 2111887 541366 541366
2170 2653253 2111887 541366 541366
2180 2653253 2111887 541366 541366
2190 2653253 2111887 541366 541366
2200 2653253 2111887 541366 541366
2210 2653253 2111887 541366 541366
2220 2653253 2111887 541366 541366
2230 2653253 2111887 541366 541366
2240 2653253 2111887 541366 541366
2250 2653253 2111887 541366 541366
2260 2653253 2111887 541366 541366
2270 2653253 2111887 541366 541366
2280 2653253 2111887 541366 541366
2290 2653253 2111887 541366 541366
2300 2653253 2111887 541366 541366
2310 2653253 2111887 541366 541366
2320 2653253 2111887 541366 541366
2330 2653253 2111887 541366 541366
2340 2653253 2111887 541366 541366
2350 2653253 2111887 541366 541366
2360 2653253 2111887 541366 541366
2370 2653253 2111887 541366 541366
2380 2653253 2111887 541366 541366
2390 2653253 2111887 541366 541366
2400 2653253 2111887 541366 541366
2410 2653253 2111887 541366 541366
2420 2653253 2111887 541366 541366
2430 2653253 2111887 541366 541366
2440 2653253 2111887 541366 541366
2450 2653253 2111887 541366 541366
2460 2653253 2111887 541366 541366
2470 2653253 2111887 541366 541366
2480 2653253 2111887 541366 541366
2490 2653253 2111887 541366 541366
2500 2653253 2111887 541366 541366
2510 2653253 2111887 541366 541366
2520 2653253 2111887 541366 541366
2530 2653253 2111887 541366 541366
2540 2653253 2111887 541366 541366
2550 2653253 2111887 541366 541366
2560 2653253 2111887 541366 541366
2570 2653253 2111887 541366 541366
2580 2653253 2111887 541366 541366
2590 2653253 2111887 541366 541366
2600 2653253 2111887 541366 541366
2610 2653253 2111887 541366 541366
2620 2653253 2111887 541366 541366
2630 2653253 2111887 541366 541366
2640 2653253 2111887 541366 541366
2650 2653253 2111887 541366 541366
2660 2653253 2111887 541366 541366
2670 2653253 2111887 541366 541366
2680 2653253 2111887 541366 541366
2690 2653253 2111887 541366 541366
2700 2653253 2111887 541366 541366
2710 2653253 2111887 541366 541366
2720 2653253 2111887 541366 541366
2730 2653253 2111887 541366 541366
2740 2653253 2111887 541366 541366
2750 2653253 2111887 541366 541366
2760 2653253 2111887 541366 541366
2770 2653253 2111887 541366 541366
2780 2653253 2111887 541366 541366
2790 2653253 2111887 541366 541366
2800 2653253 2111887 541366 541366
2810 2653253 2111887 541366 541366
2820 2653253 2111887 541366 541366
2830 2653253 2111887 541366 541366
2840 2653253 2111887 541366 541366
2850 2653253 2111887 541366 541366
2860 2653253 2111887 541366 541366
2870 2653253 2111887 541366 541366
2880 2653253 2111887 541366 541366
2890 2653253 2111887 541366 541366
2900 2653253 2111887 541366 541366
2910 2653253 2111887 541366 541366
2920 2653253 2111887 541366 541366
2930 2653253 2111887 541366 541366
2940 2653253 2111887 541366 541366
