Optimal path [nodeId(time to the node):
7(0) -> 2(119) -> 3(141) -> 8(142) -> 5(142) -> 9(114) -> 0(147) -> 1(137) -> 4(136) -> 6(143)
Total time of delivery: 1221
The cost function value: 1221

Statistics at the end of simulation: 
Residents: 405877
Illness cases: 288944 --> [71.19004033241598%]
Healthy residents: 116933 --> [28.809959667584025%]
Vaccinated residents116933 --> [28.809959667584025%]

Statistics of each node: 
id residentsNumber illnessCases healthyResidents vaccinated
7 90816 1 90815 90815
2 16497 34 16463 16463
3 12009 2354 9655 9655
8 70500 70500 0 0
5 23562 23562 0 0
9 55772 55772 0 0
0 85881 85881 0 0
1 19022 19022 0 0
4 13139 13139 0 0
6 18679 18679 0 0

Statistics step by step: 
minute residentsNumber illnessCases healthyResidents vaccinated
0 405877 10 405867 90815
10 405877 10 405867 90815
20 405877 10 405867 90815
30 405877 19 405858 90815
40 405877 28 405849 90815
50 405877 37 405840 90815
60 405877 55 405822 90815
70 405877 73 405804 90815
80 405877 91 405786 90815
90 405877 127 405750 90815
100 405877 172 405705 90815
110 405877 235 405642 90815
120 405877 323 405554 107278
130 405877 419 405458 107278
140 405877 555 405322 107278
150 405877 739 405138 107278
160 405877 979 404898 107278
170 405877 1315 404562 107278
180 405877 1763 404114 107278
190 405877 2363 403514 107278
200 405877 3171 402706 107278
210 405877 4267 401610 107278
220 405877 5739 400138 107278
230 405877 7723 398154 107278
240 405877 10403 395474 107278
250 405877 14011 391866 107278
260 405877 18867 387010 116933
270 405877 24607 381270 116933
280 405877 32342 373535 116933
290 405877 42765 363112 116933
300 405877 56821 349056 116933
310 405877 75763 330114 116933
320 405877 100302 305575 116933
330 405877 129417 276460 116933
340 405877 153816 252061 116933
350 405877 180624 225253 116933
360 405877 216759 189118 116933
370 405877 258347 147530 116933
380 405877 287842 118035 116933
390 405877 288944 116933 116933
400 405877 288944 116933 116933
410 405877 288944 116933 116933
420 405877 288944 116933 116933
430 405877 288944 116933 116933
440 405877 288944 116933 116933
450 405877 288944 116933 116933
460 405877 288944 116933 116933
470 405877 288944 116933 116933
480 405877 288944 116933 116933
490 405877 288944 116933 116933
500 405877 288944 116933 116933
510 405877 288944 116933 116933
520 405877 288944 116933 116933
530 405877 288944 116933 116933
540 405877 288944 116933 116933
550 405877 288944 116933 116933
560 405877 288944 116933 116933
570 405877 288944 116933 116933
580 405877 288944 116933 116933
590 405877 288944 116933 116933
600 405877 288944 116933 116933
610 405877 288944 116933 116933
620 405877 288944 116933 116933
630 405877 288944 116933 116933
640 405877 288944 116933 116933
650 405877 288944 116933 116933
660 405877 288944 116933 116933
670 405877 288944 116933 116933
680 405877 288944 116933 116933
690 405877 288944 116933 116933
700 405877 288944 116933 116933
710 405877 288944 116933 116933
720 405877 288944 116933 116933
730 405877 288944 116933 116933
740 405877 288944 116933 116933
750 405877 288944 116933 116933
760 405877 288944 116933 116933
770 405877 288944 116933 116933
780 405877 288944 116933 116933
790 405877 288944 116933 116933
800 405877 288944 116933 116933
810 405877 288944 116933 116933
820 405877 288944 116933 116933
830 405877 288944 116933 116933
840 405877 288944 116933 116933
850 405877 288944 116933 116933
860 405877 288944 116933 116933
870 405877 288944 116933 116933
880 405877 288944 116933 116933
890 405877 288944 116933 116933
900 405877 288944 116933 116933
910 405877 288944 116933 116933
920 405877 288944 116933 116933
930 405877 288944 116933 116933
940 405877 288944 116933 116933
950 405877 288944 116933 116933
960 405877 288944 116933 116933
970 405877 288944 116933 116933
980 405877 288944 116933 116933
990 405877 288944 116933 116933
1000 405877 288944 116933 116933
1010 405877 288944 116933 116933
1020 405877 288944 116933 116933
1030 405877 288944 116933 116933
1040 405877 288944 116933 116933
1050 405877 288944 116933 116933
1060 405877 288944 116933 116933
1070 405877 288944 116933 116933
1080 405877 288944 116933 116933
1090 405877 288944 116933 116933
1100 405877 288944 116933 116933
1110 405877 288944 116933 116933
1120 405877 288944 116933 116933
1130 405877 288944 116933 116933
1140 405877 288944 116933 116933
1150 405877 288944 116933 116933
1160 405877 288944 116933 116933
1170 405877 288944 116933 116933
1180 405877 288944 116933 116933
1190 405877 288944 116933 116933
1200 405877 288944 116933 116933
1210 405877 288944 116933 116933
1220 405877 288944 116933 116933

