Optimal path [nodeId(time to the node):
36(0) -> 32(121) -> 23(140) -> 2(136) -> 40(141) -> 9(119) -> 44(133) -> 8(131) -> 7(128) -> 10(124) -> 13(144) -> 46(139) -> 42(135) -> 26(111) -> 38(124) -> 39(135) -> 3(145) -> 5(131) -> 29(141) -> 24(128) -> 18(156) -> 25(118) -> 48(133) -> 12(124) -> 11(125) -> 47(141) -> 43(140) -> 22(140) -> 33(126) -> 14(130) -> 1(129) -> 21(137) -> 0(126) -> 20(128) -> 45(121) -> 19(113) -> 30(142) -> 35(135) -> 49(128) -> 34(132) -> 4(126) -> 16(126) -> 15(130) -> 6(134) -> 17(122) -> 41(125) -> 27(118) -> 31(110) -> 28(130) -> 37(146)
Total time of delivery: 6397
The cost function value: 6397

Statistics at the end of simulation: 
Residents: 2653253
Illness cases: 2338495 --> [88.13690213485107%]
Healthy residents: 314758 --> [11.863097865148932%]
Vaccinated residents314758 --> [11.863097865148932%]

Statistics of each node: 
id residentsNumber illnessCases healthyResidents vaccinated
1260 2653253 2338495 314758 314758
1270 2653253 2338495 314758 314758
1280 2653253 2338495 314758 314758
1290 2653253 2338495 314758 314758
1300 2653253 2338495 314758 314758
1310 2653253 2338495 314758 314758
1320 2653253 2338495 314758 314758
1330 2653253 2338495 314758 314758
1340 2653253 2338495 314758 314758
1350 2653253 2338495 314758 314758
1360 2653253 2338495 314758 314758
1370 2653253 2338495 314758 314758
1380 2653253 2338495 314758 314758
1390 2653253 2338495 314758 314758
1400 2653253 2338495 314758 314758
1410 2653253 2338495 314758 314758
1420 2653253 2338495 314758 314758
1430 2653253 2338495 314758 314758
1440 2653253 2338495 314758 314758
1450 2653253 2338495 314758 314758
1460 2653253 2338495 314758 314758
1470 2653253 2338495 314758 314758
1480 2653253 2338495 314758 314758
1490 2653253 2338495 314758 314758
1500 2653253 2338495 314758 314758
1510 2653253 2338495 314758 314758
1520 2653253 2338495 314758 314758
1530 2653253 2338495 314758 314758
1540 2653253 2338495 314758 314758
1550 2653253 2338495 314758 314758
1560 2653253 2338495 314758 314758
1570 2653253 2338495 314758 314758
1580 2653253 2338495 314758 314758
1590 2653253 2338495 314758 314758
1600 2653253 2338495 314758 314758
1610 2653253 2338495 314758 314758
1620 2653253 2338495 314758 314758
1630 2653253 2338495 314758 314758
1640 2653253 2338495 314758 314758
1650 2653253 2338495 314758 314758
1660 2653253 2338495 314758 314758
1670 2653253 2338495 314758 314758
1680 2653253 2338495 314758 314758
1690 2653253 2338495 314758 314758
1700 2653253 2338495 314758 314758
1710 2653253 2338495 314758 314758
1720 2653253 2338495 314758 314758
1730 2653253 2338495 314758 314758
1740 2653253 2338495 314758 314758
1750 2653253 2338495 314758 314758
1760 2653253 2338495 314758 314758
1770 2653253 2338495 314758 314758
1780 2653253 2338495 314758 314758
1790 2653253 2338495 314758 314758
1800 2653253 2338495 314758 314758
1810 2653253 2338495 314758 314758
1820 2653253 2338495 314758 314758
1830 2653253 2338495 314758 314758
1840 2653253 2338495 314758 314758
1850 2653253 2338495 314758 314758
1860 2653253 2338495 314758 314758
1870 2653253 2338495 314758 314758
1880 2653253 2338495 314758 314758
1890 2653253 2338495 314758 314758
1900 2653253 2338495 314758 314758
1910 2653253 2338495 314758 314758
1920 2653253 2338495 314758 314758
1930 2653253 2338495 314758 314758
1940 2653253 2338495 314758 314758
1950 2653253 2338495 314758 314758
1960 2653253 2338495 314758 314758
1970 2653253 2338495 314758 314758
1980 2653253 2338495 314758 314758
1990 2653253 2338495 314758 314758
2000 2653253 2338495 314758 314758
2010 2653253 2338495 314758 314758
2020 2653253 2338495 314758 314758
2030 2653253 2338495 314758 314758
2040 2653253 2338495 314758 314758
2050 2653253 2338495 314758 314758
2060 2653253 2338495 314758 314758
2070 2653253 2338495 314758 314758
2080 2653253 2338495 314758 314758
2090 2653253 2338495 314758 314758
2100 2653253 2338495 314758 314758
2110 2653253 2338495 314758 314758
2120 2653253 2338495 314758 314758
