Optimal path [nodeId(time to the node):
36(0) -> 38(130) -> 25(139) -> 5(126) -> 45(130) -> 16(121) -> 6(141) -> 9(135) -> 28(137) -> 21(147) -> 12(131) -> 18(148) -> 3(132) -> 48(147) -> 40(148) -> 27(148) -> 0(152) -> 24(151) -> 7(132) -> 35(124) -> 1(158) -> 37(138) -> 43(143) -> 46(144) -> 11(153) -> 47(141) -> 13(128) -> 22(150) -> 20(151) -> 44(135) -> 14(150) -> 26(130) -> 31(139) -> 39(156) -> 8(151) -> 4(141) -> 17(154) -> 34(136) -> 2(111) -> 41(138) -> 23(134) -> 33(150) -> 30(159) -> 32(139) -> 10(141) -> 42(151) -> 19(141) -> 29(156) -> 15(149) -> 49(138)
Total time of delivery: 6924
The cost function value: 2023634

Statistics at the end of simulation: 
Residents: 2653253
Illness cases: 2023635 --> [76.26995993220397%]
Healthy residents: 629618 --> [23.730040067796025%]
Vaccinated residents629618 --> [23.730040067796025%]

Statistics of each node: 
id residentsNumber illnessCases healthyResidents vaccinated
36 51676 1 51675 51675
38 89747 4 89743 89743
25 87768 22 87746 87746
5 90210 95 90115 90115
45 86355 430 85925 85925
16 96804 1742 95062 95062
6 90185 8881 81304 81304
9 90298 42250 48048 48048
28 85687 85687 0 0
21 80840 80840 0 0
12 38389 38389 0 0
18 34212 34212 0 0
3 16050 16050 0 0
48 41563 41563 0 0
40 37916 37916 0 0
27 25692 25692 0 0
0 63772 63772 0 0
24 61926 61926 0 0
7 52412 52412 0 0
35 65482 65482 0 0
1 49826 49826 0 0
37 13995 13995 0 0
43 26088 26088 0 0
46 58433 58433 0 0
11 36243 36243 0 0
47 70879 70879 0 0
13 57370 57370 0 0
22 91889 91889 0 0
20 71926 71926 0 0
44 22955 22955 0 0
14 33326 33326 0 0
26 17928 17928 0 0
31 26553 26553 0 0
39 79510 79510 0 0
8 59097 59097 0 0
4 34099 34099 0 0
17 46965 46965 0 0
34 44159 44159 0 0
2 59636 59636 0 0
41 66159 66159 0 0
23 13962 13962 0 0
33 44211 44211 0 0
30 12230 12230 0 0
32 32778 32778 0 0
10 27278 27278 0 0
42 22928 22928 0 0
19 30140 30140 0 0
29 86455 86455 0 0
15 65892 65892 0 0
49 63359 63359 0 0

Statistics step by step: 
minute residentsNumber illnessCases healthyResidents vaccinated
0 2653253 50 2653203 51675
10 2653253 50 2653203 51675
20 2653253 50 2653203 51675
30 2653253 50 2653203 51675
40 2653253 50 2653203 51675
50 2653253 50 2653203 51675
60 2653253 99 2653154 51675
70 2653253 99 2653154 51675
80 2653253 99 2653154 51675
90 2653253 99 2653154 51675
100 2653253 148 2653105 51675
110 2653253 148 2653105 51675
120 2653253 197 2653056 51675
130 2653253 197 2653056 141418
140 2653253 245 2653008 141418
150 2653253 245 2653008 141418
160 2653253 293 2652960 141418
170 2653253 341 2652912 141418
180 2653253 389 2652864 141418
190 2653253 389 2652864 141418
200 2653253 485 2652768 141418
210 2653253 533 2652720 141418
220 2653253 581 2652672 141418
230 2653253 677 2652576 141418
240 2653253 773 2652480 141418
250 2653253 821 2652432 141418
260 2653253 965 2652288 141418
270 2653253 1061 2652192 229164
280 2653253 1202 2652051 229164
290 2653253 1343 2651910 229164
300 2653253 1531 2651722 229164
310 2653253 1672 2651581 229164
320 2653253 1907 2651346 229164
330 2653253 2142 2651111 229164
340 2653253 2377 2650876 229164
350 2653253 2706 2650547 229164
360 2653253 3035 2650218 229164
370 2653253 3364 2649889 229164
380 2653253 3787 2649466 229164
390 2653253 4257 2648996 229164
400 2653253 4768 2648485 319279
410 2653253 5366 2647887 319279
420 2653253 6010 2647243 319279
430 2653253 6700 2646553 319279
440 2653253 7528 2645725 319279
450 2653253 8448 2644805 319279
460 2653253 9460 2643793 319279
470 2653253 10610 2642643 319279
480 2653253 11898 2641355 319279
490 2653253 13324 2639929 319279
500 2653253 14934 2638319 319279
510 2653253 16774 2636479 319279
520 2653253 18798 2634455 319279
530 2653253 21072 2632181 405204
540 2653253 23592 2629661 405204
550 2653253 26382 2626871 405204
560 2653253 29577 2623676 405204
570 2653253 33132 2620121 405204
580 2653253 37092 2616161 405204
590 2653253 41592 2611661 405204
600 2653253 46632 2606621 405204
610 2653253 52257 2600996 405204
620 2653253 58602 2594651 405204
630 2653253 65712 2587541 405204
640 2653253 73677 2579576 405204
650 2653253 82550 2570703 500266
660 2653253 92406 2560847 500266
670 2653253 103406 2549847 500266
680 2653253 115814 2537439 500266
690 2653253 129718 2523535 500266
700 2653253 145294 2507959 500266
710 2653253 162850 2490403 500266
720 2653253 182518 2470735 500266
730 2653253 204562 2448691 500266
740 2653253 229334 2423919 500266
750 2653253 257142 2396111 500266
760 2653253 288338 2364915 500266
770 2653253 323406 2329847 500266
780 2653253 362742 2290511 500266
790 2653253 406560 2246693 581570
800 2653253 454978 2198275 581570
810 2653253 509330 2143923 581570
820 2653253 569531 2083722 581570
830 2653253 635202 2018051 581570
840 2653253 706388 1946865 581570
850 2653253 784160 1869093 581570
860 2653253 869736 1783517 581570
870 2653253 965343 1687910 581570
880 2653253 1067160 1586093 581570
890 2653253 1170978 1482275 581570
900 2653253 1282782 1370471 581570
910 2653253 1393912 1259341 581570
920 2653253 1504777 1148476 581570
930 2653253 1612920 1040333 629618
940 2653253 1719181 934072 629618
950 2653253 1826853 826400 629618
960 2653253 1914222 739031 629618
970 2653253 1967059 686194 629618
980 2653253 2007314 645939 629618
990 2653253 2023635 629618 629618
1000 2653253 2023635 629618 629618
1010 2653253 2023635 629618 629618
1020 2653253 2023635 629618 629618
1030 2653253 2023635 629618 629618
1040 2653253 2023635 629618 629618
1050 2653253 2023635 629618 629618
1060 2653253 2023635 629618 629618
1070 2653253 2023635 629618 629618
1080 2653253 2023635 629618 629618
1090 2653253 2023635 629618 629618
1100 2653253 2023635 629618 629618
1110 2653253 2023635 629618 629618
1120 2653253 2023635 629618 629618
1130 2653253 2023635 629618 629618
1140 2653253 2023635 629618 629618
1150 2653253 2023635 629618 629618
1160 2653253 2023635 629618 629618
1170 2653253 2023635 629618 629618
1180 2653253 2023635 629618 629618
1190 2653253 2023635 629618 629618
1200 2653253 2023635 629618 629618
1210 2653253 2023635 629618 629618
1220 2653253 2023635 629618 629618
1230 2653253 2023635 629618 629618
1240 2653253 2023635 629618 629618
1250 2653253 2023635 629618 629618
1260 2653253 2023635 629618 629618
1270 2653253 2023635 629618 629618
1280 2653253 2023635 629618 629618
1290 2653253 2023635 629618 629618
1300 2653253 2023635 629618 629618
1310 2653253 2023635 629618 629618
1320 2653253 2023635 629618 629618
1330 2653253 2023635 629618 629618
1340 2653253 2023635 629618 629618
1350 2653253 2023635 629618 629618
1360 2653253 2023635 629618 629618
1370 2653253 2023635 629618 629618
1380 2653253 2023635 629618 629618
1390 2653253 2023635 629618 629618
1400 2653253 2023635 629618 629618
1410 2653253 2023635 629618 629618
1420 2653253 2023635 629618 629618
1430 2653253 2023635 629618 629618
1440 2653253 2023635 629618 629618
1450 2653253 2023635 629618 629618
1460 2653253 2023635 629618 629618
1470 2653253 2023635 629618 629618
1480 2653253 2023635 629618 629618
1490 2653253 2023635 629618 629618
1500 2653253 2023635 629618 629618
1510 2653253 2023635 629618 629618
1520 2653253 2023635 629618 629618
1530 2653253 2023635 629618 629618
1540 2653253 2023635 629618 629618
1550 2653253 2023635 629618 629618
1560 2653253 2023635 629618 629618
1570 2653253 2023635 629618 629618
1580 2653253 2023635 629618 629618
1590 2653253 2023635 629618 629618
1600 2653253 2023635 629618 629618
1610 2653253 2023635 629618 629618
1620 2653253 2023635 629618 629618
1630 2653253 2023635 629618 629618
1640 2653253 2023635 629618 629618
1650 2653253 2023635 629618 629618
1660 2653253 2023635 629618 629618
1670 2653253 2023635 629618 629618
1680 2653253 2023635 629618 629618
1690 2653253 2023635 629618 629618
1700 2653253 2023635 629618 629618
1710 2653253 2023635 629618 629618
1720 2653253 2023635 629618 629618
1730 2653253 2023635 629618 629618
1740 2653253 2023635 629618 629618
1750 2653253 2023635 629618 629618
1760 2653253 2023635 629618 629618
1770 2653253 2023635 629618 629618
1780 2653253 2023635 629618 629618
1790 2653253 2023635 629618 629618
1800 2653253 2023635 629618 629618
1810 2653253 2023635 629618 629618
1820 2653253 2023635 629618 629618
1830 2653253 2023635 629618 629618
1840 2653253 2023635 629618 629618
1850 2653253 2023635 629618 629618
1860 2653253 2023635 629618 629618
1870 2653253 2023635 629618 629618
1880 2653253 2023635 629618 629618
1890 2653253 2023635 629618 629618
1900 2653253 2023635 629618 629618
1910 2653253 2023635 629618 629618
1920 2653253 2023635 629618 629618
1930 2653253 2023635 629618 629618
1940 2653253 2023635 629618 629618
1950 2653253 2023635 629618 629618
1960 2653253 2023635 629618 629618
1970 2653253 2023635 629618 629618
1980 2653253 2023635 629618 629618
1990 2653253 2023635 629618 629618
2000 2653253 2023635 629618 629618
2010 2653253 2023635 629618 629618
2020 2653253 2023635 629618 629618
2030 2653253 2023635 629618 629618
2040 2653253 2023635 629618 629618
2050 2653253 2023635 629618 629618
2060 2653253 2023635 629618 629618
2070 2653253 2023635 629618 629618
2080 2653253 2023635 629618 629618
2090 2653253 2023635 629618 629618
2100 2653253 2023635 629618 629618
2110 2653253 2023635 629618 629618
2120 2653253 2023635 629618 629618
2130 2653253 2023635 629618 629618
2140 2653253 2023635 629618 629618
2150 2653253 2023635 629618 629618
2160 2653253 2023635 629618 629618
2170 2653253 2023635 629618 629618
2180 2653253 2023635 629618 629618
2190 2653253 2023635 629618 629618
2200 2653253 2023635 629618 629618
2210 2653253 2023635 629618 629618
2220 2653253 2023635 629618 629618
2230 2653253 2023635 629618 629618
2240 2653253 2023635 629618 629618
2250 2653253 2023635 629618 629618
2260 2653253 2023635 629618 629618
2270 2653253 2023635 629618 629618
2280 2653253 2023635 629618 629618
2290 2653253 2023635 629618 629618
2300 2653253 2023635 629618 629618
2310 2653253 2023635 629618 629618
2320 2653253 2023635 629618 629618
2330 2653253 2023635 629618 629618
2340 2653253 2023635 629618 629618
2350 2653253 2023635 629618 629618
2360 2653253 2023635 629618 629618
2370 2653253 2023635 629618 629618
2380 2653253 2023635 629618 629618
2390 2653253 2023635 629618 629618
2400 2653253 2023635 629618 629618
2410 2653253 2023635 629618 629618
2420 2653253 2023635 629618 629618
2430 2653253 2023635 629618 629618
2440 2653253 2023635 629618 629618
2450 2653253 2023635 629618 629618
2460 2653253 2023635 629618 629618
2470 2653253 2023635 629618 629618
2480 2653253 2023635 629618 629618
2490 2653253 2023635 629618 629618
2500 2653253 2023635 629618 629618
2510 2653253 2023635 629618 629618
2520 2653253 2023635 629618 629618
2530 2653253 2023635 629618 629618
2540 2653253 2023635 629618 629618
2550 2653253 2023635 629618 629618
2560 2653253 2023635 629618 629618
2570 2653253 2023635 629618 629618
2580 2653253 2023635 629618 629618
2590 2653253 2023635 629618 629618
2600 2653253 2023635 629618 629618
2610 2653253 2023635 629618 629618
2620 2653253 2023635 629618 629618
2630 2653253 2023635 629618 629618
2640 2653253 2023635 629618 629618
2650 2653253 2023635 629618 629618
2660 2653253 2023635 629618 629618
2670 2653253 2023635 629618 629618
2680 2653253 2023635 629618 629618
2690 2653253 2023635 629618 629618
2700 2653253 2023635 629618 629618
2710 2653253 2023635 629618 629618
2720 2653253 2023635 629618 629618
2730 2653253 2023635 629618 629618
2740 2653253 2023635 629618 629618
2750 2653253 2023635 629618 629618
2760 2653253 2023635 629618 629618
2770 2653253 2023635 629618 629618
2780 2653253 2023635 629618 629618
2790 2653253 2023635 629618 629618
2800 2653253 2023635 629618 629618
2810 2653253 2023635 629618 629618
2820 2653253 2023635 629618 629618
2830 2653253 2023635 629618 629618
2840 2653253 2023635 629618 629618
2850 2653253 2023635 629618 629618
2860 2653253 2023635 629618 629618
2870 2653253 2023635 629618 629618
2880 2653253 2023635 629618 629618
2890 2653253 2023635 629618 629618
2900 2653253 2023635 629618 629618
2910 2653253 2023635 629618 629618
2920 2653253 2023635 629618 629618
2930 2653253 2023635 629618 629618
2940 2653253 2023635 629618 629618
2950 2653253 2023635 629618 629618
2960 2653253 2023635 629618 629618
2970 2653253 2023635 629618 629618
2980 2653253 2023635 629618 629618
2990 2653253 2023635 629618 629618
3000 2653253 2023635 629618 629618
3010 2653253 2023635 629618 629618
3020 2653253 2023635 629618 629618
3030 2653253 2023635 629618 629618
3040 2653253 2023635 629618 629618
3050 2653253 2023635 629618 629618
3060 2653253 2023635 629618 629618
3070 2653253 2023635 629618 629618
3080 2653253 2023635 629618 629618
3090 2653253 2023635 629618 629618
3100 2653253 2023635 629618 629618
3110 2653253 2023635 629618 629618
3120 2653253 2023635 629618 629618
3130 2653253 2023635 629618 629618
3140 2653253 2023635 629618 629618
3150 2653253 2023635 629618 629618
3160 2653253 2023635 629618 629618
3170 2653253 2023635 629618 629618
3180 2653253 2023635 629618 629618
3190 2653253 2023635 629618 629618
3200 2653253 2023635 629618 629618
3210 2653253 2023635 629618 629618
3220 2653253 2023635 629618 629618
3230 2653253 2023635 629618 629618
3240 2653253 2023635 629618 629618
3250 2653253 2023635 629618 629618
3260 2653253 2023635 629618 629618
3270 2653253 2023635 629618 629618
3280 2653253 2023635 629618 629618
3290 2653253 2023635 629618 629618
3300 2653253 2023635 629618 629618
3310 2653253 2023635 629618 629618
3320 2653253 2023635 629618 629618
3330 2653253 2023635 629618 629618
3340 2653253 2023635 629618 629618
3350 2653253 2023635 629618 629618
3360 2653253 2023635 629618 629618
3370 2653253 2023635 629618 629618
3380 2653253 2023635 629618 629618
3390 2653253 2023635 629618 629618
3400 2653253 2023635 629618 629618
3410 2653253 2023635 629618 629618
3420 2653253 2023635 629618 629618
3430 2653253 2023635 629618 629618
3440 2653253 2023635 629618 629618
3450 2653253 2023635 629618 629618
3460 2653253 2023635 629618 629618
3470 2653253 2023635 629618 629618
3480 2653253 2023635 629618 629618
3490 2653253 2023635 629618 629618
3500 2653253 2023635 629618 629618
3510 2653253 2023635 629618 629618
3520 2653253 2023635 629618 629618
3530 2653253 2023635 629618 629618
3540 2653253 2023635 629618 629618
3550 2653253 2023635 629618 629618
3560 2653253 2023635 629618 629618
3570 2653253 2023635 629618 629618
3580 2653253 2023635 629618 629618
3590 2653253 2023635 629618 629618
3600 2653253 2023635 629618 629618
3610 2653253 2023635 629618 629618
3620 2653253 2023635 629618 629618
3630 2653253 2023635 629618 629618
3640 2653253 2023635 629618 629618
3650 2653253 2023635 629618 629618
3660 2653253 2023635 629618 629618
3670 2653253 2023635 629618 629618
3680 2653253 2023635 629618 629618
3690 2653253 2023635 629618 629618
3700 2653253 2023635 629618 629618
3710 2653253 2023635 629618 629618
3720 2653253 2023635 629618 629618
3730 2653253 2023635 629618 629618
3740 2653253 2023635 629618 629618
3750 2653253 2023635 629618 629618
3760 2653253 2023635 629618 629618
3770 2653253 2023635 629618 629618
3780 2653253 2023635 629618 629618
3790 2653253 2023635 629618 629618
3800 2653253 2023635 629618 629618
3810 2653253 2023635 629618 629618
3820 2653253 2023635 629618 629618
3830 2653253 2023635 629618 629618
3840 2653253 2023635 629618 629618
3850 2653253 2023635 629618 629618
3860 2653253 2023635 629618 629618
3870 2653253 2023635 629618 629618
3880 2653253 2023635 629618 629618
3890 2653253 2023635 629618 629618
3900 2653253 2023635 629618 629618
3910 2653253 2023635 629618 629618
3920 2653253 2023635 629618 629618
3930 2653253 2023635 629618 629618
3940 2653253 2023635 629618 629618
