Optimal path [nodeId(time to the node):
36(0) -> 29(127) -> 41(134) -> 21(112) -> 10(125) -> 5(114) -> 7(122) -> 8(121) -> 26(115) -> 35(137) -> 15(111) -> 1(133) -> 39(135) -> 37(133) -> 32(121) -> 48(135) -> 23(128) -> 27(121) -> 0(125) -> 18(151) -> 31(114) -> 49(119) -> 46(135) -> 17(142) -> 44(120) -> 4(122) -> 13(122) -> 14(141) -> 16(135) -> 30(127) -> 47(101) -> 24(126) -> 20(124) -> 28(134) -> 38(119) -> 19(128) -> 2(136) -> 33(124) -> 3(133) -> 6(129) -> 9(119) -> 12(132) -> 11(124) -> 40(121) -> 25(124) -> 42(133) -> 34(134) -> 22(144) -> 43(145) -> 45(160)
Total time of delivery: 6267
The cost function value: 6267

Statistics at the end of simulation: 
Residents: 2653253
Illness cases: 2439381 --> [91.93925343719577%]
Healthy residents: 213872 --> [8.060746562804226%]
Vaccinated residents213872 --> [8.060746562804226%]

Statistics of each node: 
id residentsNumber illnessCases healthyResidents vaccinated
36 51676 1 51675 51675
29 86455 44 86411 86411
41 66159 2426 63733 63733
21 80840 68787 12053 12053
10 27278 27278 0 0
5 90210 90210 0 0
7 52412 52412 0 0
8 59097 59097 0 0
26 17928 17928 0 0
35 65482 65482 0 0
15 65892 65892 0 0
1 49826 49826 0 0
39 79510 79510 0 0
37 13995 13995 0 0
32 32778 32778 0 0
48 41563 41563 0 0
23 13962 13962 0 0
27 25692 25692 0 0
0 63772 63772 0 0
18 34212 34212 0 0
31 26553 26553 0 0
49 63359 63359 0 0
46 58433 58433 0 0
17 46965 46965 0 0
44 22955 22955 0 0
4 34099 34099 0 0
13 57370 57370 0 0
14 33326 33326 0 0
16 96804 96804 0 0
30 12230 12230 0 0
47 70879 70879 0 0
24 61926 61926 0 0
20 71926 71926 0 0
28 85687 85687 0 0
38 89747 89747 0 0
19 30140 30140 0 0
2 59636 59636 0 0
33 44211 44211 0 0
3 16050 16050 0 0
6 90185 90185 0 0
9 90298 90298 0 0
12 38389 38389 0 0
11 36243 36243 0 0
40 37916 37916 0 0
25 87768 87768 0 0
42 22928 22928 0 0
34 44159 44159 0 0
22 91889 91889 0 0
43 26088 26088 0 0
45 86355 86355 0 0

Statistics step by step: 
minute residentsNumber illnessCases healthyResidents vaccinated
0 2653253 50 2653203 51675
10 2653253 50 2653203 51675
20 2653253 50 2653203 51675
30 2653253 99 2653154 51675
40 2653253 148 2653105 51675
50 2653253 197 2653056 51675
60 2653253 295 2652958 51675
70 2653253 393 2652860 51675
80 2653253 491 2652762 51675
90 2653253 687 2652566 51675
100 2653253 932 2652321 51675
110 2653253 1275 2651978 51675
120 2653253 1765 2651488 51675
130 2653253 2349 2650904 138086
140 2653253 3165 2650088 138086
150 2653253 4269 2648984 138086
160 2653253 5709 2647544 138086
170 2653253 7725 2645528 138086
180 2653253 10413 2642840 138086
190 2653253 14013 2639240 138086
200 2653253 18861 2634392 138086
210 2653253 25437 2627816 138086
220 2653253 34269 2618984 138086
230 2653253 46173 2607080 138086
240 2653253 62253 2591000 138086
250 2653253 83901 2569352 138086
260 2653253 113037 2540216 138086
270 2653253 151649 2501604 201819
280 2653253 203584 2449669 201819
290 2653253 273567 2379686 201819
300 2653253 367943 2285310 201819
310 2653253 495125 2158128 201819
320 2653253 664334 1988919 201819
330 2653253 876610 1776643 201819
340 2653253 1149519 1503734 201819
350 2653253 1465626 1187627 201819
360 2653253 1801566 851687 201819
370 2653253 2149995 503258 201819
380 2653253 2393449 259804 213872
390 2653253 2439381 213872 213872
400 2653253 2439381 213872 213872
410 2653253 2439381 213872 213872
420 2653253 2439381 213872 213872
430 2653253 2439381 213872 213872
440 2653253 2439381 213872 213872
450 2653253 2439381 213872 213872
460 2653253 2439381 213872 213872
470 2653253 2439381 213872 213872
480 2653253 2439381 213872 213872
490 2653253 2439381 213872 213872
500 2653253 2439381 213872 213872
510 2653253 2439381 213872 213872
520 2653253 2439381 213872 213872
530 2653253 2439381 213872 213872
540 2653253 2439381 213872 213872
550 2653253 2439381 213872 213872
560 2653253 2439381 213872 213872
570 2653253 2439381 213872 213872
580 2653253 2439381 213872 213872
590 2653253 2439381 213872 213872
600 2653253 2439381 213872 213872
610 2653253 2439381 213872 213872
620 2653253 2439381 213872 213872
630 2653253 2439381 213872 213872
640 2653253 2439381 213872 213872
650 2653253 2439381 213872 213872
660 2653253 2439381 213872 213872
670 2653253 2439381 213872 213872
680 2653253 2439381 213872 213872
690 2653253 2439381 213872 213872
700 2653253 2439381 213872 213872
710 2653253 2439381 213872 213872
720 2653253 2439381 213872 213872
730 2653253 2439381 213872 213872
740 2653253 2439381 213872 213872
750 2653253 2439381 213872 213872
760 2653253 2439381 213872 213872
770 2653253 2439381 213872 213872
780 2653253 2439381 213872 213872
790 2653253 2439381 213872 213872
800 2653253 2439381 213872 213872
810 2653253 2439381 213872 213872
820 2653253 2439381 213872 213872
830 2653253 2439381 213872 213872
840 2653253 2439381 213872 213872
850 2653253 2439381 213872 213872
860 2653253 2439381 213872 213872
870 2653253 2439381 213872 213872
880 2653253 2439381 213872 213872
890 2653253 2439381 213872 213872
900 2653253 2439381 213872 213872
910 2653253 2439381 213872 213872
920 2653253 2439381 213872 213872
930 2653253 2439381 213872 213872
940 2653253 2439381 213872 213872
950 2653253 2439381 213872 213872
960 2653253 2439381 213872 213872
970 2653253 2439381 213872 213872
980 2653253 2439381 213872 213872
990 2653253 2439381 213872 213872
1000 2653253 2439381 213872 213872
1010 2653253 2439381 213872 213872
1020 2653253 2439381 213872 213872
1030 2653253 2439381 213872 213872
1040 2653253 2439381 213872 213872
1050 2653253 2439381 213872 213872
1060 2653253 2439381 213872 213872
1070 2653253 2439381 213872 213872
1080 2653253 2439381 213872 213872
1090 2653253 2439381 213872 213872
1100 2653253 2439381 213872 213872
1110 2653253 2439381 213872 213872
1120 2653253 2439381 213872 213872
1130 2653253 2439381 213872 213872
1140 2653253 2439381 213872 213872
