Optimal path [nodeId(time to the node):
17(0) -> 37(149) -> 56(139) -> 80(123) -> 91(124) -> 66(132) -> 61(122) -> 79(142) -> 54(133) -> 63(135) -> 95(123) -> 57(118) -> 10(131) -> 85(150) -> 42(136) -> 88(145) -> 99(143) -> 78(138) -> 46(142) -> 27(128) -> 15(155) -> 73(148) -> 53(122) -> 83(140) -> 71(159) -> 0(125) -> 96(155) -> 62(130) -> 31(130) -> 51(118) -> 30(143) -> 24(125) -> 68(141) -> 9(132) -> 75(149) -> 90(122) -> 33(127) -> 98(131) -> 29(128) -> 92(126) -> 55(118) -> 72(124) -> 69(134) -> 36(136) -> 16(138) -> 28(116) -> 12(132) -> 8(142) -> 13(125) -> 18(141) -> 86(140) -> 52(126) -> 41(127) -> 4(146) -> 6(123) -> 2(127) -> 49(122) -> 40(147) -> 44(107) -> 97(134) -> 45(135) -> 50(144) -> 25(123) -> 74(139) -> 87(131) -> 11(125) -> 93(126) -> 43(132) -> 5(135) -> 3(151) -> 65(132) -> 22(105) -> 58(119) -> 34(114) -> 32(152) -> 94(143) -> 60(135) -> 59(131) -> 47(145) -> 81(112) -> 19(140) -> 39(125) -> 1(122) -> 77(137) -> 64(128) -> 26(142) -> 38(127) -> 70(114) -> 23(127) -> 67(112) -> 7(149) -> 76(105) -> 35(128) -> 89(142) -> 84(135) -> 82(121) -> 20(120) -> 21(126) -> 14(141) -> 48(149)
Total time of delivery: 13083
The cost function value: 2646227

Statistics at the end of simulation: 
Residents: 5432871
Illness cases: 5279373 --> [97.17464302023735%]
Healthy residents: 153498 --> [2.825356979762634%]
Vaccinated residents153498 --> [2.825356979762634%]

Statistics of each node: 
id residentsNumber illnessCases healthyResidents vaccinated
17 27216 1 27215 27215
37 51694 85 51609 51609
56 80108 5434 74674 74674
80 67722 67722 0 0
91 32862 32862 0 0
66 26230 26230 0 0
61 25643 25643 0 0
79 84379 84379 0 0
54 69376 69376 0 0
63 51706 51706 0 0
95 71066 71066 0 0
57 39724 39724 0 0
10 95932 95932 0 0
85 44972 44972 0 0
42 68898 68898 0 0
88 37474 37474 0 0
99 28053 28053 0 0
78 57716 57716 0 0
46 73816 73816 0 0
27 80174 80174 0 0
15 78003 78003 0 0
73 49077 49077 0 0
53 61988 61988 0 0
83 46841 46841 0 0
71 23666 23666 0 0
0 59902 59902 0 0
96 73344 73344 0 0
62 19500 19500 0 0
31 69146 69146 0 0
51 94699 94699 0 0
30 67192 67192 0 0
24 37355 37355 0 0
68 42462 42462 0 0
9 60305 60305 0 0
75 26017 26017 0 0
90 80008 80008 0 0
33 13135 13135 0 0
98 93006 93006 0 0
29 15814 15814 0 0
92 24523 24523 0 0
55 88344 88344 0 0
72 90063 90063 0 0
69 66112 66112 0 0
36 85682 85682 0 0
16 82700 82700 0 0
28 91749 91749 0 0
12 79926 79926 0 0
8 45160 45160 0 0
13 61304 61304 0 0
18 16978 16978 0 0
86 26732 26732 0 0
52 63153 63153 0 0
41 91808 91808 0 0
4 56018 56018 0 0
6 12672 12672 0 0
2 43074 43074 0 0
49 19584 19584 0 0
40 31222 31222 0 0
44 15573 15573 0 0
97 86845 86845 0 0
45 46217 46217 0 0
50 30829 30829 0 0
25 67586 67586 0 0
74 81649 81649 0 0
87 20655 20655 0 0
11 84816 84816 0 0
93 39916 39916 0 0
43 79446 79446 0 0
5 15364 15364 0 0
3 57882 57882 0 0
65 70610 70610 0 0
22 73621 73621 0 0
58 16081 16081 0 0
34 28894 28894 0 0
32 59165 59165 0 0
94 76894 76894 0 0
60 91794 91794 0 0
59 83546 83546 0 0
47 98952 98952 0 0
81 89526 89526 0 0
19 87851 87851 0 0
39 32804 32804 0 0
1 49456 49456 0 0
77 28452 28452 0 0
64 22353 22353 0 0
26 26605 26605 0 0
38 33030 33030 0 0
70 36163 36163 0 0
23 20873 20873 0 0
67 37842 37842 0 0
7 29243 29243 0 0
76 31382 31382 0 0
35 96767 96767 0 0
89 68284 68284 0 0
84 70627 70627 0 0
82 15231 15231 0 0
20 48774 48774 0 0
21 82806 82806 0 0
14 81887 81887 0 0
48 13555 13555 0 0

Statistics step by step: 
minute residentsNumber illnessCases healthyResidents vaccinated
0 5432871 100 5432771 27215
10 5432871 100 5432771 27215
20 5432871 100 5432771 27215
30 5432871 199 5432672 27215
40 5432871 298 5432573 27215
50 5432871 397 5432474 27215
60 5432871 595 5432276 27215
70 5432871 793 5432078 27215
80 5432871 991 5431880 27215
90 5432871 1387 5431484 27215
100 5432871 1882 5430989 27215
110 5432871 2575 5430296 27215
120 5432871 3565 5429306 27215
130 5432871 4753 5428118 27215
140 5432871 6436 5426435 27215
150 5432871 8710 5424161 78824
160 5432871 11650 5421221 78824
170 5432871 15766 5417105 78824
180 5432871 21254 5411617 78824
190 5432871 28604 5404267 78824
200 5432871 38502 5394369 78824
210 5432871 51928 5380943 78824
220 5432871 69960 5362911 78824
230 5432871 94264 5338607 78824
240 5432871 127094 5305777 78824
250 5432871 171292 5261579 78824
260 5432871 230778 5202093 78824
270 5432871 311138 5121733 78824
280 5432871 419428 5013443 78824
290 5432871 565016 4867855 153498
300 5432871 759792 4673079 153498
310 5432871 1022274 4410597 153498
320 5432871 1373008 4059863 153498
330 5432871 1816059 3616812 153498
340 5432871 2370720 3062151 153498
350 5432871 3013401 2419470 153498
360 5432871 3745514 1687357 153498
370 5432871 4541032 891839 153498
380 5432871 5183224 249647 153498
390 5432871 5279373 153498 153498
400 5432871 5279373 153498 153498
410 5432871 5279373 153498 153498
420 5432871 5279373 153498 153498
430 5432871 5279373 153498 153498
440 5432871 5279373 153498 153498
450 5432871 5279373 153498 153498
460 5432871 5279373 153498 153498
470 5432871 5279373 153498 153498
480 5432871 5279373 153498 153498
490 5432871 5279373 153498 153498
500 5432871 5279373 153498 153498
510 5432871 5279373 153498 153498
520 5432871 5279373 153498 153498
530 5432871 5279373 153498 153498
540 5432871 5279373 153498 153498
550 5432871 5279373 153498 153498
560 5432871 5279373 153498 153498
570 5432871 5279373 153498 153498
580 5432871 5279373 153498 153498
590 5432871 5279373 153498 153498
600 5432871 5279373 153498 153498
610 5432871 5279373 153498 153498
620 5432871 5279373 153498 153498
630 5432871 5279373 153498 153498
640 5432871 5279373 153498 153498
650 5432871 5279373 153498 153498
660 5432871 5279373 153498 153498
670 5432871 5279373 153498 153498
680 5432871 5279373 153498 153498
690 5432871 5279373 153498 153498
700 5432871 5279373 153498 153498
710 5432871 5279373 153498 153498
720 5432871 5279373 153498 153498
730 5432871 5279373 153498 153498
740 5432871 5279373 153498 153498
750 5432871 5279373 153498 153498
760 5432871 5279373 153498 153498
770 5432871 5279373 153498 153498
780 5432871 5279373 153498 153498
790 5432871 5279373 153498 153498
800 5432871 5279373 153498 153498
810 5432871 5279373 153498 153498
820 5432871 5279373 153498 153498
830 5432871 5279373 153498 153498
840 5432871 5279373 153498 153498
850 5432871 5279373 153498 153498
860 5432871 5279373 153498 153498
870 5432871 5279373 153498 153498
880 5432871 5279373 153498 153498
890 5432871 5279373 153498 153498
900 5432871 5279373 153498 153498
910 5432871 5279373 153498 153498
920 5432871 5279373 153498 153498
930 5432871 5279373 153498 153498
940 5432871 5279373 153498 153498
950 5432871 5279373 153498 153498
960 5432871 5279373 153498 153498
970 5432871 5279373 153498 153498
980 5432871 5279373 153498 153498
990 5432871 5279373 153498 153498
1000 5432871 5279373 153498 153498
1010 5432871 5279373 153498 153498
1020 5432871 5279373 153498 153498
1030 5432871 5279373 153498 153498
1040 5432871 5279373 153498 153498
1050 5432871 5279373 153498 153498
1060 5432871 5279373 153498 153498
1070 5432871 5279373 153498 153498
1080 5432871 5279373 153498 153498
1090 5432871 5279373 153498 153498
1100 5432871 5279373 153498 153498
1110 5432871 5279373 153498 153498
1120 5432871 5279373 153498 153498
1130 5432871 5279373 153498 153498
1140 5432871 5279373 153498 153498
1150 5432871 5279373 153498 153498
1160 5432871 5279373 153498 153498
1170 5432871 5279373 153498 153498
1180 5432871 5279373 153498 153498
1190 5432871 5279373 153498 153498
1200 5432871 5279373 153498 153498
1210 5432871 5279373 153498 153498
1220 5432871 5279373 153498 153498
1230 5432871 5279373 153498 153498
1240 5432871 5279373 153498 153498
1250 5432871 5279373 153498 153498
1260 5432871 5279373 153498 153498
1270 5432871 5279373 153498 153498
1280 5432871 5279373 153498 153498
1290 5432871 5279373 153498 153498
1300 5432871 5279373 153498 153498
1310 5432871 5279373 153498 153498
1320 5432871 5279373 153498 153498
1330 5432871 5279373 153498 153498
1340 5432871 5279373 153498 153498
1350 5432871 5279373 153498 153498
1360 5432871 5279373 153498 153498
1370 5432871 5279373 153498 153498
1380 5432871 5279373 153498 153498
1390 5432871 5279373 153498 153498
1400 5432871 5279373 153498 153498
1410 5432871 5279373 153498 153498
1420 5432871 5279373 153498 153498
1430 5432871 5279373 153498 153498
1440 5432871 5279373 153498 153498
1450 5432871 5279373 153498 153498
1460 5432871 5279373 153498 153498
1470 5432871 5279373 153498 153498
1480 5432871 5279373 153498 153498
1490 5432871 5279373 153498 153498
1500 5432871 5279373 153498 153498
1510 5432871 5279373 153498 153498
1520 5432871 5279373 153498 153498
1530 5432871 5279373 153498 153498
1540 5432871 5279373 153498 153498
1550 5432871 5279373 153498 153498
1560 5432871 5279373 153498 153498
1570 5432871 5279373 153498 153498
1580 5432871 5279373 153498 153498
1590 5432871 5279373 153498 153498
1600 5432871 5279373 153498 153498
1610 5432871 5279373 153498 153498
1620 5432871 5279373 153498 153498
1630 5432871 5279373 153498 153498
1640 5432871 5279373 153498 153498
1650 5432871 5279373 153498 153498
1660 5432871 5279373 153498 153498
1670 5432871 5279373 153498 153498
1680 5432871 5279373 153498 153498
1690 5432871 5279373 153498 153498
1700 5432871 5279373 153498 153498
1710 5432871 5279373 153498 153498
1720 5432871 5279373 153498 153498
1730 5432871 5279373 153498 153498
1740 5432871 5279373 153498 153498
1750 5432871 5279373 153498 153498
1760 5432871 5279373 153498 153498
1770 5432871 5279373 153498 153498
1780 5432871 5279373 153498 153498
1790 5432871 5279373 153498 153498
1800 5432871 5279373 153498 153498
1810 5432871 5279373 153498 153498
1820 5432871 5279373 153498 153498
1830 5432871 5279373 153498 153498
1840 5432871 5279373 153498 153498
1850 5432871 5279373 153498 153498
1860 5432871 5279373 153498 153498
1870 5432871 5279373 153498 153498
1880 5432871 5279373 153498 153498
1890 5432871 5279373 153498 153498
1900 5432871 5279373 153498 153498
1910 5432871 5279373 153498 153498
1920 5432871 5279373 153498 153498
1930 5432871 5279373 153498 153498
1940 5432871 5279373 153498 153498
1950 5432871 5279373 153498 153498
1960 5432871 5279373 153498 153498
1970 5432871 5279373 153498 153498
1980 5432871 5279373 153498 153498
1990 5432871 5279373 153498 153498
2000 5432871 5279373 153498 153498
2010 5432871 5279373 153498 153498
2020 5432871 5279373 153498 153498
2030 5432871 5279373 153498 153498
2040 5432871 5279373 153498 153498
2050 5432871 5279373 153498 153498
2060 5432871 5279373 153498 153498
2070 5432871 5279373 153498 153498
2080 5432871 5279373 153498 153498
2090 5432871 5279373 153498 153498
2100 5432871 5279373 153498 153498
2110 5432871 5279373 153498 153498
2120 5432871 5279373 153498 153498
2130 5432871 5279373 153498 153498
2140 5432871 5279373 153498 153498
2150 5432871 5279373 153498 153498
2160 5432871 5279373 153498 153498
2170 5432871 5279373 153498 153498
2180 5432871 5279373 153498 153498
2190 5432871 5279373 153498 153498
2200 5432871 5279373 153498 153498
2210 5432871 5279373 153498 153498
2220 5432871 5279373 153498 153498
2230 5432871 5279373 153498 153498
2240 5432871 5279373 153498 153498
2250 5432871 5279373 153498 153498
2260 5432871 5279373 153498 153498
2270 5432871 5279373 153498 153498
2280 5432871 5279373 153498 153498
2290 5432871 5279373 153498 153498
2300 5432871 5279373 153498 153498
2310 5432871 5279373 153498 153498
2320 5432871 5279373 153498 153498
2330 5432871 5279373 153498 153498
2340 5432871 5279373 153498 153498
2350 5432871 5279373 153498 153498
2360 5432871 5279373 153498 153498
2370 5432871 5279373 153498 153498
2380 5432871 5279373 153498 153498
2390 5432871 5279373 153498 153498
2400 5432871 5279373 153498 153498
2410 5432871 5279373 153498 153498
2420 5432871 5279373 153498 153498
2430 5432871 5279373 153498 153498
2440 5432871 5279373 153498 153498
2450 5432871 5279373 153498 153498
2460 5432871 5279373 153498 153498
2470 5432871 5279373 153498 153498
2480 5432871 5279373 153498 153498
2490 5432871 5279373 153498 153498
2500 5432871 5279373 153498 153498
2510 5432871 5279373 153498 153498
2520 5432871 5279373 153498 153498
2530 5432871 5279373 153498 153498
2540 5432871 5279373 153498 153498
2550 5432871 5279373 153498 153498
2560 5432871 5279373 153498 153498
2570 5432871 5279373 153498 153498
2580 5432871 5279373 153498 153498
2590 5432871 5279373 153498 153498
2600 5432871 5279373 153498 153498
2610 5432871 5279373 153498 153498
2620 5432871 5279373 153498 153498
2630 5432871 5279373 153498 153498
2640 5432871 5279373 153498 153498
2650 5432871 5279373 153498 153498
2660 5432871 5279373 153498 153498
2670 5432871 5279373 153498 153498
2680 5432871 5279373 153498 153498
2690 5432871 5279373 153498 153498
2700 5432871 5279373 153498 153498
2710 5432871 5279373 153498 153498
2720 5432871 5279373 153498 153498
2730 5432871 5279373 153498 153498
2740 5432871 5279373 153498 153498
2750 5432871 5279373 153498 153498
2760 5432871 5279373 153498 153498
2770 5432871 5279373 153498 153498
2780 5432871 5279373 153498 153498
2790 5432871 5279373 153498 153498
2800 5432871 5279373 153498 153498
2810 5432871 5279373 153498 153498
2820 5432871 5279373 153498 153498
2830 5432871 5279373 153498 153498
2840 5432871 5279373 153498 153498
2850 5432871 5279373 153498 153498
2860 5432871 5279373 153498 153498
2870 5432871 5279373 153498 153498
2880 5432871 5279373 153498 153498
2890 5432871 5279373 153498 153498
2900 5432871 5279373 153498 153498
2910 5432871 5279373 153498 153498
2920 5432871 5279373 153498 153498
2930 5432871 5279373 153498 153498
2940 5432871 5279373 153498 153498
2950 5432871 5279373 153498 153498
2960 5432871 5279373 153498 153498
2970 5432871 5279373 153498 153498
2980 5432871 5279373 153498 153498
2990 5432871 5279373 153498 153498
3000 5432871 5279373 153498 153498
3010 5432871 5279373 153498 153498
3020 5432871 5279373 153498 153498
3030 5432871 5279373 153498 153498
3040 5432871 5279373 153498 153498
3050 5432871 5279373 153498 153498
3060 5432871 5279373 153498 153498
3070 5432871 5279373 153498 153498
3080 5432871 5279373 153498 153498
3090 5432871 5279373 153498 153498
3100 5432871 5279373 153498 153498
3110 5432871 5279373 153498 153498
3120 5432871 5279373 153498 153498
3130 5432871 5279373 153498 153498
3140 5432871 5279373 153498 153498
3150 5432871 5279373 153498 153498
3160 5432871 5279373 153498 153498
3170 5432871 5279373 153498 153498
3180 5432871 5279373 153498 153498
3190 5432871 5279373 153498 153498
3200 5432871 5279373 153498 153498
3210 5432871 5279373 153498 153498
3220 5432871 5279373 153498 153498
3230 5432871 5279373 153498 153498
3240 5432871 5279373 153498 153498
3250 5432871 5279373 153498 153498
3260 5432871 5279373 153498 153498
3270 5432871 5279373 153498 153498
3280 5432871 5279373 153498 153498
3290 5432871 5279373 153498 153498
3300 5432871 5279373 153498 153498
3310 5432871 5279373 153498 153498
3320 5432871 5279373 153498 153498
3330 5432871 5279373 153498 153498
3340 5432871 5279373 153498 153498
3350 5432871 5279373 153498 153498
3360 5432871 5279373 153498 153498
3370 5432871 5279373 153498 153498
3380 5432871 5279373 153498 153498
3390 5432871 5279373 153498 153498
3400 5432871 5279373 153498 153498
3410 5432871 5279373 153498 153498
3420 5432871 5279373 153498 153498
3430 5432871 5279373 153498 153498
3440 5432871 5279373 153498 153498
3450 5432871 5279373 153498 153498
3460 5432871 5279373 153498 153498
3470 5432871 5279373 153498 153498
3480 5432871 5279373 153498 153498
3490 5432871 5279373 153498 153498
3500 5432871 5279373 153498 153498
3510 5432871 5279373 153498 153498
3520 5432871 5279373 153498 153498
3530 5432871 5279373 153498 153498
3540 5432871 5279373 153498 153498
3550 5432871 5279373 153498 153498
3560 5432871 5279373 153498 153498
3570 5432871 5279373 153498 153498
3580 5432871 5279373 153498 153498
3590 5432871 5279373 153498 153498
3600 5432871 5279373 153498 153498
3610 5432871 5279373 153498 153498
3620 5432871 5279373 153498 153498
3630 5432871 5279373 153498 153498
3640 5432871 5279373 153498 153498
3650 5432871 5279373 153498 153498
3660 5432871 5279373 153498 153498
3670 5432871 5279373 153498 153498
3680 5432871 5279373 153498 153498
3690 5432871 5279373 153498 153498
3700 5432871 5279373 153498 153498
3710 5432871 5279373 153498 153498
3720 5432871 5279373 153498 153498
3730 5432871 5279373 153498 153498
3740 5432871 5279373 153498 153498
3750 5432871 5279373 153498 153498
3760 5432871 5279373 153498 153498
3770 5432871 5279373 153498 153498
3780 5432871 5279373 153498 153498
3790 5432871 5279373 153498 153498
3800 5432871 5279373 153498 153498
3810 5432871 5279373 153498 153498
3820 5432871 5279373 153498 153498
3830 5432871 5279373 153498 153498
3840 5432871 5279373 153498 153498
3850 5432871 5279373 153498 153498
3860 5432871 5279373 153498 153498
3870 5432871 5279373 153498 153498
3880 5432871 5279373 153498 153498
3890 5432871 5279373 153498 153498
3900 5432871 5279373 153498 153498
3910 5432871 5279373 153498 153498
3920 5432871 5279373 153498 153498
3930 5432871 5279373 153498 153498
3940 5432871 5279373 153498 153498
3950 5432871 5279373 153498 153498
3960 5432871 5279373 153498 153498
3970 5432871 5279373 153498 153498
3980 5432871 5279373 153498 153498
3990 5432871 5279373 153498 153498
4000 5432871 5279373 153498 153498
