Optimal path [nodeId(time to the node):
17(0) -> 41(136) -> 10(140) -> 68(140) -> 99(125) -> 33(152) -> 83(126) -> 78(146) -> 73(137) -> 98(171) -> 62(122) -> 66(137) -> 13(145) -> 50(146) -> 65(143) -> 22(130) -> 18(127) -> 58(171) -> 4(138) -> 85(135) -> 26(145) -> 63(150) -> 96(127) -> 77(154) -> 60(161) -> 43(141) -> 0(165) -> 37(150) -> 71(147) -> 75(133) -> 94(142) -> 8(127) -> 31(128) -> 38(137) -> 74(142) -> 16(139) -> 89(158) -> 52(135) -> 90(134) -> 97(153) -> 56(133) -> 55(142) -> 53(127) -> 57(141) -> 51(145) -> 25(134) -> 82(152) -> 49(127) -> 70(146) -> 28(180) -> 76(135) -> 72(139) -> 27(125) -> 69(127) -> 95(148) -> 24(130) -> 80(153) -> 45(155) -> 48(154) -> 7(146) -> 20(153) -> 3(130) -> 14(127) -> 11(151) -> 34(150) -> 46(135) -> 9(140) -> 54(151) -> 12(120) -> 92(147) -> 39(160) -> 40(134) -> 36(133) -> 93(125) -> 84(148) -> 21(143) -> 2(124) -> 64(151) -> 32(149) -> 87(130) -> 47(163) -> 61(140) -> 91(149) -> 81(154) -> 1(140) -> 35(151) -> 23(135) -> 67(153) -> 19(133) -> 79(131) -> 30(134) -> 44(125) -> 42(164) -> 6(136) -> 5(147) -> 59(134) -> 29(143) -> 88(141) -> 86(139) -> 15(148)
Total time of delivery: 14035
The cost function value: 5221770

Statistics at the end of simulation: 
Residents: 5432871
Illness cases: 5221771 --> [96.11439329223904%]
Healthy residents: 211100 --> [3.8856067077609606%]
Vaccinated residents211100 --> [3.8856067077609606%]

Statistics of each node: 
id residentsNumber illnessCases healthyResidents vaccinated
17 27216 1 27215 27215
41 91808 58 91750 91750
10 95932 3797 92135 92135
68 42462 42462 0 0
99 28053 28053 0 0
33 13135 13135 0 0
83 46841 46841 0 0
78 57716 57716 0 0
73 49077 49077 0 0
98 93006 93006 0 0
62 19500 19500 0 0
66 26230 26230 0 0
13 61304 61304 0 0
50 30829 30829 0 0
65 70610 70610 0 0
22 73621 73621 0 0
18 16978 16978 0 0
58 16081 16081 0 0
4 56018 56018 0 0
85 44972 44972 0 0
26 26605 26605 0 0
63 51706 51706 0 0
96 73344 73344 0 0
77 28452 28452 0 0
60 91794 91794 0 0
43 79446 79446 0 0
0 59902 59902 0 0
37 51694 51694 0 0
71 23666 23666 0 0
75 26017 26017 0 0
94 76894 76894 0 0
8 45160 45160 0 0
31 69146 69146 0 0
38 33030 33030 0 0
74 81649 81649 0 0
16 82700 82700 0 0
89 68284 68284 0 0
52 63153 63153 0 0
90 80008 80008 0 0
97 86845 86845 0 0
56 80108 80108 0 0
55 88344 88344 0 0
53 61988 61988 0 0
57 39724 39724 0 0
51 94699 94699 0 0
25 67586 67586 0 0
82 15231 15231 0 0
49 19584 19584 0 0
70 36163 36163 0 0
28 91749 91749 0 0
76 31382 31382 0 0
72 90063 90063 0 0
27 80174 80174 0 0
69 66112 66112 0 0
95 71066 71066 0 0
24 37355 37355 0 0
80 67722 67722 0 0
45 46217 46217 0 0
48 13555 13555 0 0
7 29243 29243 0 0
20 48774 48774 0 0
3 57882 57882 0 0
14 81887 81887 0 0
11 84816 84816 0 0
34 28894 28894 0 0
46 73816 73816 0 0
9 60305 60305 0 0
54 69376 69376 0 0
12 79926 79926 0 0
92 24523 24523 0 0
39 32804 32804 0 0
40 31222 31222 0 0
36 85682 85682 0 0
93 39916 39916 0 0
84 70627 70627 0 0
21 82806 82806 0 0
2 43074 43074 0 0
64 22353 22353 0 0
32 59165 59165 0 0
87 20655 20655 0 0
47 98952 98952 0 0
61 25643 25643 0 0
91 32862 32862 0 0
81 89526 89526 0 0
1 49456 49456 0 0
35 96767 96767 0 0
23 20873 20873 0 0
67 37842 37842 0 0
19 87851 87851 0 0
79 84379 84379 0 0
30 67192 67192 0 0
44 15573 15573 0 0
42 68898 68898 0 0
6 12672 12672 0 0
5 15364 15364 0 0
59 83546 83546 0 0
29 15814 15814 0 0
88 37474 37474 0 0
86 26732 26732 0 0
15 78003 78003 0 0

Statistics step by step: 
minute residentsNumber illnessCases healthyResidents vaccinated
0 5432871 100 5432771 27215
10 5432871 100 5432771 27215
20 5432871 100 5432771 27215
30 5432871 199 5432672 27215
40 5432871 298 5432573 27215
50 5432871 397 5432474 27215
60 5432871 595 5432276 27215
70 5432871 793 5432078 27215
80 5432871 991 5431880 27215
90 5432871 1387 5431484 27215
100 5432871 1882 5430989 27215
110 5432871 2575 5430296 27215
120 5432871 3565 5429306 27215
130 5432871 4753 5428118 27215
140 5432871 6429 5426442 118965
150 5432871 8683 5424188 118965
160 5432871 11623 5421248 118965
170 5432871 15739 5417132 118965
180 5432871 21227 5411644 118965
190 5432871 28577 5404294 118965
200 5432871 38475 5394396 118965
210 5432871 51901 5380970 118965
220 5432871 69933 5362938 118965
230 5432871 94237 5338634 118965
240 5432871 127067 5305804 118965
250 5432871 171265 5261606 118965
260 5432871 230751 5202120 118965
270 5432871 311111 5121760 118965
280 5432871 418919 5013952 211100
290 5432871 563352 4869519 211100
300 5432871 758128 4674743 211100
310 5432871 1020610 4412261 211100
320 5432871 1371344 4061527 211100
330 5432871 1814395 3618476 211100
340 5432871 2369056 3063815 211100
350 5432871 3011737 2421134 211100
360 5432871 3743850 1689021 211100
370 5432871 4528170 904701 211100
380 5432871 5143804 289067 211100
390 5432871 5221771 211100 211100
400 5432871 5221771 211100 211100
410 5432871 5221771 211100 211100
420 5432871 5221771 211100 211100
430 5432871 5221771 211100 211100
440 5432871 5221771 211100 211100
450 5432871 5221771 211100 211100
460 5432871 5221771 211100 211100
470 5432871 5221771 211100 211100
480 5432871 5221771 211100 211100
490 5432871 5221771 211100 211100
500 5432871 5221771 211100 211100
510 5432871 5221771 211100 211100
520 5432871 5221771 211100 211100
530 5432871 5221771 211100 211100
540 5432871 5221771 211100 211100
550 5432871 5221771 211100 211100
560 5432871 5221771 211100 211100
570 5432871 5221771 211100 211100
580 5432871 5221771 211100 211100
590 5432871 5221771 211100 211100
600 5432871 5221771 211100 211100
610 5432871 5221771 211100 211100
620 5432871 5221771 211100 211100
630 5432871 5221771 211100 211100
640 5432871 5221771 211100 211100
650 5432871 5221771 211100 211100
660 5432871 5221771 211100 211100
670 5432871 5221771 211100 211100
680 5432871 5221771 211100 211100
690 5432871 5221771 211100 211100
700 5432871 5221771 211100 211100
710 5432871 5221771 211100 211100
720 5432871 5221771 211100 211100
730 5432871 5221771 211100 211100
740 5432871 5221771 211100 211100
750 5432871 5221771 211100 211100
760 5432871 5221771 211100 211100
770 5432871 5221771 211100 211100
780 5432871 5221771 211100 211100
790 5432871 5221771 211100 211100
800 5432871 5221771 211100 211100
810 5432871 5221771 211100 211100
820 5432871 5221771 211100 211100
830 5432871 5221771 211100 211100
840 5432871 5221771 211100 211100
850 5432871 5221771 211100 211100
860 5432871 5221771 211100 211100
870 5432871 5221771 211100 211100
880 5432871 5221771 211100 211100
890 5432871 5221771 211100 211100
900 5432871 5221771 211100 211100
910 5432871 5221771 211100 211100
920 5432871 5221771 211100 211100
930 5432871 5221771 211100 211100
940 5432871 5221771 211100 211100
950 5432871 5221771 211100 211100
960 5432871 5221771 211100 211100
970 5432871 5221771 211100 211100
980 5432871 5221771 211100 211100
990 5432871 5221771 211100 211100
1000 5432871 5221771 211100 211100
1010 5432871 5221771 211100 211100
1020 5432871 5221771 211100 211100
1030 5432871 5221771 211100 211100
1040 5432871 5221771 211100 211100
1050 5432871 5221771 211100 211100
1060 5432871 5221771 211100 211100
1070 5432871 5221771 211100 211100
1080 5432871 5221771 211100 211100
1090 5432871 5221771 211100 211100
1100 5432871 5221771 211100 211100
1110 5432871 5221771 211100 211100
1120 5432871 5221771 211100 211100
1130 5432871 5221771 211100 211100
1140 5432871 5221771 211100 211100
1150 5432871 5221771 211100 211100
1160 5432871 5221771 211100 211100
1170 5432871 5221771 211100 211100
1180 5432871 5221771 211100 211100
1190 5432871 5221771 211100 211100
1200 5432871 5221771 211100 211100
1210 5432871 5221771 211100 211100
1220 5432871 5221771 211100 211100
1230 5432871 5221771 211100 211100
1240 5432871 5221771 211100 211100
1250 5432871 5221771 211100 211100
1260 5432871 5221771 211100 211100
1270 5432871 5221771 211100 211100
1280 5432871 5221771 211100 211100
1290 5432871 5221771 211100 211100
