Optimal path [nodeId(time to the node):
36(0) -> 22(128) -> 16(111) -> 9(116) -> 43(126) -> 42(133) -> 45(130) -> 10(120) -> 46(133) -> 5(123) -> 7(124) -> 28(118) -> 41(114) -> 21(120) -> 34(120) -> 47(130) -> 1(139) -> 13(130) -> 3(117) -> 6(139) -> 44(133) -> 12(129) -> 40(125) -> 38(120) -> 8(124) -> 24(121) -> 15(126) -> 17(128) -> 30(136) -> 37(123) -> 31(130) -> 29(122) -> 39(136) -> 2(108) -> 33(131) -> 48(131) -> 26(112) -> 35(140) -> 27(147) -> 49(140) -> 14(138) -> 4(108) -> 25(130) -> 20(140) -> 23(131) -> 19(149) -> 32(128) -> 0(152) -> 18(144) -> 11(160)
Total time of delivery: 6313
The cost function value: 1185192

Statistics at the end of simulation: 
Residents: 2653253
Illness cases: 2364073 --> [89.10092629688914%]
Healthy residents: 289180 --> [10.89907370311086%]
Vaccinated residents289180 --> [10.89907370311086%]

Statistics of each node: 
id residentsNumber illnessCases healthyResidents vaccinated
36 51676 1 51675 51675
22 91889 45 91844 91844
16 96804 1257 95547 95547
9 90298 40184 50114 50114
43 26088 26088 0 0
42 22928 22928 0 0
45 86355 86355 0 0
10 27278 27278 0 0
46 58433 58433 0 0
5 90210 90210 0 0
7 52412 52412 0 0
28 85687 85687 0 0
41 66159 66159 0 0
21 80840 80840 0 0
34 44159 44159 0 0
47 70879 70879 0 0
1 49826 49826 0 0
13 57370 57370 0 0
3 16050 16050 0 0
6 90185 90185 0 0
44 22955 22955 0 0
12 38389 38389 0 0
40 37916 37916 0 0
38 89747 89747 0 0
8 59097 59097 0 0
24 61926 61926 0 0
15 65892 65892 0 0
17 46965 46965 0 0
30 12230 12230 0 0
37 13995 13995 0 0
31 26553 26553 0 0
29 86455 86455 0 0
39 79510 79510 0 0
2 59636 59636 0 0
33 44211 44211 0 0
48 41563 41563 0 0
26 17928 17928 0 0
35 65482 65482 0 0
27 25692 25692 0 0
49 63359 63359 0 0
14 33326 33326 0 0
4 34099 34099 0 0
25 87768 87768 0 0
20 71926 71926 0 0
23 13962 13962 0 0
19 30140 30140 0 0
32 32778 32778 0 0
0 63772 63772 0 0
18 34212 34212 0 0
11 36243 36243 0 0

Statistics step by step: 
minute residentsNumber illnessCases healthyResidents vaccinated
0 2653253 50 2653203 51675
10 2653253 50 2653203 51675
20 2653253 50 2653203 51675
30 2653253 99 2653154 51675
40 2653253 148 2653105 51675
50 2653253 197 2653056 51675
60 2653253 295 2652958 51675
70 2653253 393 2652860 51675
80 2653253 491 2652762 51675
90 2653253 687 2652566 51675
100 2653253 932 2652321 51675
110 2653253 1275 2651978 51675
120 2653253 1765 2651488 51675
130 2653253 2350 2650903 143519
140 2653253 3166 2650087 143519
150 2653253 4270 2648983 143519
160 2653253 5710 2647543 143519
170 2653253 7726 2645527 143519
180 2653253 10414 2642839 143519
190 2653253 14014 2639239 143519
200 2653253 18862 2634391 143519
210 2653253 25438 2627815 143519
220 2653253 34270 2618983 143519
230 2653253 46174 2607079 143519
240 2653253 62215 2591038 239066
250 2653253 83412 2569841 239066
260 2653253 111941 2541312 239066
270 2653253 150481 2502772 239066
280 2653253 202416 2450837 239066
290 2653253 272399 2380854 239066
300 2653253 366775 2286478 239066
310 2653253 493957 2159296 239066
320 2653253 663166 1990087 239066
330 2653253 875442 1777811 239066
340 2653253 1148351 1504902 239066
350 2653253 1464458 1188795 239066
360 2653253 1793926 859327 289180
370 2653253 2126119 527134 289180
380 2653253 2341119 312134 289180
390 2653253 2364073 289180 289180
400 2653253 2364073 289180 289180
410 2653253 2364073 289180 289180
420 2653253 2364073 289180 289180
430 2653253 2364073 289180 289180
440 2653253 2364073 289180 289180
450 2653253 2364073 289180 289180
460 2653253 2364073 289180 289180
470 2653253 2364073 289180 289180
480 2653253 2364073 289180 289180
490 2653253 2364073 289180 289180
500 2653253 2364073 289180 289180
510 2653253 2364073 289180 289180
520 2653253 2364073 289180 289180
530 2653253 2364073 289180 289180
540 2653253 2364073 289180 289180
550 2653253 2364073 289180 289180
560 2653253 2364073 289180 289180
570 2653253 2364073 289180 289180
580 2653253 2364073 289180 289180
590 2653253 2364073 289180 289180
600 2653253 2364073 289180 289180
610 2653253 2364073 289180 289180
620 2653253 2364073 289180 289180
630 2653253 2364073 289180 289180
640 2653253 2364073 289180 289180
650 2653253 2364073 289180 289180
660 2653253 2364073 289180 289180
670 2653253 2364073 289180 289180
680 2653253 2364073 289180 289180
690 2653253 2364073 289180 289180
700 2653253 2364073 289180 289180
710 2653253 2364073 289180 289180
720 2653253 2364073 289180 289180
730 2653253 2364073 289180 289180
740 2653253 2364073 289180 289180
750 2653253 2364073 289180 289180
760 2653253 2364073 289180 289180
770 2653253 2364073 289180 289180
780 2653253 2364073 289180 289180
790 2653253 2364073 289180 289180
800 2653253 2364073 289180 289180
810 2653253 2364073 289180 289180
820 2653253 2364073 289180 289180
830 2653253 2364073 289180 289180
840 2653253 2364073 289180 289180
850 2653253 2364073 289180 289180
860 2653253 2364073 289180 289180
870 2653253 2364073 289180 289180
880 2653253 2364073 289180 289180
890 2653253 2364073 289180 289180
900 2653253 2364073 289180 289180
910 2653253 2364073 289180 289180
920 2653253 2364073 289180 289180
930 2653253 2364073 289180 289180
940 2653253 2364073 289180 289180
950 2653253 2364073 289180 289180
960 2653253 2364073 289180 289180
970 2653253 2364073 289180 289180
980 2653253 2364073 289180 289180
990 2653253 2364073 289180 289180
1000 2653253 2364073 289180 289180
1010 2653253 2364073 289180 289180
1020 2653253 2364073 289180 289180
1030 2653253 2364073 289180 289180
1040 2653253 2364073 289180 289180
1050 2653253 2364073 289180 289180
1060 2653253 2364073 289180 289180
1070 2653253 2364073 289180 289180
1080 2653253 2364073 289180 289180
1090 2653253 2364073 289180 289180
1100 2653253 2364073 289180 289180
1110 2653253 2364073 289180 289180
1120 2653253 2364073 289180 289180
1130 2653253 2364073 289180 289180
1140 2653253 2364073 289180 289180
1150 2653253 2364073 289180 289180
1160 2653253 2364073 289180 289180
1170 2653253 2364073 289180 289180
1180 2653253 2364073 289180 289180
1190 2653253 2364073 289180 289180
1200 2653253 2364073 289180 289180
1210 2653253 2364073 289180 289180
1220 2653253 2364073 289180 289180
1230 2653253 2364073 289180 289180
1240 2653253 2364073 289180 289180
1250 2653253 2364073 289180 289180
1260 2653253 2364073 289180 289180
1270 2653253 2364073 289180 289180
1280 2653253 2364073 289180 289180
1290 2653253 2364073 289180 289180
1300 2653253 2364073 289180 289180
1310 2653253 2364073 289180 289180
1320 2653253 2364073 289180 289180
1330 2653253 2364073 289180 289180
1340 2653253 2364073 289180 289180
1350 2653253 2364073 289180 289180
1360 2653253 2364073 289180 289180
1370 2653253 2364073 289180 289180
1380 2653253 2364073 289180 289180
1390 2653253 2364073 289180 289180
1400 2653253 2364073 289180 289180
1410 2653253 2364073 289180 289180
1420 2653253 2364073 289180 289180
1430 2653253 2364073 289180 289180
1440 2653253 2364073 289180 289180
1450 2653253 2364073 289180 289180
1460 2653253 2364073 289180 289180
1470 2653253 2364073 289180 289180
1480 2653253 2364073 289180 289180
1490 2653253 2364073 289180 289180
1500 2653253 2364073 289180 289180
1510 2653253 2364073 289180 289180
1520 2653253 2364073 289180 289180
1530 2653253 2364073 289180 289180
1540 2653253 2364073 289180 289180
1550 2653253 2364073 289180 289180
1560 2653253 2364073 289180 289180
1570 2653253 2364073 289180 289180
1580 2653253 2364073 289180 289180
1590 2653253 2364073 289180 289180
1600 2653253 2364073 289180 289180
1610 2653253 2364073 289180 289180
1620 2653253 2364073 289180 289180
1630 2653253 2364073 289180 289180
1640 2653253 2364073 289180 289180
1650 2653253 2364073 289180 289180
1660 2653253 2364073 289180 289180
1670 2653253 2364073 289180 289180
1680 2653253 2364073 289180 289180
1690 2653253 2364073 289180 289180
1700 2653253 2364073 289180 289180
1710 2653253 2364073 289180 289180
1720 2653253 2364073 289180 289180
1730 2653253 2364073 289180 289180
1740 2653253 2364073 289180 289180
1750 2653253 2364073 289180 289180
1760 2653253 2364073 289180 289180
1770 2653253 2364073 289180 289180
1780 2653253 2364073 289180 289180
1790 2653253 2364073 289180 289180
1800 2653253 2364073 289180 289180
1810 2653253 2364073 289180 289180
1820 2653253 2364073 289180 289180
1830 2653253 2364073 289180 289180
1840 2653253 2364073 289180 289180
1850 2653253 2364073 289180 289180
1860 2653253 2364073 289180 289180
1870 2653253 2364073 289180 289180
1880 2653253 2364073 289180 289180
1890 2653253 2364073 289180 289180
1900 2653253 2364073 289180 289180
1910 2653253 2364073 289180 289180
1920 2653253 2364073 289180 289180
1930 2653253 2364073 289180 289180
1940 2653253 2364073 289180 289180
1950 2653253 2364073 289180 289180
1960 2653253 2364073 289180 289180
1970 2653253 2364073 289180 289180
1980 2653253 2364073 289180 289180
