Optimal path [nodeId(time to the node):
17(0) -> 51(126) -> 74(126) -> 98(122) -> 44(118) -> 72(119) -> 85(138) -> 95(133) -> 23(126) -> 45(141) -> 61(120) -> 35(131) -> 97(127) -> 25(133) -> 89(135) -> 21(117) -> 65(126) -> 62(139) -> 0(134) -> 59(131) -> 93(127) -> 8(118) -> 1(135) -> 78(116) -> 88(131) -> 84(113) -> 42(147) -> 50(133) -> 86(126) -> 48(129) -> 4(125) -> 69(106) -> 7(107) -> 22(133) -> 18(128) -> 29(129) -> 99(113) -> 67(117) -> 70(118) -> 77(118) -> 36(136) -> 39(121) -> 96(116) -> 60(123) -> 41(132) -> 14(139) -> 82(118) -> 79(118) -> 40(125) -> 32(116) -> 68(121) -> 94(120) -> 30(126) -> 26(138) -> 76(130) -> 47(125) -> 91(129) -> 6(119) -> 63(128) -> 46(135) -> 75(135) -> 24(134) -> 2(109) -> 3(129) -> 71(119) -> 43(137) -> 31(129) -> 53(116) -> 15(128) -> 5(124) -> 57(138) -> 58(123) -> 33(130) -> 11(131) -> 49(126) -> 54(134) -> 56(129) -> 19(110) -> 92(130) -> 66(114) -> 13(113) -> 90(121) -> 16(132) -> 83(134) -> 37(121) -> 52(127) -> 38(127) -> 64(130) -> 12(131) -> 55(141) -> 73(126) -> 9(137) -> 27(122) -> 81(134) -> 28(117) -> 10(138) -> 87(122) -> 34(123) -> 80(140) -> 20(145)
Total time of delivery: 12532
The cost function value: 2610801

Statistics at the end of simulation: 
Residents: 5432871
Illness cases: 5209071 --> [95.88063106964991%]
Healthy residents: 223800 --> [4.1193689303500856%]
Vaccinated residents223800 --> [4.1193689303500856%]

Statistics of each node: 
id residentsNumber illnessCases healthyResidents vaccinated
17 27216 1 27215 27215
51 94699 43 94656 94656
74 81649 1854 79795 79795
98 93006 70872 22134 22134
44 15573 15573 0 0
72 90063 90063 0 0
85 44972 44972 0 0
95 71066 71066 0 0
23 20873 20873 0 0
45 46217 46217 0 0
61 25643 25643 0 0
35 96767 96767 0 0
97 86845 86845 0 0
25 67586 67586 0 0
89 68284 68284 0 0
21 82806 82806 0 0
65 70610 70610 0 0
62 19500 19500 0 0
0 59902 59902 0 0
59 83546 83546 0 0
93 39916 39916 0 0
8 45160 45160 0 0
1 49456 49456 0 0
78 57716 57716 0 0
88 37474 37474 0 0
84 70627 70627 0 0
42 68898 68898 0 0
50 30829 30829 0 0
86 26732 26732 0 0
48 13555 13555 0 0
4 56018 56018 0 0
69 66112 66112 0 0
7 29243 29243 0 0
22 73621 73621 0 0
18 16978 16978 0 0
29 15814 15814 0 0
99 28053 28053 0 0
67 37842 37842 0 0
70 36163 36163 0 0
77 28452 28452 0 0
36 85682 85682 0 0
39 32804 32804 0 0
96 73344 73344 0 0
60 91794 91794 0 0
41 91808 91808 0 0
14 81887 81887 0 0
82 15231 15231 0 0
79 84379 84379 0 0
40 31222 31222 0 0
32 59165 59165 0 0
68 42462 42462 0 0
94 76894 76894 0 0
30 67192 67192 0 0
26 26605 26605 0 0
76 31382 31382 0 0
47 98952 98952 0 0
91 32862 32862 0 0
6 12672 12672 0 0
63 51706 51706 0 0
46 73816 73816 0 0
75 26017 26017 0 0
24 37355 37355 0 0
2 43074 43074 0 0
3 57882 57882 0 0
71 23666 23666 0 0
43 79446 79446 0 0
31 69146 69146 0 0
53 61988 61988 0 0
15 78003 78003 0 0
5 15364 15364 0 0
57 39724 39724 0 0
58 16081 16081 0 0
33 13135 13135 0 0
11 84816 84816 0 0
49 19584 19584 0 0
54 69376 69376 0 0
56 80108 80108 0 0
19 87851 87851 0 0
92 24523 24523 0 0
66 26230 26230 0 0
13 61304 61304 0 0
90 80008 80008 0 0
16 82700 82700 0 0
83 46841 46841 0 0
37 51694 51694 0 0
52 63153 63153 0 0
38 33030 33030 0 0
64 22353 22353 0 0
12 79926 79926 0 0
55 88344 88344 0 0
73 49077 49077 0 0
9 60305 60305 0 0
27 80174 80174 0 0
81 89526 89526 0 0
28 91749 91749 0 0
10 95932 95932 0 0
87 20655 20655 0 0
34 28894 28894 0 0
80 67722 67722 0 0
20 48774 48774 0 0

Statistics step by step: 
minute residentsNumber illnessCases healthyResidents vaccinated
0 5432871 100 5432771 27215
10 5432871 100 5432771 27215
20 5432871 100 5432771 27215
30 5432871 199 5432672 27215
40 5432871 298 5432573 27215
50 5432871 397 5432474 27215
60 5432871 595 5432276 27215
70 5432871 793 5432078 27215
80 5432871 991 5431880 27215
90 5432871 1387 5431484 27215
100 5432871 1882 5430989 27215
110 5432871 2575 5430296 27215
120 5432871 3565 5429306 27215
130 5432871 4748 5428123 121871
140 5432871 6414 5426457 121871
150 5432871 8668 5424203 121871
160 5432871 11608 5421263 121871
170 5432871 15724 5417147 121871
180 5432871 21212 5411659 121871
190 5432871 28562 5404309 121871
200 5432871 38460 5394411 121871
210 5432871 51886 5380985 121871
220 5432871 69918 5362953 121871
230 5432871 94222 5338649 121871
