Optimal path [nodeId(time to the node):
17(0) -> 75(132) -> 61(126) -> 72(140) -> 33(132) -> 19(142) -> 95(126) -> 54(115) -> 73(147) -> 81(132) -> 58(124) -> 53(128) -> 69(149) -> 35(132) -> 4(115) -> 14(141) -> 84(127) -> 0(138) -> 97(145) -> 77(143) -> 99(140) -> 45(133) -> 89(134) -> 74(137) -> 20(137) -> 40(144) -> 48(118) -> 50(138) -> 11(137) -> 32(136) -> 23(126) -> 56(114) -> 42(135) -> 5(130) -> 59(131) -> 38(118) -> 6(138) -> 1(160) -> 64(145) -> 41(135) -> 57(133) -> 10(134) -> 65(139) -> 55(145) -> 82(127) -> 63(134) -> 24(119) -> 13(125) -> 21(135) -> 62(121) -> 18(140) -> 86(130) -> 66(130) -> 39(147) -> 12(134) -> 92(146) -> 83(125) -> 2(157) -> 22(125) -> 90(124) -> 29(151) -> 68(131) -> 3(138) -> 8(140) -> 87(113) -> 76(129) -> 27(124) -> 44(132) -> 91(131) -> 49(135) -> 43(135) -> 85(121) -> 16(123) -> 30(126) -> 36(133) -> 71(127) -> 31(141) -> 98(126) -> 70(118) -> 94(144) -> 52(117) -> 46(133) -> 51(141) -> 37(137) -> 7(121) -> 67(124) -> 88(156) -> 79(129) -> 34(144) -> 60(130) -> 9(126) -> 26(137) -> 80(131) -> 78(133) -> 25(126) -> 47(148) -> 93(125) -> 15(140) -> 28(140) -> 96(129)
Total time of delivery: 13175
The cost function value: 13175

Statistics at the end of simulation: 
Residents: 5432871
Illness cases: 5073597 --> [93.38703238122164%]
Healthy residents: 359274 --> [6.6129676187783595%]
Vaccinated residents359274 --> [6.6129676187783595%]

Statistics of each node: 
id residentsNumber illnessCases healthyResidents vaccinated
17 27216 1 27215 27215
75 26017 4 26013 26013
61 25643 19 25624 25624
72 90063 99 89964 89964
33 13135 456 12679 12679
19 87851 2352 85499 85499
95 71066 10085 60981 60981
54 69376 38077 31299 31299
73 49077 49077 0 0
81 89526 89526 0 0
58 16081 16081 0 0
53 61988 61988 0 0
69 66112 66112 0 0
35 96767 96767 0 0
4 56018 56018 0 0
14 81887 81887 0 0
84 70627 70627 0 0
0 59902 59902 0 0
97 86845 86845 0 0
77 28452 28452 0 0
99 28053 28053 0 0
45 46217 46217 0 0
89 68284 68284 0 0
74 81649 81649 0 0
20 48774 48774 0 0
40 31222 31222 0 0
48 13555 13555 0 0
50 30829 30829 0 0
11 84816 84816 0 0
32 59165 59165 0 0
23 20873 20873 0 0
56 80108 80108 0 0
42 68898 68898 0 0
5 15364 15364 0 0
59 83546 83546 0 0
38 33030 33030 0 0
6 12672 12672 0 0
1 49456 49456 0 0
64 22353 22353 0 0
41 91808 91808 0 0
57 39724 39724 0 0
10 95932 95932 0 0
65 70610 70610 0 0
55 88344 88344 0 0
82 15231 15231 0 0
63 51706 51706 0 0
24 37355 37355 0 0
13 61304 61304 0 0
21 82806 82806 0 0
62 19500 19500 0 0
18 16978 16978 0 0
86 26732 26732 0 0
66 26230 26230 0 0
39 32804 32804 0 0
12 79926 79926 0 0
92 24523 24523 0 0
83 46841 46841 0 0
2 43074 43074 0 0
22 73621 73621 0 0
90 80008 80008 0 0
29 15814 15814 0 0
68 42462 42462 0 0
3 57882 57882 0 0
8 45160 45160 0 0
87 20655 20655 0 0
76 31382 31382 0 0
27 80174 80174 0 0
44 15573 15573 0 0
91 32862 32862 0 0
49 19584 19584 0 0
43 79446 79446 0 0
85 44972 44972 0 0
16 82700 82700 0 0
30 67192 67192 0 0
36 85682 85682 0 0
71 23666 23666 0 0
31 69146 69146 0 0
98 93006 93006 0 0
70 36163 36163 0 0
94 76894 76894 0 0
52 63153 63153 0 0
46 73816 73816 0 0
51 94699 94699 0 0
37 51694 51694 0 0
7 29243 29243 0 0
67 37842 37842 0 0
88 37474 37474 0 0
79 84379 84379 0 0
34 28894 28894 0 0
60 91794 91794 0 0
9 60305 60305 0 0
26 26605 26605 0 0
80 67722 67722 0 0
78 57716 57716 0 0
25 67586 67586 0 0
47 98952 98952 0 0
93 39916 39916 0 0
15 78003 78003 0 0
28 91749 91749 0 0
96 73344 73344 0 0

Statistics step by step: 
minute residentsNumber illnessCases healthyResidents vaccinated
0 5432871 100 5432771 27215
10 5432871 100 5432771 27215
20 5432871 100 5432771 27215
30 5432871 100 5432771 27215
40 5432871 100 5432771 27215
50 5432871 100 5432771 27215
60 5432871 199 5432672 27215
70 5432871 199 5432672 27215
80 5432871 199 5432672 27215
90 5432871 199 5432672 27215
100 5432871 298 5432573 27215
110 5432871 298 5432573 27215
120 5432871 397 5432474 27215
130 5432871 397 5432474 27215
140 5432871 495 5432376 53228
150 5432871 495 5432376 53228
160 5432871 593 5432278 53228
170 5432871 691 5432180 53228
180 5432871 789 5432082 53228
190 5432871 789 5432082 53228
200 5432871 985 5431886 53228
210 5432871 1083 5431788 53228
220 5432871 1181 5431690 53228
230 5432871 1377 5431494 53228
240 5432871 1573 5431298 53228
250 5432871 1671 5431200 53228
260 5432871 1964 5430907 78852
270 5432871 2158 5430713 78852
280 5432871 2449 5430422 78852
290 5432871 2740 5430131 78852
300 5432871 3128 5429743 78852
310 5432871 3419 5429452 78852
320 5432871 3904 5428967 78852
330 5432871 4389 5428482 78852
340 5432871 4874 5427997 78852
350 5432871 5553 5427318 78852
360 5432871 6232 5426639 78852
370 5432871 6911 5425960 78852
380 5432871 7784 5425087 78852
390 5432871 8754 5424117 78852
400 5432871 9819 5423052 168816
410 5432871 11067 5421804 168816
420 5432871 12411 5420460 168816
430 5432871 13851 5419020 168816
440 5432871 15579 5417292 168816
450 5432871 17499 5415372 168816
460 5432871 19611 5413260 168816
470 5432871 22011 5410860 168816
480 5432871 24699 5408172 168816
490 5432871 27675 5405196 168816
500 5432871 31035 5401836 168816
510 5432871 34875 5397996 168816
520 5432871 39099 5393772 168816
530 5432871 43899 5388972 181495
540 5432871 49219 5383652 181495
550 5432871 55109 5377762 181495
560 5432871 61854 5371017 181495
570 5432871 69359 5363512 181495
580 5432871 77719 5355152 181495
590 5432871 87219 5345652 181495
600 5432871 97859 5335012 181495
610 5432871 109734 5323137 181495
620 5432871 123129 5309742 181495
630 5432871 138139 5294732 181495
640 5432871 154954 5277917 181495
650 5432871 173859 5259012 181495
660 5432871 195139 5237732 181495
670 5432871 218889 5213982 181495
680 5432871 245451 5187420 266994
690 5432871 275155 5157716 266994
700 5432871 308431 5124440 266994
710 5432871 345937 5086934 266994
720 5432871 387955 5044916 266994
730 5432871 435049 4997822 266994
740 5432871 487971 4944900 266994
750 5432871 547379 4885492 266994
760 5432871 614025 4818846 266994
770 5432871 688943 4743928 266994
780 5432871 772979 4659892 266994
790 5432871 867261 4565610 266994
800 5432871 972869 4460002 327975
810 5432871 1090421 4342450 327975
820 5432871 1221964 4210907 327975
830 5432871 1367479 4065392 327975
840 5432871 1526330 3906541 327975
850 5432871 1697434 3735437 327975
860 5432871 1886654 3546217 327975
870 5432871 2090849 3342022 327975
880 5432871 2313984 3118887 327975
890 5432871 2552228 2880643 327975
900 5432871 2801304 2631567 327975
910 5432871 3061859 2371012 327975
920 5432871 3332857 2100014 359274
930 5432871 3616232 1816639 359274
940 5432871 3902465 1530406 359274
950 5432871 4198316 1234555 359274
960 5432871 4485561 947310 359274
970 5432871 4744422 688449 359274
980 5432871 4953936 478935 359274
990 5432871 5057646 375225 359274
1000 5432871 5073597 359274 359274
1010 5432871 5073597 359274 359274
1020 5432871 5073597 359274 359274
1030 5432871 5073597 359274 359274
1040 5432871 5073597 359274 359274
1050 5432871 5073597 359274 359274
1060 5432871 5073597 359274 359274
1070 5432871 5073597 359274 359274
1080 5432871 5073597 359274 359274
1090 5432871 5073597 359274 359274
1100 5432871 5073597 359274 359274
1110 5432871 5073597 359274 359274
1120 5432871 5073597 359274 359274
1130 5432871 5073597 359274 359274
1140 5432871 5073597 359274 359274
1150 5432871 5073597 359274 359274
1160 5432871 5073597 359274 359274
1170 5432871 5073597 359274 359274
1180 5432871 5073597 359274 359274
1190 5432871 5073597 359274 359274
1200 5432871 5073597 359274 359274
1210 5432871 5073597 359274 359274
1220 5432871 5073597 359274 359274
1230 5432871 5073597 359274 359274
1240 5432871 5073597 359274 359274
1250 5432871 5073597 359274 359274
1260 5432871 5073597 359274 359274
1270 5432871 5073597 359274 359274
1280 5432871 5073597 359274 359274
1290 5432871 5073597 359274 359274
1300 5432871 5073597 359274 359274
1310 5432871 5073597 359274 359274
1320 5432871 5073597 359274 359274
1330 5432871 5073597 359274 359274
1340 5432871 5073597 359274 359274
1350 5432871 5073597 359274 359274
1360 5432871 5073597 359274 359274
1370 5432871 5073597 359274 359274
1380 5432871 5073597 359274 359274
1390 5432871 5073597 359274 359274
1400 5432871 5073597 359274 359274
1410 5432871 5073597 359274 359274
1420 5432871 5073597 359274 359274
1430 5432871 5073597 359274 359274
1440 5432871 5073597 359274 359274
1450 5432871 5073597 359274 359274
1460 5432871 5073597 359274 359274
1470 5432871 5073597 359274 359274
1480 5432871 5073597 359274 359274
1490 5432871 5073597 359274 359274
1500 5432871 5073597 359274 359274
1510 5432871 5073597 359274 359274
1520 5432871 5073597 359274 359274
1530 5432871 5073597 359274 359274
1540 5432871 5073597 359274 359274
1550 5432871 5073597 359274 359274
1560 5432871 5073597 359274 359274
1570 5432871 5073597 359274 359274
1580 5432871 5073597 359274 359274
1590 5432871 5073597 359274 359274
1600 5432871 5073597 359274 359274
1610 5432871 5073597 359274 359274
1620 5432871 5073597 359274 359274
1630 5432871 5073597 359274 359274
1640 5432871 5073597 359274 359274
1650 5432871 5073597 359274 359274
1660 5432871 5073597 359274 359274
1670 5432871 5073597 359274 359274
1680 5432871 5073597 359274 359274
1690 5432871 5073597 359274 359274
1700 5432871 5073597 359274 359274
1710 5432871 5073597 359274 359274
1720 5432871 5073597 359274 359274
1730 5432871 5073597 359274 359274
1740 5432871 5073597 359274 359274
1750 5432871 5073597 359274 359274
1760 5432871 5073597 359274 359274
1770 5432871 5073597 359274 359274
1780 5432871 5073597 359274 359274
1790 5432871 5073597 359274 359274
1800 5432871 5073597 359274 359274
1810 5432871 5073597 359274 359274
1820 5432871 5073597 359274 359274
1830 5432871 5073597 359274 359274
1840 5432871 5073597 359274 359274
1850 5432871 5073597 359274 359274
1860 5432871 5073597 359274 359274
1870 5432871 5073597 359274 359274
1880 5432871 5073597 359274 359274
1890 5432871 5073597 359274 359274
1900 5432871 5073597 359274 359274
1910 5432871 5073597 359274 359274
1920 5432871 5073597 359274 359274
1930 5432871 5073597 359274 359274
1940 5432871 5073597 359274 359274
1950 5432871 5073597 359274 359274
1960 5432871 5073597 359274 359274
1970 5432871 5073597 359274 359274
1980 5432871 5073597 359274 359274
1990 5432871 5073597 359274 359274
2000 5432871 5073597 359274 359274
2010 5432871 5073597 359274 359274
2020 5432871 5073597 359274 359274
2030 5432871 5073597 359274 359274
2040 5432871 5073597 359274 359274
2050 5432871 5073597 359274 359274
2060 5432871 5073597 359274 359274
2070 5432871 5073597 359274 359274
2080 5432871 5073597 359274 359274
2090 5432871 5073597 359274 359274
2100 5432871 5073597 359274 359274
2110 5432871 5073597 359274 359274
2120 5432871 5073597 359274 359274
2130 5432871 5073597 359274 359274
2140 5432871 5073597 359274 359274
2150 5432871 5073597 359274 359274
2160 5432871 5073597 359274 359274
2170 5432871 5073597 359274 359274
2180 5432871 5073597 359274 359274
2190 5432871 5073597 359274 359274
2200 5432871 5073597 359274 359274
2210 5432871 5073597 359274 359274
2220 5432871 5073597 359274 359274
2230 5432871 5073597 359274 359274
2240 5432871 5073597 359274 359274
2250 5432871 5073597 359274 359274
2260 5432871 5073597 359274 359274
2270 5432871 5073597 359274 359274
2280 5432871 5073597 359274 359274
2290 5432871 5073597 359274 359274
2300 5432871 5073597 359274 359274
2310 5432871 5073597 359274 359274
2320 5432871 5073597 359274 359274
2330 5432871 5073597 359274 359274
2340 5432871 5073597 359274 359274
2350 5432871 5073597 359274 359274
2360 5432871 5073597 359274 359274
2370 5432871 5073597 359274 359274
2380 5432871 5073597 359274 359274
2390 5432871 5073597 359274 359274
2400 5432871 5073597 359274 359274
2410 5432871 5073597 359274 359274
2420 5432871 5073597 359274 359274
2430 5432871 5073597 359274 359274
2440 5432871 5073597 359274 359274
2450 5432871 5073597 359274 359274
2460 5432871 5073597 359274 359274
2470 5432871 5073597 359274 359274
2480 5432871 5073597 359274 359274
2490 5432871 5073597 359274 359274
2500 5432871 5073597 359274 359274
2510 5432871 5073597 359274 359274
2520 5432871 5073597 359274 359274
2530 5432871 5073597 359274 359274
2540 5432871 5073597 359274 359274
2550 5432871 5073597 359274 359274
2560 5432871 5073597 359274 359274
2570 5432871 5073597 359274 359274
2580 5432871 5073597 359274 359274
2590 5432871 5073597 359274 359274
2600 5432871 5073597 359274 359274
2610 5432871 5073597 359274 359274
2620 5432871 5073597 359274 359274
2630 5432871 5073597 359274 359274
2640 5432871 5073597 359274 359274
2650 5432871 5073597 359274 359274
2660 5432871 5073597 359274 359274
2670 5432871 5073597 359274 359274
2680 5432871 5073597 359274 359274
2690 5432871 5073597 359274 359274
2700 5432871 5073597 359274 359274
