Optimal path [nodeId(time to the node):
7(0) -> 2(119) -> 3(141) -> 8(142) -> 5(142) -> 9(114) -> 0(147) -> 1(137) -> 4(136) -> 6(143)
Total time of delivery: 1221
The cost function value: 1221

Statistics at the end of simulation: 
Residents: 405877
Illness cases: 64439 --> [15.876484747842326%]
Healthy residents: 341438 --> [84.12351525215767%]
Vaccinated residents341438 --> [84.12351525215767%]

Statistics of each node: 
id residentsNumber illnessCases healthyResidents vaccinated
7 90816 1 90815 90815
2 16497 3 16494 16494
3 12009 20 11989 11989
8 70500 103 70397 70397
5 23562 536 23026 23026
9 55772 2001 53771 53771
0 85881 10935 74946 74946
1 19022 19022 0 0
4 13139 13139 0 0
6 18679 18679 0 0

Statistics step by step: 
minute residentsNumber illnessCases healthyResidents vaccinated
0 405877 10 405867 90815
10 405877 10 405867 90815
20 405877 10 405867 90815
30 405877 10 405867 90815
40 405877 10 405867 90815
50 405877 10 405867 90815
60 405877 19 405858 90815
70 405877 19 405858 90815
80 405877 19 405858 90815
90 405877 19 405858 90815
100 405877 28 405849 90815
110 405877 28 405849 90815
120 405877 36 405841 107309
130 405877 36 405841 107309
140 405877 44 405833 107309
150 405877 44 405833 107309
160 405877 52 405825 107309
170 405877 60 405817 107309
180 405877 68 405809 107309
190 405877 68 405809 107309
200 405877 84 405793 107309
210 405877 92 405785 107309
220 405877 100 405777 107309
230 405877 116 405761 107309
240 405877 132 405745 107309
250 405877 140 405737 107309
260 405877 164 405713 119298
270 405877 178 405699 119298
280 405877 199 405678 119298
290 405877 220 405657 119298
300 405877 248 405629 119298
310 405877 269 405608 119298
320 405877 304 405573 119298
330 405877 339 405538 119298
340 405877 374 405503 119298
350 405877 423 405454 119298
360 405877 472 405405 119298
370 405877 521 405356 119298
380 405877 584 405293 119298
390 405877 654 405223 119298
400 405877 731 405146 119298
410 405877 811 405066 189695
420 405877 895 404982 189695
430 405877 985 404892 189695
440 405877 1093 404784 189695
450 405877 1213 404664 189695
460 405877 1345 404532 189695
470 405877 1495 404382 189695
480 405877 1663 404214 189695
490 405877 1849 404028 189695
500 405877 2059 403818 189695
510 405877 2299 403578 189695
520 405877 2563 403314 189695
530 405877 2863 403014 189695
540 405877 3199 402678 189695
550 405877 3533 402344 212721
560 405877 3888 401989 212721
570 405877 4283 401594 212721
580 405877 4723 401154 212721
590 405877 5223 400654 212721
600 405877 5783 400094 212721
610 405877 6408 399469 212721
620 405877 7113 398764 212721
630 405877 7903 397974 212721
640 405877 8788 397089 212721
650 405877 9783 396094 212721
660 405877 10856 395021 266492
670 405877 11856 394021 266492
680 405877 12984 392893 266492
690 405877 14248 391629 266492
700 405877 15664 390213 266492
710 405877 17260 388617 266492
720 405877 19048 386829 266492
730 405877 21052 384825 266492
740 405877 23304 382573 266492
750 405877 25832 380045 266492
760 405877 28668 377209 266492
770 405877 31856 374021 266492
780 405877 35432 370445 266492
790 405877 39444 366433 266492
800 405877 43948 361929 266492
810 405877 48354 357523 341438
820 405877 52608 353269 341438
830 405877 55930 349947 341438
840 405877 59506 346371 341438
850 405877 63518 342359 341438
860 405877 64439 341438 341438
870 405877 64439 341438 341438
880 405877 64439 341438 341438
890 405877 64439 341438 341438
900 405877 64439 341438 341438
910 405877 64439 341438 341438
920 405877 64439 341438 341438
930 405877 64439 341438 341438
940 405877 64439 341438 341438
950 405877 64439 341438 341438
960 405877 64439 341438 341438
970 405877 64439 341438 341438
980 405877 64439 341438 341438
990 405877 64439 341438 341438
1000 405877 64439 341438 341438
1010 405877 64439 341438 341438
1020 405877 64439 341438 341438
1030 405877 64439 341438 341438
1040 405877 64439 341438 341438
1050 405877 64439 341438 341438
1060 405877 64439 341438 341438
1070 405877 64439 341438 341438
1080 405877 64439 341438 341438
1090 405877 64439 341438 341438
1100 405877 64439 341438 341438
1110 405877 64439 341438 341438
1120 405877 64439 341438 341438
1130 405877 64439 341438 341438
1140 405877 64439 341438 341438
1150 405877 64439 341438 341438
1160 405877 64439 341438 341438
1170 405877 64439 341438 341438
1180 405877 64439 341438 341438
1190 405877 64439 341438 341438
1200 405877 64439 341438 341438
1210 405877 64439 341438 341438
1220 405877 64439 341438 341438

