Optimal path [nodeId(time to the node):
36(0) -> 29(127) -> 16(127) -> 5(136) -> 45(130) -> 9(132) -> 25(148) -> 22(134) -> 49(116) -> 10(139) -> 18(126) -> 24(125) -> 8(118) -> 41(134) -> 12(128) -> 1(115) -> 28(119) -> 33(117) -> 19(125) -> 14(127) -> 17(125) -> 23(123) -> 39(113) -> 26(132) -> 42(132) -> 47(123) -> 15(137) -> 46(131) -> 31(133) -> 3(142) -> 44(129) -> 7(128) -> 35(128) -> 48(130) -> 4(121) -> 34(130) -> 0(126) -> 43(122) -> 20(129) -> 13(128) -> 6(131) -> 38(133) -> 11(129) -> 40(121) -> 2(137) -> 21(130) -> 32(126) -> 30(117) -> 27(141) -> 37(150)
Total time of delivery: 6300
The cost function value: 1019668

Statistics at the end of simulation: 
Residents: 2653253
Illness cases: 2033037 --> [76.62431739453417%]
Healthy residents: 620216 --> [23.37568260546582%]
Vaccinated residents620216 --> [23.37568260546582%]

Statistics of each node: 
id residentsNumber illnessCases healthyResidents vaccinated
36 51676 1 51675 51675
29 86455 4 86451 86451
16 96804 18 96786 96786
5 90210 90 90120 90120
45 86355 406 85949 85949
9 90298 1867 88431 88431
25 87768 10321 77447 77447
22 91889 48532 43357 43357
49 63359 63359 0 0
10 27278 27278 0 0
18 34212 34212 0 0
24 61926 61926 0 0
8 59097 59097 0 0
41 66159 66159 0 0
12 38389 38389 0 0
1 49826 49826 0 0
28 85687 85687 0 0
33 44211 44211 0 0
19 30140 30140 0 0
14 33326 33326 0 0
17 46965 46965 0 0
23 13962 13962 0 0
39 79510 79510 0 0
26 17928 17928 0 0
42 22928 22928 0 0
47 70879 70879 0 0
15 65892 65892 0 0
46 58433 58433 0 0
31 26553 26553 0 0
3 16050 16050 0 0
44 22955 22955 0 0
7 52412 52412 0 0
35 65482 65482 0 0
48 41563 41563 0 0
4 34099 34099 0 0
34 44159 44159 0 0
0 63772 63772 0 0
43 26088 26088 0 0
20 71926 71926 0 0
13 57370 57370 0 0
6 90185 90185 0 0
38 89747 89747 0 0
11 36243 36243 0 0
