Optimal path [nodeId(time to the node):
17(0) -> 75(132) -> 61(126) -> 72(140) -> 33(132) -> 19(142) -> 95(126) -> 54(115) -> 73(147) -> 81(132) -> 58(124) -> 53(128) -> 69(149) -> 35(132) -> 4(115) -> 14(141) -> 84(127) -> 0(138) -> 97(145) -> 77(143) -> 99(140) -> 45(133) -> 89(134) -> 74(137) -> 20(137) -> 40(144) -> 48(118) -> 50(138) -> 11(137) -> 32(136) -> 23(126) -> 56(114) -> 42(135) -> 5(130) -> 59(131) -> 38(118) -> 6(138) -> 1(160) -> 64(145) -> 41(135) -> 57(133) -> 10(134) -> 65(139) -> 55(145) -> 82(127) -> 63(134) -> 24(119) -> 13(125) -> 21(135) -> 62(121) -> 18(140) -> 86(130) -> 66(130) -> 39(147) -> 12(134) -> 92(146) -> 83(125) -> 2(157) -> 22(125) -> 90(124) -> 29(151) -> 68(131) -> 3(138) -> 8(140) -> 87(113) -> 76(129) -> 27(124) -> 44(132) -> 91(131) -> 49(135) -> 43(135) -> 85(121) -> 16(123) -> 30(126) -> 36(133) -> 71(127) -> 31(141) -> 98(126) -> 70(118) -> 94(144) -> 52(117) -> 46(133) -> 51(141) -> 37(137) -> 7(121) -> 67(124) -> 88(156) -> 79(129) -> 34(144) -> 60(130) -> 9(126) -> 26(137) -> 80(131) -> 78(133) -> 25(126) -> 47(148) -> 93(125) -> 15(140) -> 28(140) -> 96(129)
Total time of delivery: 13175
The cost function value: 13175

Statistics at the end of simulation: 
Residents: 5432871
Illness cases: 5356265 --> [98.58995363593209%]
Healthy residents: 76606 --> [1.4100463640679117%]
Vaccinated residents76606 --> [1.4100463640679117%]

Statistics of each node: 
id residentsNumber illnessCases healthyResidents vaccinated
17 27216 1 27215 27215
75 26017 51 25966 25966
61 25643 2218 23425 23425
72 90063 90063 0 0
33 13135 13135 0 0
19 87851 87851 0 0
95 71066 71066 0 0
54 69376 69376 0 0
73 49077 49077 0 0
81 89526 89526 0 0
58 16081 16081 0 0
53 61988 61988 0 0
69 66112 66112 0 0
35 96767 96767 0 0
4 56018 56018 0 0
14 81887 81887 0 0
84 70627 70627 0 0
0 59902 59902 0 0
97 86845 86845 0 0
77 28452 28452 0 0
99 28053 28053 0 0
45 46217 46217 0 0
89 68284 68284 0 0
74 81649 81649 0 0
20 48774 48774 0 0
40 31222 31222 0 0
48 13555 13555 0 0
50 30829 30829 0 0
11 84816 84816 0 0
32 59165 59165 0 0
23 20873 20873 0 0
56 80108 80108 0 0
42 68898 68898 0 0
5 15364 15364 0 0
59 83546 83546 0 0
38 33030 33030 0 0
6 12672 12672 0 0
1 49456 49456 0 0
64 22353 22353 0 0
41 91808 91808 0 0
57 39724 39724 0 0
10 95932 95932 0 0
65 70610 70610 0 0
55 88344 88344 0 0
82 15231 15231 0 0
63 51706 51706 0 0
24 37355 37355 0 0
13 61304 61304 0 0
21 82806 82806 0 0
62 19500 19500 0 0
18 16978 16978 0 0
86 26732 26732 0 0
66 26230 26230 0 0
39 32804 32804 0 0
12 79926 79926 0 0
92 24523 24523 0 0
83 46841 46841 0 0
2 43074 43074 0 0
22 73621 73621 0 0
90 80008 80008 0 0
29 15814 15814 0 0
68 42462 42462 0 0
3 57882 57882 0 0
8 45160 45160 0 0
87 20655 20655 0 0
76 31382 31382 0 0
27 80174 80174 0 0
44 15573 15573 0 0
91 32862 32862 0 0
49 19584 19584 0 0
43 79446 79446 0 0
85 44972 44972 0 0
16 82700 82700 0 0
30 67192 67192 0 0
36 85682 85682 0 0
71 23666 23666 0 0
31 69146 69146 0 0
98 93006 93006 0 0
70 36163 36163 0 0
94 76894 76894 0 0
52 63153 63153 0 0
46 73816 73816 0 0
51 94699 94699 0 0
37 51694 51694 0 0
7 29243 29243 0 0
67 37842 37842 0 0
88 37474 37474 0 0
79 84379 84379 0 0
34 28894 28894 0 0
60 91794 91794 0 0
9 60305 60305 0 0
26 26605 26605 0 0
80 67722 67722 0 0
78 57716 57716 0 0
25 67586 67586 0 0
47 98952 98952 0 0
93 39916 39916 0 0
15 78003 78003 0 0
28 91749 91749 0 0
96 73344 73344 0 0

Statistics step by step: 
minute residentsNumber illnessCases healthyResidents vaccinated
0 5432871 100 5432771 27215
10 5432871 100 5432771 27215
20 5432871 100 5432771 27215
30 5432871 199 5432672 27215
40 5432871 298 5432573 27215
50 5432871 397 5432474 27215
60 5432871 595 5432276 27215
70 5432871 793 5432078 27215
80 5432871 991 5431880 27215
90 5432871 1387 5431484 27215
100 5432871 1882 5430989 27215
110 5432871 2575 5430296 27215
120 5432871 3565 5429306 27215
130 5432871 4753 5428118 27215
140 5432871 6422 5426449 53181
150 5432871 8676 5424195 53181
160 5432871 11616 5421255 53181
170 5432871 15732 5417139 53181
180 5432871 21220 5411651 53181
190 5432871 28570 5404301 53181
200 5432871 38468 5394403 53181
210 5432871 51894 5380977 53181
220 5432871 69926 5362945 53181
230 5432871 94230 5338641 53181
240 5432871 127060 5305811 53181
250 5432871 171258 5261613 53181
260 5432871 230608 5202263 76606
270 5432871 310148 5122723 76606
280 5432871 417333 5015538 76606
290 5432871 561766 4871105 76606
300 5432871 756542 4676329 76606
310 5432871 1019024 4413847 76606
320 5432871 1369758 4063113 76606
330 5432871 1812809 3620062 76606
340 5432871 2367502 3065369 76606
350 5432871 3027713 2405158 76606
360 5432871 3783916 1648955 76606
370 5432871 4600708 832163 76606
380 5432871 5260116 172755 76606
390 5432871 5356265 76606 76606
400 5432871 5356265 76606 76606
410 5432871 5356265 76606 76606
420 5432871 5356265 76606 76606
430 5432871 5356265 76606 76606
440 5432871 5356265 76606 76606
450 5432871 5356265 76606 76606
460 5432871 5356265 76606 76606
470 5432871 5356265 76606 76606
480 5432871 5356265 76606 76606
490 5432871 5356265 76606 76606
500 5432871 5356265 76606 76606
510 5432871 5356265 76606 76606
520 5432871 5356265 76606 76606
530 5432871 5356265 76606 76606
540 5432871 5356265 76606 76606
550 5432871 5356265 76606 76606
560 5432871 5356265 76606 76606
570 5432871 5356265 76606 76606
580 5432871 5356265 76606 76606
590 5432871 5356265 76606 76606
600 5432871 5356265 76606 76606
610 5432871 5356265 76606 76606
620 5432871 5356265 76606 76606
630 5432871 5356265 76606 76606
640 5432871 5356265 76606 76606
650 5432871 5356265 76606 76606
660 5432871 5356265 76606 76606
670 5432871 5356265 76606 76606
680 5432871 5356265 76606 76606
690 5432871 5356265 76606 76606
700 5432871 5356265 76606 76606
710 5432871 5356265 76606 76606
720 5432871 5356265 76606 76606
730 5432871 5356265 76606 76606
740 5432871 5356265 76606 76606
750 5432871 5356265 76606 76606
760 5432871 5356265 76606 76606
770 5432871 5356265 76606 76606
780 5432871 5356265 76606 76606
790 5432871 5356265 76606 76606
800 5432871 5356265 76606 76606
810 5432871 5356265 76606 76606
820 5432871 5356265 76606 76606
830 5432871 5356265 76606 76606
840 5432871 5356265 76606 76606
850 5432871 5356265 76606 76606
860 5432871 5356265 76606 76606
870 5432871 5356265 76606 76606
880 5432871 5356265 76606 76606
890 5432871 5356265 76606 76606
900 5432871 5356265 76606 76606
910 5432871 5356265 76606 76606
920 5432871 5356265 76606 76606
930 5432871 5356265 76606 76606
940 5432871 5356265 76606 76606
950 5432871 5356265 76606 76606
960 5432871 5356265 76606 76606
970 5432871 5356265 76606 76606
980 5432871 5356265 76606 76606
990 5432871 5356265 76606 76606
1000 5432871 5356265 76606 76606
1010 5432871 5356265 76606 76606
1020 5432871 5356265 76606 76606
1030 5432871 5356265 76606 76606
1040 5432871 5356265 76606 76606
1050 5432871 5356265 76606 76606
1060 5432871 5356265 76606 76606
1070 5432871 5356265 76606 76606
1080 5432871 5356265 76606 76606
1090 5432871 5356265 76606 76606
1100 5432871 5356265 76606 76606
1110 5432871 5356265 76606 76606
1120 5432871 5356265 76606 76606
1130 5432871 5356265 76606 76606
1140 5432871 5356265 76606 76606
1150 5432871 5356265 76606 76606
1160 5432871 5356265 76606 76606
1170 5432871 5356265 76606 76606
1180 5432871 5356265 76606 76606
1190 5432871 5356265 76606 76606
1200 5432871 5356265 76606 76606
1210 5432871 5356265 76606 76606
1220 5432871 5356265 76606 76606
1230 5432871 5356265 76606 76606
1240 5432871 5356265 76606 76606
1250 5432871 5356265 76606 76606
1260 5432871 5356265 76606 76606
1270 5432871 5356265 76606 76606
1280 5432871 5356265 76606 76606
1290 5432871 5356265 76606 76606
1300 5432871 5356265 76606 76606
1310 5432871 5356265 76606 76606
1320 5432871 5356265 76606 76606
1330 5432871 5356265 76606 76606
1340 5432871 5356265 76606 76606
1350 5432871 5356265 76606 76606
1360 5432871 5356265 76606 76606
1370 5432871 5356265 76606 76606
1380 5432871 5356265 76606 76606
1390 5432871 5356265 76606 76606
1400 5432871 5356265 76606 76606
1410 5432871 5356265 76606 76606
1420 5432871 5356265 76606 76606
1430 5432871 5356265 76606 76606
1440 5432871 5356265 76606 76606
1450 5432871 5356265 76606 76606
1460 5432871 5356265 76606 76606
1470 5432871 5356265 76606 76606
1480 5432871 5356265 76606 76606
1490 5432871 5356265 76606 76606
1500 5432871 5356265 76606 76606
1510 5432871 5356265 76606 76606
1520 5432871 5356265 76606 76606
1530 5432871 5356265 76606 76606
1540 5432871 5356265 76606 76606
1550 5432871 5356265 76606 76606
1560 5432871 5356265 76606 76606
1570 5432871 5356265 76606 76606
1580 5432871 5356265 76606 76606
1590 5432871 5356265 76606 76606
1600 5432871 5356265 76606 76606
1610 5432871 5356265 76606 76606
1620 5432871 5356265 76606 76606
1630 5432871 5356265 76606 76606
1640 5432871 5356265 76606 76606
1650 5432871 5356265 76606 76606
1660 5432871 5356265 76606 76606
1670 5432871 5356265 76606 76606
1680 5432871 5356265 76606 76606
1690 5432871 5356265 76606 76606
1700 5432871 5356265 76606 76606
1710 5432871 5356265 76606 76606
1720 5432871 5356265 76606 76606
1730 5432871 5356265 76606 76606
1740 5432871 5356265 76606 76606
1750 5432871 5356265 76606 76606
1760 5432871 5356265 76606 76606
1770 5432871 5356265 76606 76606
1780 5432871 5356265 76606 76606
1790 5432871 5356265 76606 76606
1800 5432871 5356265 76606 76606
1810 5432871 5356265 76606 76606
1820 5432871 5356265 76606 76606
1830 5432871 5356265 76606 76606
1840 5432871 5356265 76606 76606
1850 5432871 5356265 76606 76606
1860 5432871 5356265 76606 76606
1870 5432871 5356265 76606 76606
1880 5432871 5356265 76606 76606
1890 5432871 5356265 76606 76606
1900 5432871 5356265 76606 76606
1910 5432871 5356265 76606 76606
1920 5432871 5356265 76606 76606
1930 5432871 5356265 76606 76606
1940 5432871 5356265 76606 76606
1950 5432871 5356265 76606 76606
1960 5432871 5356265 76606 76606
1970 5432871 5356265 76606 76606
1980 5432871 5356265 76606 76606
1990 5432871 5356265 76606 76606
2000 5432871 5356265 76606 76606
2010 5432871 5356265 76606 76606
2020 5432871 5356265 76606 76606
2030 5432871 5356265 76606 76606
2040 5432871 5356265 76606 76606
2050 5432871 5356265 76606 76606
2060 5432871 5356265 76606 76606
2070 5432871 5356265 76606 76606
2080 5432871 5356265 76606 76606
2090 5432871 5356265 76606 76606
2100 5432871 5356265 76606 76606
2110 5432871 5356265 76606 76606
2120 5432871 5356265 76606 76606
2130 5432871 5356265 76606 76606
2140 5432871 5356265 76606 76606
2150 5432871 5356265 76606 76606
2160 5432871 5356265 76606 76606
2170 5432871 5356265 76606 76606
2180 5432871 5356265 76606 76606
2190 5432871 5356265 76606 76606
2200 5432871 5356265 76606 76606
2210 5432871 5356265 76606 76606
2220 5432871 5356265 76606 76606
2230 5432871 5356265 76606 76606
2240 5432871 5356265 76606 76606
2250 5432871 5356265 76606 76606
2260 5432871 5356265 76606 76606
2270 5432871 5356265 76606 76606
2280 5432871 5356265 76606 76606
2290 5432871 5356265 76606 76606
2300 5432871 5356265 76606 76606
2310 5432871 5356265 76606 76606
2320 5432871 5356265 76606 76606
2330 5432871 5356265 76606 76606
2340 5432871 5356265 76606 76606
2350 5432871 5356265 76606 76606
2360 5432871 5356265 76606 76606
2370 5432871 5356265 76606 76606
2380 5432871 5356265 76606 76606
2390 5432871 5356265 76606 76606
2400 5432871 5356265 76606 76606
2410 5432871 5356265 76606 76606
2420 5432871 5356265 76606 76606
2430 5432871 5356265 76606 76606
2440 5432871 5356265 76606 76606
2450 5432871 5356265 76606 76606
2460 5432871 5356265 76606 76606
2470 5432871 5356265 76606 76606
2480 5432871 5356265 76606 76606
2490 5432871 5356265 76606 76606
2500 5432871 5356265 76606 76606
2510 5432871 5356265 76606 76606
2520 5432871 5356265 76606 76606
2530 5432871 5356265 76606 76606
2540 5432871 5356265 76606 76606
2550 5432871 5356265 76606 76606
2560 5432871 5356265 76606 76606
2570 5432871 5356265 76606 76606
2580 5432871 5356265 76606 76606
2590 5432871 5356265 76606 76606
2600 5432871 5356265 76606 76606
2610 5432871 5356265 76606 76606
2620 5432871 5356265 76606 76606
2630 5432871 5356265 76606 76606
2640 5432871 5356265 76606 76606
2650 5432871 5356265 76606 76606
2660 5432871 5356265 76606 76606
2670 5432871 5356265 76606 76606
2680 5432871 5356265 76606 76606
2690 5432871 5356265 76606 76606
2700 5432871 5356265 76606 76606
