Optimal path [nodeId(time to the node):
7(0) -> 6(126) -> 0(126) -> 1(122) -> 9(155) -> 5(114) -> 8(138) -> 4(138) -> 3(142) -> 2(151)
Total time of delivery: 1212
The cost function value: 52161

Statistics at the end of simulation: 
Residents: 405877
Illness cases: 52162 --> [12.851676739504825%]
Healthy residents: 353715 --> [87.14832326049518%]
Vaccinated residents353715 --> [87.14832326049518%]

Statistics of each node: 
id residentsNumber illnessCases healthyResidents vaccinated
7 90816 1 90815 90815
6 18679 4 18675 18675
0 85881 18 85863 85863
1 19022 75 18947 18947
9 55772 450 55322 55322
5 23562 1682 21880 21880
8 70500 8287 62213 62213
4 13139 13139 0 0
3 12009 12009 0 0
2 16497 16497 0 0

Statistics step by step: 
minute residentsNumber illnessCases healthyResidents vaccinated
0 405877 10 405867 90815
10 405877 10 405867 90815
20 405877 10 405867 90815
30 405877 10 405867 90815
40 405877 10 405867 90815
50 405877 10 405867 90815
60 405877 19 405858 90815
70 405877 19 405858 90815
80 405877 19 405858 90815
90 405877 19 405858 90815
100 405877 28 405849 90815
110 405877 28 405849 90815
120 405877 37 405840 90815
130 405877 37 405840 109490
140 405877 45 405832 109490
150 405877 45 405832 109490
160 405877 53 405824 109490
170 405877 61 405816 109490
180 405877 69 405808 109490
190 405877 69 405808 109490
200 405877 85 405792 109490
210 405877 93 405784 109490
220 405877 101 405776 109490
230 405877 117 405760 109490
240 405877 133 405744 109490
250 405877 141 405736 109490
260 405877 163 405714 195353
270 405877 177 405700 195353
280 405877 198 405679 195353
290 405877 219 405658 195353
300 405877 247 405630 195353
310 405877 268 405609 195353
320 405877 303 405574 195353
330 405877 338 405539 195353
340 405877 373 405504 195353
350 405877 422 405455 195353
360 405877 471 405406 195353
370 405877 520 405357 195353
380 405877 578 405299 214300
390 405877 638 405239 214300
400 405877 704 405173 214300
410 405877 782 405095 214300
420 405877 866 405011 214300
430 405877 956 404921 214300
440 405877 1064 404813 214300
450 405877 1184 404693 214300
460 405877 1316 404561 214300
470 405877 1466 404411 214300
480 405877 1634 404243 214300
490 405877 1820 404057 214300
500 405877 2030 403847 214300
510 405877 2270 403607 214300
520 405877 2534 403343 214300
530 405877 2828 403049 269622
540 405877 3108 402769 269622
550 405877 3418 402459 269622
560 405877 3773 402104 269622
570 405877 4168 401709 269622
580 405877 4608 401269 269622
590 405877 5108 400769 269622
600 405877 5668 400209 269622
610 405877 6293 399584 269622
620 405877 6998 398879 269622
630 405877 7788 398089 269622
640 405877 8673 397204 269622
650 405877 9526 396351 291502
660 405877 10422 395455 291502
670 405877 11422 394455 291502
680 405877 12550 393327 291502
690 405877 13814 392063 291502
700 405877 15230 390647 291502
710 405877 16826 389051 291502
720 405877 18614 387263 291502
730 405877 20618 385259 291502
740 405877 22870 383007 291502
750 405877 25398 380479 291502
760 405877 28234 377643 291502
770 405877 31422 374455 291502
780 405877 34998 370879 291502
790 405877 38102 367775 353715
800 405877 41480 364397 353715
810 405877 45272 360605 353715
820 405877 48532 357345 353715
830 405877 50261 355616 353715
840 405877 52049 353828 353715
850 405877 52162 353715 353715
860 405877 52162 353715 353715
870 405877 52162 353715 353715
880 405877 52162 353715 353715
890 405877 52162 353715 353715
900 405877 52162 353715 353715
910 405877 52162 353715 353715
920 405877 52162 353715 353715
930 405877 52162 353715 353715
940 405877 52162 353715 353715
950 405877 52162 353715 353715
960 405877 52162 353715 353715
970 405877 52162 353715 353715
980 405877 52162 353715 353715
990 405877 52162 353715 353715
1000 405877 52162 353715 353715
1010 405877 52162 353715 353715
1020 405877 52162 353715 353715
1030 405877 52162 353715 353715
1040 405877 52162 353715 353715
1050 405877 52162 353715 353715
1060 405877 52162 353715 353715
1070 405877 52162 353715 353715
1080 405877 52162 353715 353715
1090 405877 52162 353715 353715
1100 405877 52162 353715 353715
1110 405877 52162 353715 353715
1120 405877 52162 353715 353715
1130 405877 52162 353715 353715
1140 405877 52162 353715 353715
1150 405877 52162 353715 353715
1160 405877 52162 353715 353715
1170 405877 52162 353715 353715
1180 405877 52162 353715 353715
1190 405877 52162 353715 353715
1200 405877 52162 353715 353715
1210 405877 52162 353715 353715

