Optimal path [nodeId(time to the node):
17(0) -> 51(126) -> 47(134) -> 97(136) -> 60(109) -> 10(134) -> 27(113) -> 41(118) -> 32(133) -> 39(112) -> 54(126) -> 64(126) -> 66(131) -> 42(115) -> 83(122) -> 68(118) -> 0(101) -> 56(123) -> 19(139) -> 37(130) -> 46(147) -> 21(129) -> 36(111) -> 55(137) -> 43(135) -> 65(135) -> 94(141) -> 2(137) -> 90(135) -> 81(115) -> 44(137) -> 99(117) -> 86(117) -> 92(127) -> 23(140) -> 29(129) -> 63(138) -> 76(127) -> 77(117) -> 85(131) -> 40(137) -> 75(137) -> 50(137) -> 5(135) -> 13(138) -> 38(121) -> 88(138) -> 7(116) -> 84(129) -> 98(118) -> 30(133) -> 35(115) -> 22(122) -> 33(108) -> 74(109) -> 80(131) -> 87(131) -> 34(110) -> 78(120) -> 57(122) -> 73(127) -> 58(126) -> 14(124) -> 52(133) -> 70(140) -> 79(130) -> 67(127) -> 11(118) -> 93(128) -> 82(124) -> 9(127) -> 18(121) -> 24(117) -> 16(126) -> 15(128) -> 62(129) -> 4(124) -> 72(126) -> 25(115) -> 6(115) -> 26(132) -> 8(103) -> 31(115) -> 96(141) -> 59(132) -> 89(122) -> 69(121) -> 3(130) -> 12(125) -> 49(133) -> 28(122) -> 48(126) -> 45(125) -> 71(139) -> 1(128) -> 95(132) -> 20(143) -> 53(131) -> 91(117) -> 61(142)
Total time of delivery: 12519
The cost function value: 2404568

Statistics at the end of simulation: 
Residents: 5432871
Illness cases: 4796618 --> [88.2888255583466%]
Healthy residents: 636253 --> [11.711174441653409%]
Vaccinated residents636253 --> [11.711174441653409%]

Statistics of each node: 
id residentsNumber illnessCases healthyResidents vaccinated
17 27216 1 27215 27215
51 94699 4 94695 94695
47 98952 20 98932 98932
97 86845 97 86748 86748
60 91794 341 91453 91453
10 95932 1606 94326 94326
27 80174 5928 74246 74246
41 91808 23170 68638 68638
32 59165 59165 0 0
39 32804 32804 0 0
54 69376 69376 0 0
64 22353 22353 0 0
66 26230 26230 0 0
42 68898 68898 0 0
83 46841 46841 0 0
68 42462 42462 0 0
0 59902 59902 0 0
56 80108 80108 0 0
19 87851 87851 0 0
37 51694 51694 0 0
46 73816 73816 0 0
21 82806 82806 0 0
36 85682 85682 0 0
55 88344 88344 0 0
43 79446 79446 0 0
65 70610 70610 0 0
94 76894 76894 0 0
2 43074 43074 0 0
90 80008 80008 0 0
81 89526 89526 0 0
44 15573 15573 0 0
99 28053 28053 0 0
86 26732 26732 0 0
92 24523 24523 0 0
23 20873 20873 0 0
29 15814 15814 0 0
63 51706 51706 0 0
76 31382 31382 0 0
77 28452 28452 0 0
85 44972 44972 0 0
40 31222 31222 0 0
75 26017 26017 0 0
50 30829 30829 0 0
5 15364 15364 0 0
13 61304 61304 0 0
38 33030 33030 0 0
88 37474 37474 0 0
7 29243 29243 0 0
84 70627 70627 0 0
98 93006 93006 0 0
30 67192 67192 0 0
35 96767 96767 0 0
22 73621 73621 0 0
33 13135 13135 0 0
74 81649 81649 0 0
80 67722 67722 0 0
87 20655 20655 0 0
34 28894 28894 0 0
78 57716 57716 0 0
57 39724 39724 0 0
73 49077 49077 0 0
58 16081 16081 0 0
14 81887 81887 0 0
52 63153 63153 0 0
70 36163 36163 0 0
79 84379 84379 0 0
67 37842 37842 0 0
11 84816 84816 0 0
93 39916 39916 0 0
82 15231 15231 0 0
9 60305 60305 0 0
18 16978 16978 0 0
24 37355 37355 0 0
16 82700 82700 0 0
15 78003 78003 0 0
62 19500 19500 0 0
4 56018 56018 0 0
72 90063 90063 0 0
25 67586 67586 0 0
6 12672 12672 0 0
26 26605 26605 0 0
8 45160 45160 0 0
31 69146 69146 0 0
96 73344 73344 0 0
59 83546 83546 0 0
89 68284 68284 0 0
69 66112 66112 0 0
3 57882 57882 0 0
12 79926 79926 0 0
49 19584 19584 0 0
28 91749 91749 0 0
48 13555 13555 0 0
45 46217 46217 0 0
71 23666 23666 0 0
1 49456 49456 0 0
95 71066 71066 0 0
20 48774 48774 0 0
53 61988 61988 0 0
91 32862 32862 0 0
61 25643 25643 0 0

Statistics step by step: 
minute residentsNumber illnessCases healthyResidents vaccinated
0 5432871 100 5432771 27215
10 5432871 100 5432771 27215
20 5432871 100 5432771 27215
30 5432871 100 5432771 27215
40 5432871 100 5432771 27215
50 5432871 100 5432771 27215
60 5432871 199 5432672 27215
70 5432871 199 5432672 27215
80 5432871 199 5432672 27215
90 5432871 199 5432672 27215
100 5432871 298 5432573 27215
110 5432871 298 5432573 27215
120 5432871 397 5432474 27215
130 5432871 397 5432474 121910
140 5432871 495 5432376 121910
150 5432871 495 5432376 121910
160 5432871 593 5432278 121910
170 5432871 691 5432180 121910
180 5432871 789 5432082 121910
190 5432871 789 5432082 121910
200 5432871 985 5431886 121910
210 5432871 1083 5431788 121910
220 5432871 1181 5431690 121910
230 5432871 1377 5431494 121910
240 5432871 1573 5431298 121910
250 5432871 1671 5431200 121910
260 5432871 1965 5430906 220842
270 5432871 2159 5430712 220842
280 5432871 2450 5430421 220842
290 5432871 2741 5430130 220842
300 5432871 3129 5429742 220842
310 5432871 3420 5429451 220842
320 5432871 3905 5428966 220842
330 5432871 4390 5428481 220842
340 5432871 4875 5427996 220842
350 5432871 5554 5427317 220842
360 5432871 6233 5426638 220842
370 5432871 6912 5425959 220842
380 5432871 7785 5425086 220842
390 5432871 8755 5424116 220842
400 5432871 9818 5423053 307590
410 5432871 11066 5421805 307590
420 5432871 12410 5420461 307590
430 5432871 13850 5419021 307590
440 5432871 15578 5417293 307590
450 5432871 17498 5415373 307590
460 5432871 19610 5413261 307590
470 5432871 22010 5410861 307590
480 5432871 24698 5408173 307590
490 5432871 27674 5405197 307590
500 5432871 31034 5401837 307590
510 5432871 34853 5398018 399043
520 5432871 39033 5393838 399043
530 5432871 43783 5389088 399043
540 5432871 49103 5383768 399043
550 5432871 54993 5377878 399043
560 5432871 61738 5371133 399043
570 5432871 69243 5363628 399043
580 5432871 77603 5355268 399043
590 5432871 87103 5345768 399043
600 5432871 97743 5335128 399043
610 5432871 109618 5323253 399043
620 5432871 123013 5309858 399043
630 5432871 138023 5294848 399043
640 5432871 154819 5278052 493369
650 5432871 173525 5259346 493369
660 5432871 194581 5238290 493369
670 5432871 218081 5214790 493369
680 5432871 244589 5188282 493369
690 5432871 274293 5158578 493369
700 5432871 307569 5125302 493369
710 5432871 345075 5087796 493369
720 5432871 387093 5045778 493369
730 5432871 434187 4998684 493369
740 5432871 487109 4945762 493369
750 5432871 546517 4886354 493369
760 5432871 612590 4820281 567615
770 5432871 686711 4746160 567615
780 5432871 769853 4663018 567615
790 5432871 863132 4569739 567615
800 5432871 967850 4465021 567615
810 5432871 1085402 4347469 567615
820 5432871 1216945 4215926 567615
830 5432871 1360999 4071872 567615
840 5432871 1518062 3914809 567615
850 5432871 1687160 3745711 567615
860 5432871 1874128 3558743 567615
870 5432871 2075795 3357076 636253
880 5432871 2292892 3139979 636253
890 5432871 2518406 2914465 636253
900 5432871 2753178 2679693 636253
910 5432871 2997685 2435186 636253
920 5432871 3253871 2179000 636253
930 5432871 3522081 1910790 636253
940 5432871 3791289 1641582 636253
950 5432871 4068030 1364841 636253
960 5432871 4333822 1099049 636253
970 5432871 4561928 870943 636253
980 5432871 4728793 704078 636253
990 5432871 4792207 640664 636253
1000 5432871 4796618 636253 636253
1010 5432871 4796618 636253 636253
1020 5432871 4796618 636253 636253
1030 5432871 4796618 636253 636253
1040 5432871 4796618 636253 636253
1050 5432871 4796618 636253 636253
1060 5432871 4796618 636253 636253
1070 5432871 4796618 636253 636253
1080 5432871 4796618 636253 636253
1090 5432871 4796618 636253 636253
1100 5432871 4796618 636253 636253
1110 5432871 4796618 636253 636253
1120 5432871 4796618 636253 636253
1130 5432871 4796618 636253 636253
1140 5432871 4796618 636253 636253
1150 5432871 4796618 636253 636253
1160 5432871 4796618 636253 636253
1170 5432871 4796618 636253 636253
1180 5432871 4796618 636253 636253
1190 5432871 4796618 636253 636253
1200 5432871 4796618 636253 636253
1210 5432871 4796618 636253 636253
1220 5432871 4796618 636253 636253
1230 5432871 4796618 636253 636253
1240 5432871 4796618 636253 636253
1250 5432871 4796618 636253 636253
1260 5432871 4796618 636253 636253
1270 5432871 4796618 636253 636253
1280 5432871 4796618 636253 636253
1290 5432871 4796618 636253 636253
1300 5432871 4796618 636253 636253
1310 5432871 4796618 636253 636253
1320 5432871 4796618 636253 636253
1330 5432871 4796618 636253 636253
1340 5432871 4796618 636253 636253
1350 5432871 4796618 636253 636253
1360 5432871 4796618 636253 636253
1370 5432871 4796618 636253 636253
1380 5432871 4796618 636253 636253
1390 5432871 4796618 636253 636253
1400 5432871 4796618 636253 636253
1410 5432871 4796618 636253 636253
1420 5432871 4796618 636253 636253
1430 5432871 4796618 636253 636253
1440 5432871 4796618 636253 636253
