Optimal path [nodeId(time to the node):
17(0) -> 35(145) -> 19(129) -> 41(120) -> 98(125) -> 28(126) -> 60(141) -> 47(144) -> 99(152) -> 23(121) -> 30(138) -> 16(118) -> 54(125) -> 66(141) -> 45(139) -> 68(116) -> 92(133) -> 72(115) -> 13(126) -> 59(120) -> 77(136) -> 22(122) -> 51(136) -> 15(127) -> 87(126) -> 57(115) -> 14(137) -> 93(125) -> 73(124) -> 37(140) -> 32(135) -> 76(118) -> 6(132) -> 69(133) -> 91(132) -> 50(125) -> 31(142) -> 27(121) -> 5(122) -> 4(120) -> 21(113) -> 3(130) -> 62(125) -> 49(138) -> 96(131) -> 7(127) -> 56(128) -> 67(134) -> 65(134) -> 88(127) -> 36(141) -> 52(133) -> 53(132) -> 26(142) -> 81(113) -> 20(131) -> 39(132) -> 89(142) -> 83(134) -> 1(131) -> 46(131) -> 10(112) -> 40(129) -> 24(110) -> 55(121) -> 75(138) -> 64(119) -> 86(136) -> 9(125) -> 90(114) -> 0(143) -> 79(139) -> 63(115) -> 25(134) -> 8(130) -> 94(135) -> 80(122) -> 43(119) -> 78(122) -> 61(124) -> 42(130) -> 70(131) -> 58(124) -> 95(140) -> 71(146) -> 85(124) -> 97(121) -> 12(133) -> 82(129) -> 18(128) -> 74(133) -> 11(129) -> 2(134) -> 38(135) -> 84(120) -> 33(136) -> 29(135) -> 48(142) -> 34(153) -> 44(135)
Total time of delivery: 12836
The cost function value: 2411964

Statistics at the end of simulation: 
Residents: 5432871
Illness cases: 4811093 --> [88.55525927267553%]
Healthy residents: 621778 --> [11.444740727324467%]
Vaccinated residents621778 --> [11.444740727324467%]

Statistics of each node: 
id residentsNumber illnessCases healthyResidents vaccinated
17 27216 1 27215 27215
35 96767 5 96762 96762
19 87851 23 87828 87828
41 91808 94 91714 91714
98 93006 401 92605 92605
28 91749 1722 90027 90027
60 91794 8779 83015 83015
47 98952 46340 52612 52612
99 28053 28053 0 0
23 20873 20873 0 0
30 67192 67192 0 0
16 82700 82700 0 0
54 69376 69376 0 0
66 26230 26230 0 0
45 46217 46217 0 0
68 42462 42462 0 0
92 24523 24523 0 0
72 90063 90063 0 0
13 61304 61304 0 0
59 83546 83546 0 0
77 28452 28452 0 0
22 73621 73621 0 0
51 94699 94699 0 0
15 78003 78003 0 0
87 20655 20655 0 0
57 39724 39724 0 0
14 81887 81887 0 0
93 39916 39916 0 0
73 49077 49077 0 0
37 51694 51694 0 0
32 59165 59165 0 0
76 31382 31382 0 0
6 12672 12672 0 0
69 66112 66112 0 0
91 32862 32862 0 0
50 30829 30829 0 0
31 69146 69146 0 0
27 80174 80174 0 0
5 15364 15364 0 0
4 56018 56018 0 0
21 82806 82806 0 0
3 57882 57882 0 0
62 19500 19500 0 0
49 19584 19584 0 0
96 73344 73344 0 0
7 29243 29243 0 0
56 80108 80108 0 0
