Optimal path [nodeId(time to the node):
17(0) -> 16(131) -> 90(131) -> 36(114) -> 55(132) -> 79(118) -> 10(149) -> 41(124) -> 73(142) -> 27(128) -> 92(141) -> 26(144) -> 72(142) -> 37(148) -> 12(164) -> 91(139) -> 22(155) -> 0(133) -> 93(153) -> 74(138) -> 63(128) -> 77(143) -> 95(136) -> 2(137) -> 4(139) -> 53(156) -> 15(154) -> 29(170) -> 82(131) -> 6(127) -> 68(135) -> 35(164) -> 88(153) -> 85(155) -> 44(143) -> 5(152) -> 69(139) -> 58(141) -> 14(135) -> 86(155) -> 9(139) -> 18(152) -> 60(152) -> 39(141) -> 8(146) -> 40(130) -> 19(141) -> 83(172) -> 75(150) -> 21(125) -> 23(131) -> 11(151) -> 56(149) -> 3(134) -> 31(143) -> 46(147) -> 98(140) -> 7(150) -> 78(144) -> 1(131) -> 64(136) -> 81(137) -> 94(140) -> 28(138) -> 47(130) -> 65(157) -> 66(134) -> 80(153) -> 24(145) -> 62(135) -> 34(152) -> 20(137) -> 70(148) -> 45(158) -> 33(131) -> 97(156) -> 59(144) -> 61(156) -> 99(132) -> 96(149) -> 32(146) -> 48(138) -> 43(160) -> 84(152) -> 42(124) -> 13(150) -> 30(139) -> 52(149) -> 38(128) -> 49(108) -> 89(132) -> 67(148) -> 76(148) -> 71(152) -> 50(156) -> 25(155) -> 87(182) -> 51(128) -> 57(148) -> 54(164)
Total time of delivery: 14162
The cost function value: 4838760

Statistics at the end of simulation: 
Residents: 5432871
Illness cases: 4838761 --> [89.06452960138387%]
Healthy residents: 594110 --> [10.935470398616127%]
Vaccinated residents594110 --> [10.935470398616127%]

Statistics of each node: 
id residentsNumber illnessCases healthyResidents vaccinated
17 27216 1 27215 27215
16 82700 4 82696 82696
90 80008 20 79988 79988
36 85682 76 85606 85606
55 88344 353 87991 87991
79 84379 1382 82997 82997
10 95932 7732 88200 88200
41 91808 32391 59417 59417
73 49077 49077 0 0
27 80174 80174 0 0
92 24523 24523 0 0
26 26605 26605 0 0
72 90063 90063 0 0
37 51694 51694 0 0
12 79926 79926 0 0
91 32862 32862 0 0
22 73621 73621 0 0
0 59902 59902 0 0
93 39916 39916 0 0
74 81649 81649 0 0
63 51706 51706 0 0
77 28452 28452 0 0
95 71066 71066 0 0
2 43074 43074 0 0
4 56018 56018 0 0
53 61988 61988 0 0
15 78003 78003 0 0
29 15814 15814 0 0
82 15231 15231 0 0
6 12672 12672 0 0
68 42462 42462 0 0
35 96767 96767 0 0
88 37474 37474 0 0
85 44972 44972 0 0
44 15573 15573 0 0
5 15364 15364 0 0
69 66112 66112 0 0
58 16081 16081 0 0
14 81887 81887 0 0
86 26732 26732 0 0
9 60305 60305 0 0
18 16978 16978 0 0
60 91794 91794 0 0
39 32804 32804 0 0
8 45160 45160 0 0
40 31222 31222 0 0
19 87851 87851 0 0
83 46841 46841 0 0
75 26017 26017 0 0
21 82806 82806 0 0
23 20873 20873 0 0
11 84816 84816 0 0
56 80108 80108 0 0
3 57882 57882 0 0
31 69146 69146 0 0
46 73816 73816 0 0
98 93006 93006 0 0
7 29243 29243 0 0
78 57716 57716 0 0
1 49456 49456 0 0
64 22353 22353 0 0
81 89526 89526 0 0
94 76894 76894 0 0
28 91749 91749 0 0
47 98952 98952 0 0
65 70610 70610 0 0
66 26230 26230 0 0
80 67722 67722 0 0
24 37355 37355 0 0
62 19500 19500 0 0
34 28894 28894 0 0
20 48774 48774 0 0
70 36163 36163 0 0
45 46217 46217 0 0
33 13135 13135 0 0
97 86845 86845 0 0
59 83546 83546 0 0
61 25643 25643 0 0
99 28053 28053 0 0
96 73344 73344 0 0
32 59165 59165 0 0
48 13555 13555 0 0
43 79446 79446 0 0
84 70627 70627 0 0
42 68898 68898 0 0
13 61304 61304 0 0
30 67192 67192 0 0
52 63153 63153 0 0
38 33030 33030 0 0
49 19584 19584 0 0
89 68284 68284 0 0
67 37842 37842 0 0
76 31382 31382 0 0
71 23666 23666 0 0
50 30829 30829 0 0
25 67586 67586 0 0
87 20655 20655 0 0
51 94699 94699 0 0
57 39724 39724 0 0
54 69376 69376 0 0

Statistics step by step: 
minute residentsNumber illnessCases healthyResidents vaccinated
0 5432871 100 5432771 27215
10 5432871 100 5432771 27215
20 5432871 100 5432771 27215
30 5432871 100 5432771 27215
40 5432871 100 5432771 27215
50 5432871 100 5432771 27215
60 5432871 199 5432672 27215
70 5432871 199 5432672 27215
80 5432871 199 5432672 27215
90 5432871 199 5432672 27215
100 5432871 298 5432573 27215
110 5432871 298 5432573 27215
120 5432871 397 5432474 27215
130 5432871 397 5432474 27215
140 5432871 495 5432376 109911
150 5432871 495 5432376 109911
160 5432871 593 5432278 109911
170 5432871 691 5432180 109911
180 5432871 789 5432082 109911
190 5432871 789 5432082 109911
200 5432871 985 5431886 109911
210 5432871 1083 5431788 109911
220 5432871 1181 5431690 109911
230 5432871 1377 5431494 109911
240 5432871 1573 5431298 109911
250 5432871 1671 5431200 109911
260 5432871 1965 5430906 109911
270 5432871 2159 5430712 189899
280 5432871 2450 5430421 189899
290 5432871 2741 5430130 189899
300 5432871 3129 5429742 189899
310 5432871 3420 5429451 189899
320 5432871 3905 5428966 189899
330 5432871 4390 5428481 189899
340 5432871 4875 5427996 189899
350 5432871 5554 5427317 189899
360 5432871 6233 5426638 189899
370 5432871 6912 5425959 189899
380 5432871 7781 5425090 275505
390 5432871 8741 5424130 275505
400 5432871 9797 5423074 275505
410 5432871 11045 5421826 275505
420 5432871 12389 5420482 275505
430 5432871 13829 5419042 275505
440 5432871 15557 5417314 275505
450 5432871 17477 5415394 275505
460 5432871 19589 5413282 275505
470 5432871 21989 5410882 275505
480 5432871 24677 5408194 275505
490 5432871 27653 5405218 275505
500 5432871 31013 5401858 275505
510 5432871 34844 5398027 363496
520 5432871 39024 5393847 363496
530 5432871 43774 5389097 363496
540 5432871 49094 5383777 363496
550 5432871 54984 5377887 363496
560 5432871 61729 5371142 363496
570 5432871 69234 5363637 363496
580 5432871 77594 5355277 363496
590 5432871 87094 5345777 363496
600 5432871 97734 5335137 363496
610 5432871 109609 5323262 363496
620 5432871 123004 5309867 363496
630 5432871 137948 5294923 446493
640 5432871 154586 5278285 446493
650 5432871 173292 5259579 446493
660 5432871 194348 5238523 446493
670 5432871 217848 5215023 446493
680 5432871 244356 5188515 446493
690 5432871 274060 5158811 446493
700 5432871 307336 5125535 446493
710 5432871 344842 5088029 446493
720 5432871 386860 5046011 446493
730 5432871 433954 4998917 446493
740 5432871 486876 4945995 446493
750 5432871 546284 4886587 446493
760 5432871 612930 4819941 446493
770 5432871 687848 4745023 446493
780 5432871 771424 4661447 534693
790 5432871 864703 4568168 534693
800 5432871 969421 4463450 534693
810 5432871 1086973 4345898 534693
820 5432871 1218516 4214355 534693
830 5432871 1362570 4070301 534693
840 5432871 1519633 3913238 534693
850 5432871 1688731 3744140 534693
860 5432871 1875699 3557172 534693
870 5432871 2077366 3355505 534693
880 5432871 2297300 3135571 534693
890 5432871 2525999 2906872 534693
900 5432871 2763970 2668901 594110
910 5432871 3008477 2424394 594110
920 5432871 3264663 2168208 594110
930 5432871 3532873 1899998 594110
940 5432871 3802081 1630790 594110
950 5432871 4078822 1354049 594110
960 5432871 4344614 1088257 594110
970 5432871 4572720 860151 594110
980 5432871 4739751 693120 594110
990 5432871 4826061 606810 594110
1000 5432871 4838761 594110 594110
1010 5432871 4838761 594110 594110
1020 5432871 4838761 594110 594110
1030 5432871 4838761 594110 594110
1040 5432871 4838761 594110 594110
1050 5432871 4838761 594110 594110
1060 5432871 4838761 594110 594110
1070 5432871 4838761 594110 594110
1080 5432871 4838761 594110 594110
1090 5432871 4838761 594110 594110
1100 5432871 4838761 594110 594110
1110 5432871 4838761 594110 594110
1120 5432871 4838761 594110 594110
1130 5432871 4838761 594110 594110
1140 5432871 4838761 594110 594110
1150 5432871 4838761 594110 594110
1160 5432871 4838761 594110 594110
1170 5432871 4838761 594110 594110
1180 5432871 4838761 594110 594110
1190 5432871 4838761 594110 594110
1200 5432871 4838761 594110 594110
1210 5432871 4838761 594110 594110
1220 5432871 4838761 594110 594110
1230 5432871 4838761 594110 594110
1240 5432871 4838761 594110 594110
1250 5432871 4838761 594110 594110
