Optimal path [nodeId(time to the node):
17(0) -> 90(142) -> 56(136) -> 28(142) -> 41(132) -> 98(132) -> 43(133) -> 51(140) -> 77(140) -> 87(141) -> 89(139) -> 42(114) -> 68(133) -> 27(122) -> 8(137) -> 38(147) -> 24(141) -> 30(121) -> 21(124) -> 67(175) -> 93(137) -> 49(132) -> 1(112) -> 58(132) -> 20(148) -> 91(135) -> 46(154) -> 78(125) -> 22(170) -> 94(129) -> 12(139) -> 85(117) -> 95(140) -> 48(142) -> 0(148) -> 73(146) -> 81(138) -> 18(140) -> 71(160) -> 53(108) -> 34(149) -> 10(142) -> 19(135) -> 15(174) -> 52(120) -> 9(153) -> 54(136) -> 47(141) -> 92(121) -> 29(131) -> 50(153) -> 31(126) -> 13(134) -> 3(156) -> 26(154) -> 96(138) -> 40(154) -> 76(148) -> 66(136) -> 44(144) -> 69(136) -> 63(141) -> 65(131) -> 99(146) -> 75(145) -> 60(138) -> 5(170) -> 70(142) -> 45(156) -> 83(133) -> 16(133) -> 6(158) -> 59(159) -> 97(120) -> 82(137) -> 36(144) -> 14(127) -> 88(140) -> 37(134) -> 2(145) -> 39(146) -> 64(142) -> 33(148) -> 79(144) -> 32(145) -> 74(138) -> 61(125) -> 55(130) -> 86(141) -> 84(153) -> 62(133) -> 23(145) -> 35(134) -> 25(166) -> 72(141) -> 80(132) -> 7(146) -> 57(147) -> 4(150) -> 11(136)
Total time of delivery: 13865
The cost function value: 4874142

Statistics at the end of simulation: 
Residents: 5432871
Illness cases: 4874143 --> [89.71578747222233%]
Healthy residents: 558728 --> [10.28421252777767%]
Vaccinated residents558728 --> [10.28421252777767%]

Statistics of each node: 
id residentsNumber illnessCases healthyResidents vaccinated
17 27216 1 27215 27215
90 80008 5 80003 80003
56 80108 24 80084 80084
28 91749 128 91621 91621
41 91808 588 91220 91220
98 93006 2702 90304 90304
43 79446 12561 66885 66885
51 94699 63303 31396 31396
77 28452 28452 0 0
87 20655 20655 0 0
89 68284 68284 0 0
42 68898 68898 0 0
68 42462 42462 0 0
27 80174 80174 0 0
8 45160 45160 0 0
38 33030 33030 0 0
24 37355 37355 0 0
30 67192 67192 0 0
21 82806 82806 0 0
67 37842 37842 0 0
93 39916 39916 0 0
49 19584 19584 0 0
1 49456 49456 0 0
58 16081 16081 0 0
20 48774 48774 0 0
91 32862 32862 0 0
46 73816 73816 0 0
78 57716 57716 0 0
22 73621 73621 0 0
94 76894 76894 0 0
12 79926 79926 0 0
85 44972 44972 0 0
95 71066 71066 0 0
48 13555 13555 0 0
0 59902 59902 0 0
73 49077 49077 0 0
81 89526 89526 0 0
18 16978 16978 0 0
71 23666 23666 0 0
53 61988 61988 0 0
34 28894 28894 0 0
10 95932 95932 0 0
19 87851 87851 0 0
15 78003 78003 0 0
52 63153 63153 0 0
9 60305 60305 0 0
54 69376 69376 0 0
47 98952 98952 0 0
92 24523 24523 0 0
29 15814 15814 0 0
50 30829 30829 0 0
31 69146 69146 0 0
13 61304 61304 0 0
3 57882 57882 0 0
26 26605 26605 0 0
96 73344 73344 0 0
40 31222 31222 0 0
76 31382 31382 0 0
66 26230 26230 0 0
44 15573 15573 0 0
69 66112 66112 0 0
63 51706 51706 0 0
65 70610 70610 0 0
99 28053 28053 0 0
75 26017 26017 0 0
60 91794 91794 0 0
5 15364 15364 0 0
70 36163 36163 0 0
45 46217 46217 0 0
83 46841 46841 0 0
16 82700 82700 0 0
6 12672 12672 0 0
59 83546 83546 0 0
97 86845 86845 0 0
82 15231 15231 0 0
36 85682 85682 0 0
14 81887 81887 0 0
88 37474 37474 0 0
37 51694 51694 0 0
2 43074 43074 0 0
39 32804 32804 0 0
64 22353 22353 0 0
33 13135 13135 0 0
79 84379 84379 0 0
32 59165 59165 0 0
74 81649 81649 0 0
61 25643 25643 0 0
55 88344 88344 0 0
86 26732 26732 0 0
84 70627 70627 0 0
62 19500 19500 0 0
23 20873 20873 0 0
35 96767 96767 0 0
25 67586 67586 0 0
72 90063 90063 0 0
80 67722 67722 0 0
7 29243 29243 0 0
57 39724 39724 0 0
4 56018 56018 0 0
11 84816 84816 0 0

Statistics step by step: 
minute residentsNumber illnessCases healthyResidents vaccinated
0 5432871 100 5432771 27215
10 5432871 100 5432771 27215
20 5432871 100 5432771 27215
30 5432871 100 5432771 27215
40 5432871 100 5432771 27215
50 5432871 100 5432771 27215
60 5432871 199 5432672 27215
70 5432871 199 5432672 27215
80 5432871 199 5432672 27215
90 5432871 199 5432672 27215
100 5432871 298 5432573 27215
110 5432871 298 5432573 27215
120 5432871 397 5432474 27215
130 5432871 397 5432474 27215
140 5432871 496 5432375 27215
150 5432871 496 5432375 107218
160 5432871 594 5432277 107218
170 5432871 692 5432179 107218
180 5432871 790 5432081 107218
190 5432871 790 5432081 107218
200 5432871 986 5431885 107218
210 5432871 1084 5431787 107218
220 5432871 1182 5431689 107218
230 5432871 1378 5431493 107218
240 5432871 1574 5431297 107218
250 5432871 1672 5431199 107218
260 5432871 1966 5430905 107218
270 5432871 2162 5430709 107218
280 5432871 2455 5430416 187302
290 5432871 2746 5430125 187302
300 5432871 3134 5429737 187302
310 5432871 3425 5429446 187302
320 5432871 3910 5428961 187302
330 5432871 4395 5428476 187302
340 5432871 4880 5427991 187302
350 5432871 5559 5427312 187302
360 5432871 6238 5426633 187302
370 5432871 6917 5425954 187302
380 5432871 7790 5425081 187302
390 5432871 8760 5424111 187302
400 5432871 9827 5423044 187302
410 5432871 11088 5421783 187302
420 5432871 12446 5420425 278923
430 5432871 13886 5418985 278923
440 5432871 15614 5417257 278923
450 5432871 17534 5415337 278923
460 5432871 19646 5413225 278923
470 5432871 22046 5410825 278923
480 5432871 24734 5408137 278923
490 5432871 27710 5405161 278923
500 5432871 31070 5401801 278923
510 5432871 34910 5397961 278923
520 5432871 39134 5393737 278923
530 5432871 43934 5388937 278923
540 5432871 49310 5383561 278923
550 5432871 55262 5377609 278923
560 5432871 62021 5370850 370143
570 5432871 69526 5363345 370143
580 5432871 77886 5354985 370143
590 5432871 87386 5345485 370143
600 5432871 98026 5334845 370143
610 5432871 109901 5322970 370143
620 5432871 123296 5309575 370143
630 5432871 138306 5294565 370143
640 5432871 155121 5277750 370143
650 5432871 174026 5258845 370143
660 5432871 195306 5237565 370143
670 5432871 219056 5213815 370143
680 5432871 245846 5187025 370143
690 5432871 275672 5157199 460447
700 5432871 308948 5123923 460447
710 5432871 346454 5086417 460447
720 5432871 388472 5044399 460447
730 5432871 435566 4997305 460447
740 5432871 488488 4944383 460447
750 5432871 547896 4884975 460447
760 5432871 614542 4818329 460447
770 5432871 689460 4743411 460447
780 5432871 773496 4659375 460447
790 5432871 867778 4565093 460447
800 5432871 973622 4459249 460447
810 5432871 1092438 4340433 460447
820 5432871 1224957 4207914 527332
830 5432871 1369011 4063860 527332
840 5432871 1526074 3906797 527332
850 5432871 1695172 3737699 527332
860 5432871 1882140 3550731 527332
870 5432871 2083807 3349064 527332
880 5432871 2303741 3129130 527332
890 5432871 2532440 2900431 527332
900 5432871 2770788 2662083 527332
910 5432871 3019307 2413564 527332
920 5432871 3279998 2152873 527332
930 5432871 3553263 1879608 527332
940 5432871 3828146 1604725 527332
950 5432871 4111257 1321614 527332
